TypeName,FunctionTy,Function,Area_ha,,,,,,,,
待成林地,-1,,0.72029,,,,,,,,
闊葉樹林型,1100,原生林,29.9684,,,,,,列標籤,加總 - Area_ha,
待成林地,-1,,2.89235,,,,,,闊葉樹林型,1455954.70,14559.55 
待成林地,-1,,0.588105,,,,,,針葉樹林型,300615.02,3006.15 
竹林,1100,原生林,85.1632,,,,,,竹林,133844.22,1338.44 
竹闊混淆林,1100,原生林,295.565,,,,,,竹針混淆林,714.53,7.15 
待成林地,-1,,22.4858,,,,,,竹針闊混淆林,233.30,2.33 
待成林地,-1,,21.2452,,,,,,竹闊混淆林,89201.41,892.01 
針葉樹林型,1100,原生林,0.580624,,,,,,針闊葉樹混,185.91,1.86 
闊葉樹林型,1100,原生林,807.182,,,,,,針闊葉樹混淆,172892.18,1728.92 
闊葉樹林型,1100,原生林,7.14203,,,,,,待成林地,26108.65,261.09 
闊葉樹林型,1100,原生林,1288.05,,,,,,裸露地,771.54,7.72 
闊葉樹林型,2221,經改造天然林,1.07433,,,,,,陰影,0.30,0.0030 
闊葉樹林型,1100,原生林,11.7724,,,,,,總計,2180521.759,21805.22 
闊葉樹林型,1100,原生林,46.9863,,,,,,,,
闊葉樹林型,1100,原生林,20.6756,,,,,,,,
闊葉樹林型,2211,生產性人工林,0.812093,,,,,,,,
闊葉樹林型,2212,保護性人工林,0.927444,,,,,,,,
闊葉樹林型,2221,經改造天然林,5.59448,,,,,,,,
闊葉樹林型,2222,原生林,16.238,,,,,,,,
闊葉樹林型,2222,原生林,18.1833,,,,,,,,
針葉樹林型,1100,原生林,0.646494,,,,,,,,
針葉樹林型,1100,原生林,22.1027,,,,,,,,
針葉樹林型,1100,原生林,4.39335,,,,,,,,
針葉樹林型,2222,原生林,249.145,,,,,,,,
針葉樹林型,2222,原生林,3.35593,,,,,,,,
闊葉樹林型,1100,原生林,15.3026,,,,,,,,
闊葉樹林型,1100,原生林,8.62259,,,,,,,,
闊葉樹林型,1100,原生林,38.5871,,,,,,,,
闊葉樹林型,2212,保護性人工林,2.74486,,,,,,,,
闊葉樹林型,2212,保護性人工林,1.30015,,,,,,,,
闊葉樹林型,2212,保護性人工林,0.958531,,,,,,,,
闊葉樹林型,2222,原生林,39.3015,,,,,,,,
闊葉樹林型,2222,原生林,178.727,,,,,,,,
針葉樹林型,2212,保護性人工林,5.00342,,,,,,,,
針葉樹林型,2222,原生林,32.0929,,,,,,,,
闊葉樹林型,1100,原生林,5.71349,,,,,,,,
闊葉樹林型,1100,原生林,11.8008,,,,,,,,
闊葉樹林型,1100,原生林,0.914672,,,,,,,,
闊葉樹林型,2222,原生林,82.262,,,,,,,,
針葉樹林型,1100,原生林,2.95816,,,,,,,,
針葉樹林型,1100,原生林,4.94063,,,,,,,,
針葉樹林型,1100,原生林,17.8078,,,,,,,,
針葉樹林型,1100,原生林,6.1908,,,,,,,,
針葉樹林型,1100,原生林,12.9516,,,,,,,,
針葉樹林型,1100,原生林,10.8073,,,,,,,,
針葉樹林型,1100,原生林,8.06094,,,,,,,,
針葉樹林型,2222,原生林,34.7822,,,,,,,,
闊葉樹林型,1100,原生林,7.59494,,,,,,,,
闊葉樹林型,1100,原生林,7.33795,,,,,,,,
闊葉樹林型,1100,原生林,3.09412,,,,,,,,
闊葉樹林型,2212,保護性人工林,0.0621568,,,,,,,,
闊葉樹林型,2212,保護性人工林,6.43327,,,,,,,,
闊葉樹林型,2222,原生林,10.6901,,,,,,,,
闊葉樹林型,2222,原生林,262.717,,,,,,,,
竹闊混淆林,2222,原生林,2.08415,,,,,,,,
針葉樹林型,2222,原生林,18.4026,,,,,,,,
針闊葉樹混淆,1100,原生林,5.42014,,,,,,,,
針闊葉樹混淆,1100,原生林,109.072,,,,,,,,
針闊葉樹混淆,1100,原生林,29.3744,,,,,,,,
針闊葉樹混淆,1100,原生林,43.3018,,,,,,,,
針闊葉樹混淆,2211,生產性人工林,2.35169,,,,,,,,
針闊葉樹混淆,2211,生產性人工林,1.74399,,,,,,,,
針闊葉樹混淆,2211,生產性人工林,0.211727,,,,,,,,
針闊葉樹混淆,2211,生產性人工林,0.907242,,,,,,,,
針闊葉樹混淆,2212,保護性人工林,1.17352,,,,,,,,
針闊葉樹混淆,2212,保護性人工林,0.283529,,,,,,,,
針闊葉樹混淆,2212,保護性人工林,15.0975,,,,,,,,
針闊葉樹混淆,2212,保護性人工林,2.37701,,,,,,,,
針闊葉樹混淆,2212,保護性人工林,5.99254,,,,,,,,
針闊葉樹混淆,2221,經改造天然林,0.0786993,,,,,,,,
針闊葉樹混淆,2221,經改造天然林,13.2263,,,,,,,,
針闊葉樹混淆,2222,原生林,19.1991,,,,,,,,
闊葉樹林型,1100,原生林,7.73588,,,,,,,,
闊葉樹林型,1100,原生林,2.99346,,,,,,,,
闊葉樹林型,2212,保護性人工林,29.0928,,,,,,,,
闊葉樹林型,2222,原生林,9.0032,,,,,,,,
針葉樹林型,1100,原生林,3.33084,,,,,,,,
竹闊混淆林,1100,原生林,1.24836,,,,,,,,
竹闊混淆林,1200,經改造天然林,8.44532,,,,,,,,
竹闊混淆林,2211,生產性人工林,11.0862,,,,,,,,
竹闊混淆林,2212,保護性人工林,11.3877,,,,,,,,
針葉樹林型,1100,原生林,41.7534,,,,,,,,
針葉樹林型,1100,原生林,26.5073,,,,,,,,
