"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y"
"MA-A01-01","仁澤B","1","300595","2716742"
"MA-A01-01","仁澤B","2","300795","2716706"
"MA-A01-01","仁澤B","3","301000","2716706"
"MA-A01-01","仁澤B","4","301195","2716640"
"MA-A01-01","仁澤B","5","301373","2716555"
"MA-A01-01","仁澤B","6","301560","2716506"
"MA-A01-02","仁澤A","6","301570","2715714"
"MA-A01-02","仁澤A","5","301538","2715507"
"MA-A01-02","仁澤A","3","301314","2715672"
"MA-A01-02","仁澤A","1","301096","2715866"
"MA-A01-02","仁澤A","4","301195","2715520"
"MA-A02-01","羅區47林班(拳頭姆步道)","2","312110","2728110"
"MA-A02-01","羅區47林班(拳頭姆步道)","1","311893","2728075"
"MA-A02-01","羅區47林班(拳頭姆步道)","3","312233","2727904"
"MA-A02-02","羅區26林班(清水地熱區域)","1","312440","2725468"
"MA-A02-02","羅區26林班(清水地熱區域)","2","312730","2725080"
"MA-A02-02","羅區26林班(清水地熱區域)","3","312983","2724763"
"MA-A02-02","羅區26林班(清水地熱區域)","4","313119","2724513"
"MA-A02-02","羅區26林班(清水地熱區域)","5","313761","2724220"
"MA-A02-02","羅區26林班(清水地熱區域)","6","314467","2723449"
"MA-A02-03","羅區66林班","1","323970","2725497"
"MA-A02-03","羅區66林班","2","323862","2725328"
"MA-A02-03","羅區66林班","3","323749","2725152"
"MA-A02-03","羅區66林班","4","323647","2724992"
"MA-A02-03","羅區66林班","5","323455","2724938"
"MA-A02-03","羅區66林班","6","323348","2724770"
"MA-A02-04","羅區71-72林班","1","325487","2722228"
"MA-A02-04","羅區71-72林班","2","325641","2722361"
"MA-A02-04","羅區71-72林班","3","325705","2722550"
"MA-A02-04","羅區71-72林班","4","325812","2722719"
"MA-A02-04","羅區71-72林班","6","325947","2723092"
"MA-A02-05","羅區73-75，79-80林班","1","327929","2722894"
"MA-A02-05","羅區73-75，79-80林班","3","327934","2722527"
"MA-A02-05","羅區73-75，79-80林班","4","327853","2722338"
"MA-A02-05","羅區73-75，79-80林班","5","327665","2722406"
"MA-A02-05","羅區73-75，79-80林班","6","327468","2722366"
"MA-A02-06","羅區101林班","1","332556","2721662"
"MA-A02-06","羅區101林班","2","332426","2721510"
"MA-A02-06","羅區101林班","3","332410","2721311"
"MA-A02-06","羅區101林班","4","332303","2721139"
