Site_N,Point,Year,Survey,Macaca_sur,Macaca_dist,Time,TypeName,Distance,Do.survey,TypeName.1,Altitude,County,x,y,Pointid
A28-10,5,2015,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,苗栗縣,120.916944,24.578289,A28-10-05
A28-10,6,2015,1,0,A,A,闊葉樹林型,0,1,闊葉林,A,苗栗縣,120.919214,24.579175,A28-10-06
A29-17,3,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,台中市,120.775365,24.054861,A29-17-03
A29-17,4,2015,2,1,A,A,竹闊混淆林,0,1,混淆林,A,台中市,120.777405,24.052291,A29-17-04
A29-17,6,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,台中市,120.784098,24.048273,A29-17-06
A29-17,7,2015,2,1,B,A,待成林地,0,1,,A,台中市,120.7861,24.04744,A29-17-07
A16-05,3,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.477289,24.195986,A16-05-03
A16-05,8,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.452045,24.202745,A16-05-08
A16-04,1,2015,1,1,B,B,闊葉樹林型,1.91362901,1,闊葉林,A,花蓮縣,121.492113,24.198395,A16-04-01
A16-04,1,2015,2,1,B,A,闊葉樹林型,1.91362901,1,闊葉林,A,花蓮縣,121.492113,24.198395,A16-04-01
A16-04,10,2015,2,1,B,A,闊葉樹林型,14.15975808,1,闊葉林,A,花蓮縣,121.484255,24.202907,A16-04-10
A18-01,6,2015,1,1,B,A,闊葉樹林型,1.15732379,1,闊葉林,A,花蓮縣,121.382764,23.710838,A18-01-06
A18-01,8,2015,1,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.377885,23.712412,A18-01-08
A18-01,2,2015,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.371958,23.714675,A18-01-02
A18-01,6,2015,2,0,B,A,闊葉樹林型,1.15732379,1,闊葉林,A,花蓮縣,121.382764,23.710838,A18-01-06
B30-01,3,2015,2,0,B,A,闊葉樹林型,0,1,闊葉林,B,南投縣,121.171106,24.087265,B30-01-03
A33-07,1,2015,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,南投縣,120.789938,23.993996,A33-07-01
