Site_N,Point,Year,Survey,Macaca_sur,TypeName_O.x,Distance_O,X_new.x,Y_new.x,Do.survey,TypeName
A01-02,1,2015,1,0,闊葉樹林型,0,121.5734333,25.18479444,1,純闊葉林
A01-02,3,2015,1,0,闊葉樹林型,2.06088353,121.5732306,25.18645556,1,純闊葉林
A01-02,4,2015,1,0,闊葉樹林型,0,121.570675,25.18715278,1,純闊葉林
A01-02,5,2015,1,0,闊葉樹林型,0.24467923,121.5716083,25.18919722,1,純闊葉林
A01-02,6,2015,1,0,闊葉樹林型,0,121.57235,25.19101667,1,純闊葉林
A01-02,7,2015,1,0,闊葉樹林型,2.07397436,121.5702528,25.19010556,1,純闊葉林
A01-02,8,2015,1,0,闊葉樹林型,0,121.5688694,25.19152778,1,純闊葉林
A01-02,9,2015,1,0,闊葉樹林型,0,121.5686778,25.18863056,1,純闊葉林
A01-02,10,2015,1,0,闊葉樹林型,0,121.5684694,25.18659167,1,純闊葉林
A02-01,1,2015,1,0,竹林,2.03077445,121.8161944,25.11127778,1,竹林
A02-01,2,2015,1,0,闊葉樹林型,0,121.8196389,25.11119444,1,純闊葉林
A02-01,3,2015,1,0,針葉樹林型,0,121.8215,25.11036111,1,純針葉林
A02-01,4,2015,1,0,闊葉樹林型,2.84919276,121.8198333,25.10975,1,純闊葉林
A02-01,5,2015,1,0,闊葉樹林型,1.77998785,121.8223056,25.10844444,1,純闊葉林
A02-01,6,2015,1,0,闊葉樹林型,11.87156963,121.8235,25.10994444,1,純闊葉林
A02-01,7,2015,1,0,闊葉樹林型,0.71127275,121.8238056,25.10694444,1,純闊葉林
A02-01,8,2015,1,0,闊葉樹林型,0,121.8278056,25.10944444,1,純闊葉林
A02-01,9,2015,1,0,闊葉樹林型,8.40287519,121.8301667,25.11194444,1,純闊葉林
A02-01,10,2015,1,0,闊葉樹林型,0,121.8329444,25.11166667,1,純闊葉林
A02-03,1,2015,1,0,竹林,0,121.7875528,25.05801667,1,竹林
A02-03,2,2015,1,0,竹闊混淆林,3.57418962,121.7902111,25.05828333,1,混淆林
A02-03,3,2015,1,0,竹林,4.72019832,121.7923472,25.05901111,1,竹林
A02-03,4,2015,1,0,竹闊混淆林,0,121.7938944,25.05753333,1,混淆林
A02-03,5,2015,1,0,闊葉樹林型,0,121.7934639,25.05560278,1,純闊葉林
A02-03,6,2015,1,0,闊葉樹林型,0,121.7917889,25.05525833,1,純闊葉林
A02-03,7,2015,1,0,闊葉樹林型,0,121.7899694,25.056,1,純闊葉林
A02-03,8,2015,1,0,竹林,2.04561716,121.7879278,25.05601111,1,竹林
A02-03,9,2015,1,0,闊葉樹林型,0,121.7868861,25.05285833,1,純闊葉林
A02-03,10,2015,1,0,竹林,0,121.7837861,25.05141111,1,竹林
A02-07,1,2015,1,0,竹林,0,121.9267833,25.00959167,1,竹林
A02-07,3,2015,1,0,闊葉樹林型,0,121.9271833,25.00730833,1,純闊葉林
A02-07,4,2015,1,0,闊葉樹林型,0,121.9298333,25.00001389,1,純闊葉林
A02-07,5,2015,1,0,闊葉樹林型,0,121.9284222,24.99805556,1,純闊葉林
A02-07,7,2015,1,0,闊葉樹林型,0,121.9268139,24.99524722,1,純闊葉林
A02-07,8,2015,1,0,闊葉樹林型,0,121.9252306,24.99406667,1,純闊葉林
A02-07,10,2015,1,0,竹林,3.23192589,121.9293583,25.00155278,1,竹林
A02-08,3,2015,1,0,闊葉樹林型,0,121.9259889,24.97403889,1,純闊葉林
A02-08,5,2015,1,0,闊葉樹林型,0,121.9252833,24.98674444,1,純闊葉林
A02-08,7,2015,1,0,闊葉樹林型,0,121.9270556,24.97888889,1,純闊葉林
A02-08,8,2015,1,0,闊葉樹林型,0,121.9255139,24.98341944,1,純闊葉林
A02-08,10,2015,1,0,闊葉樹林型,0,121.9250861,24.989525,1,純闊葉林
A03-01,3,2015,1,0,闊葉樹林型,1.70978844,121.8311667,24.71793611,1,純闊葉林
A03-01,4,2015,1,0,闊葉樹林型,0,121.8306139,24.719175,1,純闊葉林
A03-01,5,2015,1,0,竹林,0,121.8325639,24.71656667,1,竹林
A03-07,4,2015,1,0,竹林,17.9546235,121.8094444,24.6625,1,竹林
A03-07,6,2015,1,0,闊葉樹林型,8.42929653,121.8016667,24.66833333,1,純闊葉林
A03-07,10,2015,1,0,竹林,12.56007042,121.8136111,24.65305556,1,竹林
A03-09,2,2015,1,0,闊葉樹林型,17.69707751,121.83725,24.60345278,1,純闊葉林
A03-09,4,2015,1,0,闊葉樹林型,11.81688483,121.8353361,24.59861667,1,純闊葉林
A03-09,5,2015,1,0,闊葉樹林型,2.11603499,121.8343111,24.60006944,1,純闊葉林
A03-09,6,2015,1,0,闊葉樹林型,1.05231867,121.8339833,24.60323611,1,純闊葉林
A03-10,1,2015,1,0,闊葉樹林型,13.83637668,121.846175,24.58173889,1,純闊葉林
A03-10,3,2015,1,0,闊葉樹林型,1.14562313,121.8452833,24.58605278,1,純闊葉林
A03-10,4,2015,1,0,闊葉樹林型,0.11652781,121.8438972,24.58722778,1,純闊葉林
A03-10,5,2015,1,0,闊葉樹林型,3.88345766,121.8422306,24.58809167,1,純闊葉林
A03-10,6,2015,1,0,闊葉樹林型,14.40901191,121.8435667,24.58513333,1,純闊葉林
A03-10,7,2015,1,0,闊葉樹林型,0,121.84105,24.60323611,1,純闊葉林
A03-16,1,2015,1,0,闊葉樹林型,3.63539197,121.7371917,24.79249167,1,純闊葉林
A03-16,2,2015,1,0,闊葉樹林型,8.16024961,121.7395833,24.7921,1,純闊葉林
A03-16,3,2015,1,0,闊葉樹林型,10.27332317,121.7426333,24.79288056,1,純闊葉林
A03-16,4,2015,1,0,闊葉樹林型,10.37169061,121.743,24.79627222,1,純闊葉林
A03-16,5,2015,1,0,闊葉樹林型,0,121.7431611,24.798475,1,純闊葉林
A03-16,6,2015,1,0,闊葉樹林型,0,121.7391444,24.79988611,1,純闊葉林
A03-16,7,2015,1,0,闊葉樹林型,0,121.7391444,24.80238333,1,純闊葉林
A03-16,8,2015,1,0,闊葉樹林型,2.03124748,121.7406222,24.80057222,1,純闊葉林
A03-22,1,2015,1,0,闊葉樹林型,10.25069207,121.8119506,24.60292806,1,純闊葉林
A03-22,2,2015,1,0,闊葉樹林型,0,121.8103408,24.60455694,1,純闊葉林
A03-22,3,2015,1,0,闊葉樹林型,0,121.8126372,24.60081472,1,純闊葉林
A03-22,6,2015,1,0,闊葉樹林型,2.23855459,121.8141936,24.60757056,1,純闊葉林
A04-03,1,2015,1,0,針葉樹林型,1.23875,121.7719167,24.86905556,1,純針葉林
A04-03,2,2015,1,0,針葉樹林型,0,121.7741667,24.86955556,1,純針葉林
A04-03,3,2015,1,0,闊葉樹林型,0,121.7736389,24.87258333,1,純闊葉林
A04-03,4,2015,1,0,闊葉樹林型,1.91724318,121.7769722,24.87305556,1,純闊葉林
A04-03,5,2015,1,0,針葉樹林型,0,121.7753889,24.87466667,1,純針葉林
A04-03,6,2015,1,0,闊葉樹林型,2.24373808,121.7690556,24.87244444,1,純闊葉林
A04-03,7,2015,1,0,闊葉樹林型,1.46844145,121.7685,24.87027778,1,純闊葉林
A04-03,8,2015,1,0,闊葉樹林型,0,121.7658611,24.87322222,1,純闊葉林
A04-03,9,2015,1,0,闊葉樹林型,1.49320788,121.7660278,24.87122222,1,純闊葉林
A04-03,10,2015,1,0,闊葉樹林型,0,121.7636111,24.87091667,1,純闊葉林
A04-04,1,2015,1,0,闊葉樹林型,0,121.5248667,25.18946944,1,純闊葉林
A04-04,2,2015,1,0,闊葉樹林型,0,121.5244583,25.19135,1,純闊葉林
A04-04,3,2015,1,0,闊葉樹林型,0,121.524775,25.19334167,1,純闊葉林
A04-04,4,2015,1,0,闊葉樹林型,0,121.5235,25.19489167,1,純闊葉林
A04-04,5,2015,1,0,闊葉樹林型,0,121.5221389,25.19637778,1,純闊葉林
A04-04,6,2015,1,0,闊葉樹林型,0,121.5211917,25.19806667,1,純闊葉林
A04-05,1,2015,1,0,闊葉樹林型,0,121.5475,25.15916667,1,純闊葉林
A04-05,2,2015,1,0,闊葉樹林型,0,121.5500028,25.16083333,1,純闊葉林
A04-05,3,2015,1,0,闊葉樹林型,0,121.5569444,25.16222222,1,純闊葉林
A04-05,4,2015,1,0,闊葉樹林型,0,121.5524972,25.16361111,1,純闊葉林
A04-05,5,2015,1,0,闊葉樹林型,0,121.5552778,25.16444444,1,純闊葉林
