"X","Y","NO"
121.45991,24.84218,1
121.46204,24.84178,2
121.46398,24.84013,3
121.46466,24.83826,4
121.46577,24.83666,5
121.46649,24.83481,6
121.23167,24.82878,7
121.23189,24.82706,8
121.23394,24.82869,9
121.23569,24.82967,10
121.23769,24.83025,11
121.24009,24.83053,12
121.24172,24.83161,13
121.24433,24.83378,14
121.24497,24.83617,15
121.244,24.83922,16
120.3015,22.75722,17
120.29948,22.75611,18
120.29601,22.75674,19
120.29389,22.75416,20
120.29349,22.75202,21
120.29517,22.74989,22
120.30087,22.75,23
120.30396,22.75212,24
120.30315,22.75512,25
121.58801,25.12467,26
121.58936,25.12675,27
121.59042,25.13078,28
121.59241,25.13212,29
121.59958,25.13523,30
121.59722,25.13222,31
121.59604,25.1296,32
121.59351,25.12808,33
121.59293,25.12402,34
121.59115,25.12257,35
121.44858,25.02419,36
121.4475,25.02281,37
121.44678,25.02119,38
121.44528,25.01967,39
121.44436,25.01789,40
121.44325,25.01528,41
121.445,25.02381,42
121.44297,25.02233,43
121.44117,25.02008,44
121.44097,25.01742,45
121.50358,24.92282,46
121.49955,24.91923,47
121.5019,24.9178,48
121.50413,24.91593,49
121.50212,24.91363,50
121.49849,24.91287,51
120.79703,23.67287,52
120.79839,23.67142,53
120.79889,23.66955,54
120.8,23.67166,55
120.79998,23.6734,56
120.80139,23.67316,57
120.80278,23.67301,58
120.80247,23.67159,59
120.80229,23.67028,60
120.80167,23.66834,61
120.80078,23.65764,62
120.80227,23.66299,63
120.80528,23.66514,64
120.8048,23.66272,65
120.80423,23.66014,66
120.80541,23.66172,67
120.80639,23.66293,68
120.80539,23.65976,69
120.80825,23.66333,70
120.80754,23.66167,71
120.4,23.46667,72
120.4,23.48333,73
120.38333,23.46667,74
121.09055,24.49781,75
121.08761,24.49993,76
121.08679,24.50251,77
121.08616,24.50547,78
121.08298,24.50137,79
121.0819,24.50074,80
121.07993,24.5002,81
121.07758,24.49997,82
121.07527,24.50255,83
121.07226,24.50531,84
120.38319,22.66037,85
120.38565,22.66153,86
120.38673,22.66384,87
120.3885,22.66519,88
120.38898,22.66766,89
120.38795,22.6694,90
120.38741,22.67117,91
121.59891,25.02642,92
121.5984,25.0277,93
121.59757,25.02911,94
121.59609,25.03073,95
121.59457,25.03251,96
121.59698,25.03354,97
121.59886,25.03341,98
121.60031,25.03359,99
121.60178,25.03358,100
121.60317,25.0328,101
121.31262,24.94178,102
121.31307,24.94353,103
121.31095,24.94272,104
121.31023,24.94801,105
121.30904,24.94986,106
121.30791,24.94806,107
121.30818,24.94625,108
121.31044,24.9455,109
120.67022,23.776,110
120.67278,23.77636,111
120.67286,23.77452,112
120.67242,23.77144,113
120.67471,23.77292,114
120.67589,23.7698,115
121.43201,24.59625,116
121.42889,24.59652,117
121.42752,24.59866,118
121.4283,24.60073,119
121.42999,24.60141,120
121.42874,24.60372,121
121.43103,24.60534,122
121.43089,24.60881,123
121.43261,24.61042,124
121.43338,24.61166,125
121.19125,25.08818,126
121.19232,25.09006,127
121.19383,25.09125,128
121.19541,25.09249,129
121.19539,25.09396,130
121.19324,25.09537,131
121.19074,25.09402,132
121.68171,24.99109,133
121.67894,24.98988,134
121.67697,24.99262,135
121.67372,24.992,136
121.67935,24.99334,137
121.68133,24.99403,138
121.68453,24.99371,139
121.68768,24.99513,140
121.06914,24.73261,141
121.06831,24.73589,142
121.06666,24.73844,143
121.06417,24.74017,144
121.05789,24.739,145
121.05467,24.73883,146
121.05406,24.73511,147
121.05258,24.73169,148
121.04897,24.72892,149
121.04633,24.72744,150
121.53784,24.93597,151
121.53679,24.93389,152
121.53552,24.93534,153
121.5348,24.93699,154
121.533,24.93845,155
121.53123,24.9353,156
121.53263,24.93373,157
121.53335,24.93185,158
121.53401,24.93034,159
121.53406,24.92844,160
121.5377,24.94072,161
121.5388,24.93916,162
121.54079,24.93886,163
121.54185,24.94049,164
121.54243,24.94223,165
121.54044,24.94242,166
120.587,23.3025,167
120.58631,23.29999,168
120.58482,23.29879,169
120.58472,23.29695,170
120.58454,23.29512,171
120.58442,23.29325,172
120.58315,23.29194,173
120.58109,23.29157,174
121.43444,24.86065,175
121.43614,24.8616,176
121.43757,24.85976,177
121.43878,24.85824,178
121.441,24.85736,179
121.44327,24.85689,180
121.44445,24.85483,181
121.44634,24.85408,182
121.44729,24.8523,183
121.44692,24.85029,184
120.7478,24.03368,185
120.74201,24.03495,186
120.74231,24.03659,187
120.74496,24.03703,188
120.74876,24.03774,189
120.75239,24.03728,190
120.75432,24.0384,191
120.75705,24.03793,192
120.75461,24.03449,193
120.75254,24.03409,194
120.66253,24.09362,195
120.65959,24.09295,196
120.66066,24.09101,197
120.66245,24.08889,198
120.66011,24.08799,199
120.65703,24.08823,200
120.65356,24.09315,201
120.65132,24.09382,202
121.36369,24.81118,203
121.368,24.81236,204
121.36962,24.813,205
121.37158,24.81549,206
121.37558,24.8202,207
121.37943,24.82104,208
121.38258,24.82532,209
121.38631,24.81256,210
121.37883,24.81319,211
121.52057,25.12999,212
121.51904,25.12806,213
121.51931,25.12602,214
121.52024,25.12446,215
121.51711,25.12457,216
121.51681,25.12615,217
121.51761,25.1276,218
121.51814,25.13077,219
121.48966,25.07926,220
121.49131,25.08146,221
121.48736,25.08378,222
121.48912,25.08829,223
121.49353,25.08651,224
121.4941,25.08439,225
120.95305,24.53446,226
120.9538,24.53764,227
120.95195,24.53938,228
120.94957,24.54101,229
120.95068,24.54282,230
120.94795,24.54276,231
120.84254,24.57303,232
120.84312,24.57653,233
120.84331,24.58027,234
120.84347,24.58319,235
120.8418,24.58569,236
120.83809,24.5877,237
120.83447,24.58965,238
120.83116,24.59015,239
120.82536,24.59331,240
120.53382,22.95417,241
120.53545,22.95857,242
120.53739,22.96006,243
120.54076,22.95916,244
120.5422,22.96057,245
120.55343,22.96249,246
120.55872,22.96091,247
121.48847,25.04667,248
121.48411,25.04864,249
121.48137,25.05218,250
121.47957,25.05561,251
121.47717,25.06052,252
121.47577,25.06362,253
121.47376,25.06364,254
121.47272,25.06549,255
121.45408,25.09814,256
121.45207,25.09799,257
121.4518,25.09577,258
121.45428,25.09496,259
121.45335,25.09187,260
121.45259,25.09013,261
121.45097,25.08896,262
121.45016,25.09064,263
121.45409,24.94487,264
121.45582,24.94599,265
121.45771,24.94682,266
121.45956,24.94773,267
121.46206,24.94738,268
121.46351,24.94886,269
120.23761,22.9405,270
120.23878,22.94169,271
120.23983,22.94303,272
120.24078,22.94408,273
120.24128,22.94528,274
120.24178,22.94664,275
120.24147,22.94789,276
120.24097,22.94914,277
120.24158,22.95083,278
120.24142,22.95264,279
120.56988,23.02052,280
120.56944,23.02228,281
120.56912,23.02382,282
120.57129,23.0217,283
120.57238,23.02381,284
120.57333,23.02485,285
120.57058,23.02442,286
120.57222,23.02779,287
121.55744,24.97881,288
121.55894,24.98028,289
121.56144,24.97994,290
121.56369,24.98097,291
121.56586,24.98142,292
121.56806,24.98111,293
121.57025,24.98206,294
121.57189,24.986,295
121.57192,24.98778,296
121.57228,24.99092,297
121.5725,24.99308,298
121.57319,24.99525,299
121.57522,24.99681,300
121.57619,24.99864,301
121.57836,24.99944,302
121.58075,24.99942,303
121.57628,24.96992,304
121.57597,24.96828,305
121.57747,24.96808,306
121.57881,24.97019,307
121.58003,24.97128,308
121.57942,24.97325,309
120.45728,23.84502,310
120.45785,23.84105,311
120.45479,23.84077,312
120.45498,23.83871,313
120.45882,23.83727,314
120.4544,23.83457,315
120.45701,23.83329,316
120.45323,23.8318,317
120.46258,23.83793,318
121.52487,25.18947,319
121.52446,25.19135,320
121.52478,25.19334,321
121.5235,25.19489,322
121.52214,25.19638,323
121.52119,25.19807,324
121.75369,24.6815,325
121.75372,24.68327,326
121.75176,24.68388,327
121.75017,24.68291,328
121.74979,24.68483,329
121.75201,24.68604,330
121.75379,24.68509,331
121.75547,24.68428,332
121.75701,24.68274,333
121.75584,24.68121,334
120.68333,24.03333,335
120.69411,24.04306,336
120.6961,24.04235,337
120.6986,24.04154,338
120.70069,24.04154,339
120.70312,24.04211,340
120.69583,24.04005,341
120.69445,24.04597,342
120.37411,23.90143,343
120.37297,23.90411,344
120.36997,23.9043,345
120.36505,23.90398,346
120.36542,23.90194,347
120.36468,23.89718,348
120.36612,23.89442,349
120.37089,23.89571,350
120.37278,23.89501,351
120.37419,23.89748,352
121.53818,25.02892,353
121.54119,25.02838,354
121.54324,25.0258,355
121.54533,25.02631,356
121.54612,25.02942,357
121.54864,25.03085,358
121.54337,25.03115,359
121.53947,25.03122,360
121.53482,25.03103,361
121.53628,25.02765,362
121.55475,24.00655,363
121.55236,24.00712,364
121.55062,24.00858,365
121.5489,24.01075,366
121.55184,24.01002,367
121.55515,24.00994,368
121.5505,24.01322,369
121.55393,24.01214,370
121.49212,25.14341,371
121.49266,25.14514,372
121.49309,25.14673,373
121.49407,25.14829,374
121.49456,25.15004,375
121.49326,25.1519,376
121.49182,25.15186,377
121.491,25.15442,378
121.49173,25.14985,379
121.49234,25.14847,380
120.858,24.56788,381
120.86003,24.5703,382
120.86193,24.57197,383
120.86437,24.57087,384
120.86718,24.57053,385
120.86907,24.56842,386
120.34292,23.98964,387
120.34108,23.98967,388
120.3393,23.98953,389
120.33753,23.98953,390
120.33569,23.98944,391
120.33384,23.98939,392
120.33208,23.98933,393
120.32919,23.98519,394
120.32758,23.981,395
120.32611,23.97692,396
120.58778,23.81417,397
120.59278,23.81107,398
120.58672,23.81263,399
120.58973,23.81084,400
120.5825,23.81389,401
120.58277,23.8121,402
120.58611,23.80972,403
120.58452,23.808,404
120.58235,23.80842,405
120.58777,23.8075,406
120.55333,23.92333,407
120.56028,23.92236,408
120.55736,23.92519,409
120.55556,23.9275,410
120.55735,23.92991,411
120.55939,23.9273,412
120.56014,23.93083,413
120.55242,23.92806,414
120.55183,23.93139,415
120.55178,23.92535,416
120.56691,22.96975,417
120.56922,22.97285,418
120.56952,22.97049,419
120.57117,22.96924,420
120.57357,22.96944,421
120.57484,22.96737,422
120.35248,22.62223,423
120.35605,22.62201,424
120.35474,22.6238,425
120.35557,22.6256,426
120.35644,22.62803,427
120.35618,22.63081,428
121.57883,25.10568,429
121.57733,25.10544,430
121.57595,25.10399,431
121.57446,25.10249,432
121.57294,25.10213,433
121.57117,25.10099,434
121.56965,25.09976,435
121.5679,25.0992,436
121.56636,25.09823,437
121.56472,25.09774,438
121.56849,25.10614,439
121.56734,25.10495,440
121.57003,25.10426,441
121.57149,25.10525,442
121.57521,25.10588,443
121.56921,25.10262,444
121.57333,25.10624,445
120.69347,23.60681,446
120.69257,23.60476,447
120.68992,23.60244,448
120.69206,23.60269,449
120.69411,23.60133,450
120.69628,23.60269,451
120.70383,23.60203,452
121.81233,24.66356,453
121.81581,24.65987,454
121.81433,24.65827,455
121.80961,24.66272,456
121.80786,24.65805,457
121.8019,24.66856,458
121.80393,24.66699,459
121.81003,24.65269,460
121.80561,24.65296,461
121.81367,24.65307,462
121.47073,25.18388,463
121.47801,25.18369,464
121.47772,25.18138,465
121.47476,25.18143,466
121.47296,25.17747,467
121.46924,25.17847,468
120.98344,24.79236,469
120.98527,24.79143,470
120.98534,24.79304,471
120.98718,24.79078,472
120.98871,24.7921,473
120.98674,24.79439,474
120.98722,24.79717,475
121.24694,25.01004,476
121.24295,25.00695,477
121.24119,25.01107,478
121.23969,25.01398,479
121.23449,25.00964,480
121.23816,25.01089,481
121.74682,24.75592,482
121.74949,24.75491,483
121.75335,24.75285,484
121.75477,24.75462,485
121.75663,24.7545,486
121.75819,24.75082,487
121.75371,24.74563,488
121.75446,24.74384,489
121.75256,24.74338,490
121.75185,24.74515,491
121.75006,24.74468,492
121.75365,24.7404,493
121.75526,24.74201,494
121.74486,24.75774,495
121.7442,24.76009,496
121.74968,24.76203,497
121.75042,24.76556,498
121.75773,24.76398,499
121.76074,24.76211,500
120.46798,24.05592,501
120.4692,24.0575,502
120.46915,24.06009,503
120.47193,24.05945,504
120.47396,24.05822,505
120.47611,24.0573,506
120.47789,24.0565,507
120.48205,24.05641,508
120.47259,24.05526,509
120.88889,23.59869,510
120.88905,23.59649,511
120.88945,23.59409,512
120.89285,23.59199,513
120.89602,23.58909,514
120.88702,23.5914,515
120.88614,23.59437,516
120.88544,23.59639,517
121.72305,24.72748,518
121.72109,24.72601,519
121.7191,24.72527,520
121.71698,24.72454,521
121.71586,24.72212,522
121.71414,24.72105,523
121.71238,24.72007,524
121.71237,24.71811,525
121.71069,24.71698,526
121.37583,24.69111,527
121.37805,24.68972,528
121.37805,24.68639,529
121.3775,24.68306,530
121.37361,24.68194,531
121.37306,24.67917,532
121.37028,24.6775,533
121.36833,24.67444,534
121.36583,24.67417,535
121.36354,24.67678,536
121.29794,24.96827,537
121.29885,24.96647,538
121.29677,24.96447,539
