Altitude,S_all_X,S_all_Y
469,121.45991,24.84218
493,121.46204,24.84178
522,121.46398,24.84013
502,121.46466,24.83826
532,121.46577,24.83666
554,121.46649,24.83481
252,121.23167,24.82878
222,121.23189,24.82706
219,121.23394,24.82869
213,121.23569,24.82967
205,121.23769,24.83025
194,121.24009,24.83053
192,121.24172,24.83161
192,121.24433,24.83378
211,121.24497,24.83617
232,121.244,24.83922
6,120.3015,22.75722
5,120.29948,22.75611
4,120.29601,22.75674
4,120.29389,22.75416
4,120.29349,22.75202
4,120.29517,22.74989
4,120.30087,22.75
5,120.30396,22.75212
6,120.30315,22.75512
219,121.58801,25.12467
254,121.58936,25.12675
301,121.59042,25.13078
321,121.59241,25.13212
482,121.59958,25.13523
446,121.59722,25.13222
427,121.59604,25.1296
391,121.59351,25.12808
389,121.59293,25.12402
298,121.59115,25.12257
5,121.44858,25.02419
5,121.4475,25.02281
5,121.44678,25.02119
5,121.44528,25.01967
5,121.44436,25.01789
5,121.44325,25.01528
5,121.445,25.02381
8,121.44297,25.02233
9,121.44117,25.02008
6,121.44097,25.01742
393,121.50358,24.92282
413,121.49955,24.91923
422,121.5019,24.9178
421,121.50413,24.91593
438,121.50212,24.91363
471,121.49849,24.91287
1130,120.79703,23.67287
1160,120.79839,23.67142
1189,120.79889,23.66955
1177,120.8,23.67166
1170,120.79998,23.6734
1229,120.80139,23.67316
1294,120.80278,23.67301
1316,120.80247,23.67159
1295,120.80229,23.67028
1274,120.80167,23.66834
1423,120.80078,23.65764
1480,120.80227,23.66299
1524,120.80528,23.66514
1563,120.8048,23.66272
1611,120.80423,23.66014
1670,120.80541,23.66172
1658,120.80639,23.66293
1716,120.80539,23.65976
1770,120.80825,23.66333
1807,120.80754,23.66167
25,120.4,23.46667
23,120.4,23.48333
19,120.38333,23.46667
2329,121.09055,24.49781
2360,121.08761,24.49993
2381,121.08679,24.50251
2394,121.08616,24.50547
2383,121.08298,24.50137
2393,121.0819,24.50074
2387,121.07993,24.5002
2390,121.07758,24.49997
2412,121.07527,24.50255
2439,121.07226,24.50531
27,120.38319,22.66037
60,120.38565,22.66153
62,120.38673,22.66384
56,120.3885,22.66519
77,120.38898,22.66766
66,120.38795,22.6694
77,120.38741,22.67117
99,121.59891,25.02642
113,121.5984,25.0277
145,121.59757,25.02911
155,121.59609,25.03073
188,121.59457,25.03251
198,121.59698,25.03354
196,121.59886,25.03341
167,121.60031,25.03359
156,121.60178,25.03358
145,121.60317,25.0328
132,121.31262,24.94178
131,121.31307,24.94353
130,121.31095,24.94272
124,121.31023,24.94801
124,121.30904,24.94986
125,121.30791,24.94806
127,121.30818,24.94625
126,121.31044,24.9455
141,120.67022,23.776
133,120.67278,23.77636
136,120.67286,23.77452
141,120.67242,23.77144
120,120.67471,23.77292
126,120.67589,23.7698
1656,121.43201,24.59625
1658,121.42889,24.59652
1685,121.42752,24.59866
1698,121.4283,24.60073
1692,121.42999,24.60141
1704,121.42874,24.60372
1711,121.43103,24.60534
1738,121.43089,24.60881
1759,121.43261,24.61042
1773,121.43338,24.61166
6,121.19125,25.08818
5,121.19232,25.09006
5,121.19383,25.09125
4,121.19541,25.09249
3,121.19539,25.09396
4,121.19324,25.09537
4,121.19074,25.09402
384,121.68171,24.99109
316,121.67894,24.98988
500,121.67697,24.99262
550,121.67372,24.992
500,121.67935,24.99334
543,121.68133,24.99403
520,121.68453,24.99371
572,121.68768,24.99513
212,121.06914,24.73261
179,121.06831,24.73589
209,121.06666,24.73844
210,121.06417,24.74017
207,121.05789,24.739
177,121.05467,24.73883
162,121.05406,24.73511
163,121.05258,24.73169
164,121.04897,24.72892
177,121.04633,24.72744
55,121.53784,24.93597
45,121.53679,24.93389
62,121.53552,24.93534
52,121.5348,24.93699
59,121.533,24.93845
71,121.53123,24.9353
64,121.53263,24.93373
61,121.53335,24.93185
64,121.53401,24.93034
51,121.53406,24.92844
25,121.5377,24.94072
30,121.5388,24.93916
25,121.54079,24.93886
27,121.54185,24.94049
