X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
121.50483,25.13664,"3,001",闊葉樹林型,,生產性人工林,0.379039,119.727915649222
121.50758,25.13663,"3,002",闊葉樹林型,,生產性人工林,0.155319,77.1091893924069
121.50958,25.13699,"3,003",闊葉樹林型,,生產性人工林,0.21138,0.397938898661295
120.58468,22.83141,"3,004",闊葉樹林型,,生產性人工林,0.179127,85.9529674314373
120.58622,22.83273,"3,005",闊葉樹林型,,生產性人工林,0.40857,96.5417735053102
120.58976,22.83651,"3,006",闊葉樹林型,,生產性人工林,0.40857,345.467345448348
120.59162,22.83877,"3,007",竹林,,生產性人工林,0.300902,311.185363569705
120.59178,22.83574,"3,008",闊葉樹林型,,生產性人工林,0.40857,461.66225178805
120.59054,22.83326,"3,009",闊葉樹林型,,生產性人工林,0.40857,307.371354135471
120.59183,22.83091,"3,010",闊葉樹林型,,生產性人工林,0.133968,314.948340399893
121.00146,24.78938,"3,011",闊葉樹林型,,經改造天然林,299.749,266.116037787725
121.00222,24.78717,"3,012",闊葉樹林型,,經改造天然林,299.749,205.437057718253
120.99986,24.78374,"3,013",闊葉樹林型,,經改造天然林,299.749,327.687519864638
120.99467,24.78505,"3,014",闊葉樹林型,,經改造天然林,111.198,308.772889211516
120.99522,24.78697,"3,015",闊葉樹林型,,經改造天然林,934.669,338.474729447958
120.99549,24.78935,"3,016",闊葉樹林型,,經改造天然林,934.669,399.723693831151
120.99792,24.78916,"3,017",闊葉樹林型,,經改造天然林,299.749,619.654171756286
120.99942,24.78771,"3,018",闊葉樹林型,,經改造天然林,299.749,479.131900965556
120.99794,24.78537,"3,019",闊葉樹林型,,經改造天然林,299.749,541.540281577928
121.45498,24.88822,"3,020",闊葉樹林型,"2221",經改造天然林,103298,0
121.45847,24.88858,"3,021",闊葉樹林型,"2221",經改造天然林,103298,4.20876260256309
121.46205,24.88915,"3,022",闊葉樹林型,"2221",經改造天然林,954.47,0
121.46213,24.88592,"3,023",闊葉樹林型,"2221",經改造天然林,7125.18,0
121.46225,24.88183,"3,024",闊葉樹林型,"2221",經改造天然林,7125.18,3.93818815405858
121.46258,24.87992,"3,025",闊葉樹林型,"2221",經改造天然林,7125.18,0.192376988920946
121.46163,24.87762,"3,026",闊葉樹林型,"2221",經改造天然林,213771,0
121.46008,24.87563,"3,027",闊葉樹林型,"2221",經改造天然林,213771,20.9953918322772
121.45678,24.87265,"3,028",闊葉樹林型,"2221",經改造天然林,103298,0
120.7,23.93333,"3,029",闊葉樹林型,,經改造天然林,2737.78,6.47205778905064
120.68333,23.93333,"3,030",竹林,,生產性人工林,1484.67,21.6029230626544
121.26063,25.09275,"3,031",竹林,,生產性人工林,713.674,7.88546175402952
121.26268,25.09326,"3,032",竹林,,生產性人工林,713.674,28.8464453412672
121.26353,25.095,"3,033",闊葉樹林型,,經改造天然林,1069.06,65.826067119738
121.26544,25.09424,"3,034",闊葉樹林型,,經改造天然林,1069.06,54.882681142858
121.26584,25.09208,"3,035",闊葉樹林型,,經改造天然林,1069.06,57.9871731774088
121.26799,25.09107,"3,036",闊葉樹林型,,經改造天然林,1069.06,21.0396879889432
121.26614,25.08833,"3,037",闊葉樹林型,,經改造天然林,1069.06,20.6775323947516
121.26943,25.08756,"3,038",竹林,,生產性人工林,713.674,40.7207631603016
120.37689,22.62005,"3,039",闊葉樹林型,,經改造天然林,2558.7,128.150624304785
120.37862,22.61738,"3,040",闊葉樹林型,,經改造天然林,2558.7,299.751537770862
120.38064,22.61519,"3,041",竹林,,經改造天然林,3231.53,191.380567775429
120.38042,22.61302,"3,042",竹林,,經改造天然林,3231.53,132.036228969327
120.38069,22.61032,"3,043",闊葉樹林型,,經改造天然林,2558.7,159.983480572155
120.37889,22.608,"3,044",闊葉樹林型,,經改造天然林,2558.7,299.005137040323
120.37702,22.60777,"3,045",闊葉樹林型,,經改造天然林,2558.7,492.740432265369
120.37381,22.6091,"3,046",闊葉樹林型,,經改造天然林,2558.7,826.5456073076
120.37556,22.6095,"3,047",闊葉樹林型,,經改造天然林,2558.7,656.599213986046
120.37518,22.6141,"3,048",竹林,,經改造天然林,3231.53,683.696631855656
121.35847,25.09164,"3,049",闊葉樹林型,,原生林,8883.09,0
121.3605,25.09053,"3,050",闊葉樹林型,,經改造天然林,2104.06,0
121.36239,25.08992,"3,051",闊葉樹林型,,原生林,8883.09,0
121.36519,25.08781,"3,052",闊葉樹林型,,原生林,8883.09,0
121.36664,25.08653,"3,053",闊葉樹林型,,原生林,8883.09,0
121.36269,25.08619,"3,054",闊葉樹林型,,原生林,8883.09,0
121.36267,25.08819,"3,055",闊葉樹林型,,原生林,8883.09,6.34895151221306
120.26628,23.18158,"3,056",闊葉樹林型,,生產性人工林,0.214388,316.958978423695
120.26981,23.18481,"3,057",闊葉樹林型,,生產性人工林,3.4939,191.106662228958
120.26797,23.18436,"3,058",闊葉樹林型,,生產性人工林,3.4939,125.52847345736
120.26697,23.18614,"3,059",闊葉樹林型,,生產性人工林,3.4939,9.53908065519713
120.26808,23.18753,"3,060",闊葉樹林型,,生產性人工林,3.4939,0
120.26956,23.18742,"3,061",闊葉樹林型,,生產性人工林,3.4939,0
120.27158,23.1885,"3,062",闊葉樹林型,,生產性人工林,0.157882,59.0204157196982
120.27097,23.19019,"3,063",闊葉樹林型,,生產性人工林,0.157882,234.511168111333
120.26914,23.19036,"3,064",闊葉樹林型,,生產性人工林,0.675372,162.210999279731
120.72172,23.91895,"3,065",竹闊混淆林,"2211",生產性人工林,13227.2,2.05356883672863
120.72638,23.91899,"3,066",闊葉樹林型,,經改造天然林,2737.78,6.68067194084431
120.72978,23.92088,"3,067",闊葉樹林型,"2221",經改造天然林,0.574476,0
120.73351,23.92388,"3,068",闊葉樹林型,,經改造天然林,2737.78,9.45951736226647
120.7394,23.92494,"3,069",竹林,,生產性人工林,1484.67,0
120.74098,23.92876,"3,070",闊葉樹林型,"2211",生產性人工林,19509,54.4820510430856
120.73876,23.93134,"3,071",闊葉樹林型,,經改造天然林,2737.78,21.5942232422581
120.91173,24.61511,"3,072",闊葉樹林型,"2221",經改造天然林,103298,12.9738595161399
120.91338,24.61231,"3,073",闊葉樹林型,"2221",經改造天然林,103298,0.553719845905057
120.91034,24.61271,"3,074",竹林,"2211",生產性人工林,3361.1,0
120.90879,24.61052,"3,075",竹林,"2211",生產性人工林,13139.1,0
120.90639,24.60989,"3,076",竹林,"2211",生產性人工林,16093.4,0
120.90373,24.60947,"3,077",闊葉樹林型,"2221",經改造天然林,103298,0.588028194848448
120.90178,24.60926,"3,078",闊葉樹林型,"2221",經改造天然林,103298,14.3942945903676
120.90008,24.6085,"3,079",闊葉樹林型,"2221",經改造天然林,103298,0
120.89801,24.60912,"3,080",闊葉樹林型,"2221",經改造天然林,213771,0
121.58382,24.97588,"3,081",闊葉樹林型,,原生林,3208.01,0
121.58123,24.97333,"3,082",竹林,,生產性人工林,203.755,1.03429102878391
121.58321,24.96865,"3,083",闊葉樹林型,,原生林,3208.01,4.36807384290915
121.58736,24.97105,"3,084",闊葉樹林型,,經改造天然林,42.2977,2.44179158960505
121.5875,24.9662,"3,085",闊葉樹林型,,原生林,3208.01,0
