COUNTYNAME,area,perimeter
連江縣,29735060.46,163656.7566
宜蘭縣,2201426270,351171.3309
彰化縣,1244548944,208455.038
南投縣,4097754662,405607.7473
雲林縣,1399574918,332283.3067
屏東縣,2805016554,382396.5107
基隆市,137570231.7,85419.88278
新竹市,124389957.4,67398.43257
台北市,269847320,108525.4592
新北市,2066260746,517624.3971
台中市,2239785609,335046.4455
台南市,2258815738,259787.8734
桃園市,1217223220,267665.2874
苗栗縣,1826676428,229692.6463
新竹縣,1411565351,249591.3331
嘉義市,59722166.13,46072.8972
嘉義縣,1952767659,419080.742
金門縣,185030687.4,145612.5929
高雄市,2998498836,468822.2894
台東縣,3582207089,534421.8266
花蓮縣,4605321116,469194.0315
澎湖縣,135223750,583758.2905
