NL_NAME_2,area,perimeter
金門縣,150148340.00 ,"143,597"
馬祖列島,32699900.00 ,"157,703"
高雄市,2969638142.00 ,"471,508"
新北市,2058588780.00 ,"472,675"
台中市,2243227450.00 ,"356,136"
台南市,2223981105.00 ,"316,407"
台北市,278081729.00 ,"101,112"
彰化縣,1159788530.00 ,"241,196"
嘉義市,61175721.00 ,"34,524"
嘉義縣,1928447753.00 ,"416,407"
新竹市,120695452.00 ,"68,292"
新竹縣,1406526441.00 ,"215,872"
花蓮縣,4534596675.00 ,"453,336"
基隆市,134247455.00 ,"82,529"
苗栗縣,1849839756.00 ,"229,679"
南投縣,4073113955.00 ,"322,033"
澎湖縣,154696186.00 ,"491,460"
屏東縣,2774082221.00 ,"433,988"
台東縣,3526551024.00 ,"563,039"
桃園市,1238790086.00 ,"222,584"
宜蘭縣,2135393694.00 ,"308,636"
雲林縣,1346779288.00 ,"259,833"
