Altitude,S_all_X,S_all_Y
474.00000,121.45991,24.84218
493.00000,121.46204,24.84178
514.00000,121.46398,24.84013
502.00000,121.46466,24.83826
532.00000,121.46577,24.83666
546.00000,121.46649,24.83481
252.00000,121.23167,24.82878
222.00000,121.23189,24.82706
219.00000,121.23394,24.82869
211.00000,121.23569,24.82967
201.00000,121.23769,24.83025
192.00000,121.24009,24.83053
194.00000,121.24172,24.83161
195.00000,121.24433,24.83378
211.00000,121.24497,24.83617
232.00000,121.244,24.83922
6.00000,120.3015,22.75722
5.00000,120.29948,22.75611
4.00000,120.29601,22.75674
4.00000,120.29389,22.75416
4.00000,120.29349,22.75202
4.00000,120.29517,22.74989
5.00000,120.30087,22.75
5.00000,120.30396,22.75212
6.00000,120.30315,22.75512
222.00000,121.58801,25.12467
256.00000,121.58936,25.12675
292.00000,121.59042,25.13078
321.00000,121.59241,25.13212
482.00000,121.59958,25.13523
446.00000,121.59722,25.13222
427.00000,121.59604,25.1296
391.00000,121.59351,25.12808
389.00000,121.59293,25.12402
298.00000,121.59115,25.12257
5.00000,121.44858,25.02419
5.00000,121.4475,25.02281
5.00000,121.44678,25.02119
5.00000,121.44528,25.01967
5.00000,121.44436,25.01789
5.00000,121.44325,25.01528
5.00000,121.445,25.02381
7.00000,121.44297,25.02233
9.00000,121.44117,25.02008
6.00000,121.44097,25.01742
393.00000,121.50358,24.92282
413.00000,121.49955,24.91923
422.00000,121.5019,24.9178
421.00000,121.50413,24.91593
438.00000,121.50212,24.91363
471.00000,121.49849,24.91287
1130.00000,120.79703,23.67287
1156.00000,120.79839,23.67142
1189.00000,120.79889,23.66955
1177.00000,120.8,23.67166
1170.00000,120.79998,23.6734
1229.00000,120.80139,23.67316
1294.00000,120.80278,23.67301
1316.00000,120.80247,23.67159
1295.00000,120.80229,23.67028
1266.00000,120.80167,23.66834
1414.00000,120.80078,23.65764
1480.00000,120.80227,23.66299
1526.00000,120.80528,23.66514
1563.00000,120.8048,23.66272
1594.00000,120.80423,23.66014
1670.00000,120.80541,23.66172
1658.00000,120.80639,23.66293
1716.00000,120.80539,23.65976
1768.00000,120.80825,23.66333
1807.00000,120.80754,23.66167
25.00000,120.4,23.46667
23.00000,120.4,23.48333
19.00000,120.38333,23.46667
2329.00000,121.09055,24.49781
2360.00000,121.08761,24.49993
2381.00000,121.08679,24.50251
2394.00000,121.08616,24.50547
2392.00000,121.08298,24.50137
2393.00000,121.0819,24.50074
2387.00000,121.07993,24.5002
2390.00000,121.07758,24.49997
2413.00000,121.07527,24.50255
2437.00000,121.07226,24.50531
24.00000,120.38319,22.66037
62.00000,120.38565,22.66153
62.00000,120.38673,22.66384
56.00000,120.3885,22.66519
69.00000,120.38898,22.66766
66.00000,120.38795,22.6694
83.00000,120.38741,22.67117
89.00000,121.59891,25.02642
112.00000,121.5984,25.0277
145.00000,121.59757,25.02911
166.00000,121.59609,25.03073
182.00000,121.59457,25.03251
202.00000,121.59698,25.03354
200.00000,121.59886,25.03341
167.00000,121.60031,25.03359
156.00000,121.60178,25.03358
129.00000,121.60317,25.0328
132.00000,121.31262,24.94178
131.00000,121.31307,24.94353
130.00000,121.31095,24.94272
124.00000,121.31023,24.94801
124.00000,121.30904,24.94986
125.00000,121.30791,24.94806
127.00000,121.30818,24.94625
126.00000,121.31044,24.9455
141.00000,120.67022,23.776
133.00000,120.67278,23.77636
137.00000,120.67286,23.77452
141.00000,120.67242,23.77144
121.00000,120.67471,23.77292
128.00000,120.67589,23.7698
1634.00000,121.43201,24.59625
1658.00000,121.42889,24.59652
1685.00000,121.42752,24.59866
1698.00000,121.4283,24.60073
1692.00000,121.42999,24.60141
1704.00000,121.42874,24.60372
1712.00000,121.43103,24.60534
1738.00000,121.43089,24.60881
1759.00000,121.43261,24.61042
1773.00000,121.43338,24.61166
6.00000,121.19125,25.08818
5.00000,121.19232,25.09006
5.00000,121.19383,25.09125
4.00000,121.19541,25.09249
3.00000,121.19539,25.09396
2.00000,121.19324,25.09537
4.00000,121.19074,25.09402
384.00000,121.68171,24.99109
325.00000,121.67894,24.98988
517.00000,121.67697,24.99262
550.00000,121.67372,24.992
521.00000,121.67935,24.99334
543.00000,121.68133,24.99403
525.00000,121.68453,24.99371
572.00000,121.68768,24.99513
212.00000,121.06914,24.73261
180.00000,121.06831,24.73589
222.00000,121.06666,24.73844
206.00000,121.06417,24.74017
207.00000,121.05789,24.739
177.00000,121.05467,24.73883
162.00000,121.05406,24.73511
163.00000,121.05258,24.73169
164.00000,121.04897,24.72892
177.00000,121.04633,24.72744
55.00000,121.53784,24.93597
45.00000,121.53679,24.93389
62.00000,121.53552,24.93534
54.00000,121.5348,24.93699
55.00000,121.533,24.93845
71.00000,121.53123,24.9353
68.00000,121.53263,24.93373
48.00000,121.53335,24.93185
64.00000,121.53401,24.93034
51.00000,121.53406,24.92844
25.00000,121.5377,24.94072
30.00000,121.5388,24.93916
25.00000,121.54079,24.93886
27.00000,121.54185,24.94049
27.00000,121.54243,24.94223
33.00000,121.54044,24.94242
230.00000,120.587,23.3025
231.00000,120.58631,23.29999
228.00000,120.58482,23.29879
230.00000,120.58472,23.29695
230.00000,120.58454,23.29512
233.00000,120.58442,23.29325
231.00000,120.58315,23.29194
225.00000,120.58109,23.29157
242.00000,121.43444,24.86065
321.00000,121.43614,24.8616
360.00000,121.43757,24.85976
378.00000,121.43878,24.85824
391.00000,121.441,24.85736
418.00000,121.44327,24.85689
475.00000,121.44445,24.85483
458.00000,121.44634,24.85408
415.00000,121.44729,24.8523
377.00000,121.44692,24.85029
284.00000,120.7478,24.03368
209.00000,120.74201,24.03495
207.00000,120.74231,24.03659
207.00000,120.74496,24.03703
199.00000,120.74876,24.03774
206.00000,120.75239,24.03728
210.00000,120.75432,24.0384
217.00000,120.75705,24.03793
216.00000,120.75461,24.03449
271.00000,120.75254,24.03409
34.00000,120.66253,24.09362
33.00000,120.65959,24.09295
33.00000,120.66066,24.09101
33.00000,120.66245,24.08889
33.00000,120.66011,24.08799
32.00000,120.65703,24.08823
32.00000,120.65356,24.09315
32.00000,120.65132,24.09382
502.00000,121.36369,24.81118
