Site_N,Point,Year,Survey,Macaca_sur,Macaca_dist,Time,TypeName,Distance,Do.survey,TypeName.1,Altitude,County,x,y,Pointid
A28-10,5,2015,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,苗栗縣,120.916944,24.578289,A28-10-05
A29-17,3,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,台中市,120.775365,24.054861,A29-17-03
A29-17,4,2015,2,1,A,A,竹闊混淆林,0,1,混淆林,A,台中市,120.777405,24.052291,A29-17-04
A29-17,6,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,台中市,120.784098,24.048273,A29-17-06
A29-17,7,2015,2,1,B,A,待成林地,0,1,,A,台中市,120.7861,24.04744,A29-17-07
A16-05,3,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.477289,24.195986,A16-05-03
A16-05,8,2015,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.452045,24.202745,A16-05-08
A16-04,1,2015,1,1,B,B,闊葉樹林型,1.91362901,1,闊葉林,A,花蓮縣,121.492113,24.198395,A16-04-01
A16-04,1,2015,2,1,B,A,闊葉樹林型,1.91362901,1,闊葉林,A,花蓮縣,121.492113,24.198395,A16-04-01
A16-04,10,2015,2,1,B,A,闊葉樹林型,14.15975808,1,闊葉林,A,花蓮縣,121.484255,24.202907,A16-04-10
A18-01,6,2015,1,1,B,A,闊葉樹林型,1.15732379,1,闊葉林,A,花蓮縣,121.382764,23.710838,A18-01-06
A18-01,8,2015,1,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.377885,23.712412,A18-01-08
A18-01,2,2015,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.371958,23.714675,A18-01-02
A33-07,1,2015,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,南投縣,120.789938,23.993996,A33-07-01
C14-01,6,2015,1,1,C,B,針葉樹林型,11.23501915,1,針葉林,C,台中市,121.267129,24.389181,C14-01-06
C14-02,2,2015,1,1,B,A,針葉樹林型,5.6020991,1,針葉林,C,台中市,121.262191,24.389867,C14-02-02
A32-02,5,2015,1,1,B,A,竹闊混淆林,0,1,混淆林,A,南投縣,120.896775,23.854812,A32-02-05
A33-08,8,2015,1,1,B,A,竹闊混淆林,10.63955739,1,混淆林,A,雲林縣,120.632723,23.702403,A33-08-08
A33-08,3,2015,1,1,A,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.634926,23.700024,A33-08-03
A33-08,2,2015,1,1,B,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.632045,23.699196,A33-08-02
A33-08,8,2015,2,1,B,A,竹闊混淆林,10.63955739,1,混淆林,A,雲林縣,120.632723,23.702403,A33-08-08
A33-28,4,2015,2,1,B,B,竹闊混淆林,0,1,混淆林,A,雲林縣,120.622258,23.753802,A33-28-04
A33-28,5,2015,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,雲林縣,120.616677,23.756868,A33-28-05
A33-28,6,2015,2,1,B,A,竹闊混淆林,0,1,混淆林,A,雲林縣,120.620586,23.758801,A33-28-06
A33-28,7,2015,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,雲林縣,120.621692,23.756176,A33-28-07
B38-07,5,2015,1,1,A,A,闊葉樹林型,0,1,闊葉林,B,高雄市,120.782371,23.089135,B38-07-05
B14-02,5,2015,1,1,B,B,闊葉樹林型,0,1,闊葉林,B,台中市,121.304178,24.380488,B14-02-05
C37-02,4,2015,2,1,B,A,針葉樹林型,0,1,針葉林,C,嘉義縣,120.937047,23.468776,C37-02-04
A19-04,10,2015,2,1,C,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3404,23.48572,A19-04-10
B21-01,8,2015,1,1,A,B,闊葉樹林型,0,1,闊葉林,B,台東縣,120.9861528,23.24015833,B21-01-08
B06-01,2,2015,1,1,B,A,闊葉樹林型,0,1,闊葉林,B,宜蘭縣,121.486925,24.62412222,B06-01-02
B06-01,2,2015,2,1,A,B,闊葉樹林型,0,1,闊葉林,B,宜蘭縣,121.486925,24.62412222,B06-01-02
A29-05,5,2015,1,1,B,B,闊葉樹林型,0,1,闊葉林,A,台中市,120.7878167,24.17335278,A29-05-05
A34-04,5,2015,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,高雄市,120.347425,22.85547778,A34-04-05
A20-02,7,2015,1,1,B,A,闊葉樹林型,0,1,闊葉林,A,台東縣,121.35495,23.10841667,A20-02-07
A19-01,5,2015,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3452778,23.58882222,A19-01-05
A20-03,7,2015,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.2315778,23.32755556,A20-03-07
A20-04,4,2015,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.2160083,23.33863056,A20-04-04
A20-04,10,2015,2,1,A,B,針闊葉樹混淆,0,1,闊葉林,A,花蓮縣,121.2096639,23.34695556,A20-04-10
A20-05,2,2015,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.1877528,23.35099167,A20-05-02
A17-09,1,2015,1,1,B,A,闊葉樹林型,15.4843284,1,闊葉林,A,花蓮縣,121.4729639,23.83731111,A17-09-01
B33-01,4,2015,1,1,A,A,針葉樹林型,0,1,針葉林,B,雲林縣,120.6920556,23.60269444,B33-01-04
A36-01,1,2015,1,1,C,B,竹闊混淆林,3.91438201,1,混淆林,A,嘉義縣,120.6136306,23.32999444,A36-01-01
A05-19,6,2015,1,1,B,A,闊葉樹林型,3.26835703,1,闊葉林,A,宜蘭縣,121.7348083,24.82247778,A05-19-06
A05-19,1,2015,2,1,B,A,闊葉樹林型,4.41607103,1,闊葉林,A,宜蘭縣,121.7266278,24.82145,A05-19-01
A26-01,2,2015,2,1,A,A,闊葉樹林型,4.22043728,1,闊葉林,A,屏東縣,120.8489306,22.02035,A26-01-02
A26-01,6,2015,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8471333,22.02556944,A26-01-06
A26-04,2,2015,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8224083,21.95935,A26-04-02
A03-10,6,2015,2,1,C,B,闊葉樹林型,14.40901191,1,闊葉林,A,宜蘭縣,121.8435667,24.58513333,A03-10-06
A05-10,10,2015,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,新北市,121.5833417,24.84495833,A05-10-10
A16-01,6,2016,2,1,C,B,闊葉樹林型,3.16000617,1,闊葉林,A,花蓮縣,121.616938,24.159161,A16-01-06
A16-01,7,2016,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.605077,24.158387,A16-01-07
A17-18,4,2016,1,1,A,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.51361,23.92398,A17-18-04
A18-01,8,2016,1,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.377885,23.712412,A18-01-08
A18-01,6,2016,2,1,A,B,闊葉樹林型,1.15732379,1,闊葉林,A,花蓮縣,121.382764,23.710838,A18-01-06
A19-01,2,2016,1,1,A,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3512278,23.590325,A19-01-02
A19-01,3,2016,2,1,B,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3500972,23.58855833,A19-01-03
A19-01,5,2016,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3452778,23.58882222,A19-01-05
A19-01,5,2016,2,1,A,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3452778,23.58882222,A19-01-05
A19-03,10,2016,2,1,B,A,闊葉樹林型,1.65128053,1,闊葉林,A,花蓮縣,121.4342361,23.50377222,A19-03-10
A19-04,7,2016,2,1,B,B,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.3438,23.48126,A19-04-07
A20-03,5,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.2238417,23.33328333,A20-03-05
A20-03,5,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.2238417,23.33328333,A20-03-05
A20-03,7,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.2315778,23.32755556,A20-03-07
A20-04,1,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.2219917,23.336825,A20-04-01
A20-04,10,2016,1,1,A,A,針闊葉樹混淆,0,1,闊葉林,A,花蓮縣,121.2096639,23.34695556,A20-04-10
A20-05,1,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.1871028,23.35316944,A20-05-01
A20-05,7,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,花蓮縣,121.1892167,23.34123056,A20-05-07
A26-01,6,2016,2,1,A,B,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8471333,22.02556944,A26-01-06
A26-04,6,2016,1,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8231611,21.95323611,A26-04-06
A26-04,6,2016,2,1,A,A,闊葉樹林型,0,1,闊葉林,A,屏東縣,120.8231611,21.95323611,A26-04-06
A32-02,2,2016,2,1,A,A,竹闊混淆林,0.79744206,1,混淆林,A,南投縣,120.898896,23.854552,A32-02-02
A33-08,8,2016,2,1,B,A,竹闊混淆林,10.63955739,1,混淆林,A,雲林縣,120.632723,23.702403,A33-08-08
