X,Y,NO,join_TypeName,join_FunctionTy,join_Function,join_Area_ha,distance
121.45991,24.84218,1,闊葉樹林型,2221,經改造天然林,46290.7,0
121.46204,24.84178,2,闊葉樹林型,2221,經改造天然林,46290.7,0
121.46398,24.84013,3,闊葉樹林型,2221,經改造天然林,103298,0
121.46466,24.83826,4,針闊葉樹混淆,2211,生產性人工林,1509.85,0
121.46577,24.83666,5,闊葉樹林型,2221,經改造天然林,2407.76,0
121.46649,24.83481,6,闊葉樹林型,2221,經改造天然林,213771,0
121.23167,24.82878,7,闊葉樹林型,,經改造天然林,1069.06,55.05946549
121.23189,24.82706,8,闊葉樹林型,2221,經改造天然林,213771,0
121.23394,24.82869,9,闊葉樹林型,2221,經改造天然林,213771,0
121.23569,24.82967,10,闊葉樹林型,2221,經改造天然林,2386.76,0
121.23769,24.83025,11,竹林,2211,生產性人工林,2682.86,32.03442326
121.24009,24.83053,12,闊葉樹林型,,經改造天然林,1069.06,38.64012795
121.24172,24.83161,13,闊葉樹林型,,經改造天然林,1069.06,6.675824582
121.24433,24.83378,14,闊葉樹林型,,經改造天然林,1069.06,21.01615504
121.24497,24.83617,15,闊葉樹林型,,經改造天然林,1069.06,0
121.244,24.83922,16,闊葉樹林型,,經改造天然林,1069.06,1.663345973
120.3015,22.75722,17,闊葉樹林型,,生產性人工林,2.85183,159.8792761
120.29948,22.75611,18,闊葉樹林型,,生產性人工林,3.99122,151.5694449
120.29601,22.75674,19,闊葉樹林型,,生產性人工林,3.99122,3.297235436
120.29389,22.75416,20,闊葉樹林型,,生產性人工林,2.26257,4.7054662
120.29349,22.75202,21,闊葉樹林型,,生產性人工林,2.26257,59.01705306
120.29517,22.74989,22,闊葉樹林型,,生產性人工林,2.26257,324.737222
120.30087,22.75,23,闊葉樹林型,,生產性人工林,0.170092,362.6449304
120.30396,22.75212,24,闊葉樹林型,,生產性人工林,0.170092,18.89522744
120.30315,22.75512,25,闊葉樹林型,,生產性人工林,0.170092,248.599143
121.58801,25.12467,26,闊葉樹林型,,原生林,3208.01,8.132402881
121.58936,25.12675,27,闊葉樹林型,,原生林,3208.01,0
121.59042,25.13078,28,闊葉樹林型,,原生林,3208.01,0
121.59241,25.13212,29,闊葉樹林型,,原生林,3208.01,0.882050888
121.59958,25.13523,30,闊葉樹林型,,原生林,3208.01,2.038910937
121.59722,25.13222,31,闊葉樹林型,,原生林,3208.01,3.153884645
121.59604,25.1296,32,闊葉樹林型,,原生林,3208.01,0.290460003
121.59351,25.12808,33,闊葉樹林型,,原生林,3208.01,3.496139898
121.59293,25.12402,34,闊葉樹林型,,原生林,3208.01,1.687409953
121.59115,25.12257,35,闊葉樹林型,,原生林,3208.01,0
