Site_N,Point,x,y
A01-02,1,121.5734333,25.18479444
A01-02,2,121.57504,25.18779
A01-02,3,121.5732306,25.18645556
A01-02,4,121.570675,25.18715278
A01-02,5,121.5716083,25.18919722
A01-02,6,121.57235,25.19101667
A01-02,7,121.5702528,25.19010556
A01-02,8,121.5688694,25.19152778
A01-02,9,121.5686778,25.18863056
A01-02,10,121.5684694,25.18659167
A01-03,1,121.591575,25.26768889
A01-03,2,121.5915833,25.26543611
A01-03,3,121.5905694,25.26345833
A01-03,4,121.5902167,25.26149722
A01-03,5,121.5893111,25.26613611
A01-03,6,121.5895778,25.26846667
A01-03,7,121.5910944,25.270225
A01-03,8,121.5933389,25.26928611
A01-03,9,121.5952139,25.26763889
A02-01,1,121.8161944,25.11127778
A02-01,2,121.8196389,25.11119444
A02-01,3,121.8215,25.11036111
A02-01,4,121.8198333,25.10975
A02-01,5,121.8223056,25.10844444
A02-01,6,121.8235,25.10994444
A02-01,7,121.8238056,25.10694444
A02-01,8,121.8278056,25.10944444
A02-01,9,121.8301667,25.11194444
A02-01,10,121.8329444,25.11166667
A02-03,1,121.7875528,25.05801667
A02-03,2,121.7902111,25.05828333
A02-03,3,121.7923472,25.05901111
A02-03,4,121.7938944,25.05753333
A02-03,5,121.7934639,25.05560278
A02-03,6,121.7917889,25.05525833
A02-03,7,121.7899694,25.056
A02-03,8,121.7879278,25.05601111
A02-03,9,121.7868861,25.05285833
A02-03,10,121.7837861,25.05141111
A02-07,1,121.9267833,25.00959167
A02-07,3,121.9271833,25.00730833
A02-07,4,121.9298333,25.00001389
A02-07,5,121.9284222,24.99805556
A02-07,7,121.9268139,24.99524722
A02-07,8,121.9252306,24.99406667
A02-07,9,121.9279139,25.00418889
A02-07,10,121.9293583,25.00155278
A02-08,3,121.9259889,24.97403889
A02-08,5,121.9252833,24.98674444
A02-08,7,121.9270556,24.97888889
A02-08,8,121.9255139,24.98341944
A02-08,10,121.9250861,24.989525
A03-01,1,121.82501,24.71979
A03-01,2,121.82234,24.71913
A03-01,3,121.8311667,24.71793611
A03-01,4,121.8306139,24.719175
A03-01,5,121.8325639,24.71656667
A03-01,6,121.82113,24.70514
A03-01,7,121.82345,24.70629
A03-01,8,121.8262,24.70613
A03-01,9,121.82957,24.70401
A03-01,10,121.82433,24.70093
A03-03,1,121.75371,24.74563
A03-03,2,121.75446,24.74384
A03-03,3,121.75256,24.74338
A03-03,4,121.75185,24.74515
A03-03,5,121.75006,24.74468
A03-03,6,121.75365,24.7404
A03-03,7,121.75526,24.74201
A03-07,1,121.81233,24.66356
A03-07,2,121.81581,24.65988
A03-07,3,121.81433,24.65827
A03-07,4,121.8094444,24.6625
A03-07,5,121.80786,24.65805
A03-07,6,121.8016667,24.66833333
A03-07,7,121.80393,24.66699
A03-07,8,121.81003,24.65269
