物種,時段,距離,數量,結群,備註,地點,樣區編號,縣市,樣點編號,"棲地類型
(主要)","棲地類型
(次要)","棲地類型
(其他說明)","棲地類型
(小水體)","樣區海拔
(m)",座標系統,X座標,Y座標,座標系統,X座標,Y座標,調查者,"調查旅次
編號",天氣代號,風速代號,"開始時間
（時）","開始時間
（分）",年,月,日, 其他備註
臺灣獼猴,X,A,2,Y,,仙山,A12-06,苗栗縣,2,A1,,,,761,TWD97/TM2,245319,2714568,WGS84/經緯度,120.9537973,24.53763908,林厥雋,2,A,0,7,14,2016,5,9,
臺灣獼猴,B,C,3,Y,,花蓮閣口,A16-01,花蓮縣,6,A1,D3,,,58,TWD67/TM2,311855,2673091,WGS84/經緯度,121.6168777,24.16004397,劉芝芬,2,E,0,6,33,2016,5,17,
臺灣獼猴,B,B,3,Y,,花蓮閣口,A16-01,花蓮縣,7,A1,G4,,,131,TWD67/TM2,310661,2672793,WGS84/經緯度,121.6051153,24.1574003,劉芝芬,2,E,0,6,22,2016,5,17,
臺灣獼猴,B,C,1,N,,花蓮廣山新城,A17-01,花蓮縣,1,G3,B4,,,39,TWD67/TM2,310529,2663034,WGS84/經緯度,121.6034026,24.06929064,"劉芝芬,杜懿宗",2,C,0,7,42,2016,5,17,
臺灣獼猴,A,B,1,N,,花蓮縣佐倉步道,A17-14,花蓮縣,5,A1,,,,,TWD97/TM2,307067,2657311,WGS84/經緯度,121.5609804,24.01963168,覃秀玲   林杰鴻,1,C,0,8,10,2016,3,21,
臺灣獼猴,B,A,5,Y,,花蓮鯉魚潭環潭,A17-18,花蓮縣,4,A1,D2,,,143,WGS84/經緯度,121.52356,23.92399,WGS84/經緯度,121.52356,23.92399,"劉芝芬,施勵強,林見祥",1,C,0,8,4,2016,3,17,
臺灣獼猴,A,B,3,Y,,花蓮縣萬榮林道,A18-01,花蓮縣,8,A1,C3,,,523,TWD67/TM2,287703,2623431,WGS84/經緯度,121.377891,23.71240876,黃家發,1,C,0,7,36,2016,3,23,
臺灣獼猴,B,A,2,Y,,花蓮縣萬榮林道,A18-01,花蓮縣,6,A1,C3,,,516,TWD67/TM2,288201,2623258,WGS84/經緯度,121.3827703,23.71083462,黃家發  謝秀雲,2,C,0,8,8,2016,5,21,
臺灣獼猴,B,B,1,N,,花蓮縣萬榮林道,A18-01,花蓮縣,9,A1,C3,,,526,TWD67/TM2,287541,2623582,WGS84/經緯度,121.3763061,23.71377614,黃家發  謝秀雲,2,C,0,7,40,2016,5,21,
臺灣獼猴,B,A,3,Y,,花蓮縣富源,A19-01,花蓮縣,2,A1,A7,,,286,TWD97/TM2,286082,2609823,WGS84/經緯度,121.3535349,23.59144882,黃美玉  鄧文銘,1,B,0,7,8,2016,3,9,
臺灣獼猴,B,A,1,N,,花蓮縣富源,A19-01,花蓮縣,2,A1,A7,,,355,TWD97/TM2,285846,2609697,WGS84/經緯度,121.3512195,23.5903163,黃美玉  鄧文銘,1,B,0,7,38,2016,3,9,
臺灣獼猴,A,B,2,Y,,花蓮縣富源,A19-01,花蓮縣,3,A1,A7,,,350,TWD97/TM2,285731,2609502,WGS84/經緯度,121.3500881,23.58855801,黃美玉  鄧文銘,2,B,0,7,14,2016,5,13,
臺灣獼猴,B,A,1,N,,花蓮縣富源,A19-01,花蓮縣,5,A1,A7,,,352,TWD97/TM2,285239,2609530,WGS84/經緯度,121.3452683,23.58882164,黃美玉  鄧文銘,2,B,0,7,47,2016,5,13,
臺灣獼猴,B,B,3,Y,,花蓮縣富源,A19-01,花蓮縣,5,A1,A7,,,352,TWD97/TM2,285239,2609530,WGS84/經緯度,121.3452683,23.58882164,黃美玉  鄧文銘,2,B,0,7,47,2016,5,13,
臺灣獼猴,B,A,3,Y,,花蓮縣富源,A19-01,花蓮縣,5,A1,A7,,,352,TWD97/TM2,285239,2609530,WGS84/經緯度,121.3452683,23.58882164,黃美玉  鄧文銘,2,B,0,7,47,2016,5,13,
臺灣獼猴,A,B,2,Y,,花蓮縣德武,A19-03,花蓮縣,10,A1,,,,,WGS84/經緯度,"121°26'03.25""","23°30'13.58""",WGS84/經緯度,121.4342361,23.50377222,陳惠玲,2,E,1,7,55,2016,5,11,
臺灣獼猴,B,B,2,Y,,花蓮縣舞鶴,A19-04,花蓮縣,7,A5,C1,,A,155,WGS84/經緯度,121.2438,23.48126,WGS85/經緯度,121.2438,23.48126,"劉國棟,陳麗敏",2,A,1,6,36,2016,5,10,
臺灣獼猴,A,A,1,N,,台東縣橘子山,A20-02,台東縣,2,,,,,,WGS84/經緯度,121°21'37.67,23° 6'16.83,WGS84/經緯度,121.3604639,23.104675,楊昌諺、張安瑜,2,B,0,7,6,2016,5,12,
臺灣獼猴,A,A,2,Y,,瓦拉米山風,A20-03,花蓮縣,5,A1,A3,,,,WGS84/經緯度,"121°13'25.83""","23°19'59.82""",WGS84/經緯度,121.2238417,23.33328333,楊昌諺、呂祐甄,1,A,0,7,46,2016,3,17,
臺灣獼猴,A,A,2,Y,,瓦拉米山風,A20-03,花蓮縣,5,A1,A3,,,,WGS84/經緯度,"121°13'25.83""","23°19'59.82""",WGS84/經緯度,121.2238417,23.33328333,楊昌諺、張安瑜,2,A,0,6,34,2016,5,10,
臺灣獼猴,A,A,2,Y,,瓦拉米山風,A20-03,花蓮縣,7,A1,A3,,,,WGS84/經緯度,"121°13'53.68""","23°19'39.20""",WGS84/經緯度,121.2315778,23.32755556,楊昌諺、張安瑜,2,A,1,5,23,2016,5,10,
臺灣獼猴,A,A,2,Y,,瓦拉米佳心,A20-04,花蓮縣,1,A1,A3,,,,WGS84/經緯度,"121°13'19.17""","23°20'12.57""",WGS84/經緯度,121.2219917,23.336825,楊昌諺、呂祐甄,1,A,0,8,9,2016,3,17,
臺灣獼猴,A,A,2,Y,,瓦拉米佳心,A20-04,花蓮縣,10,A1,A3,,,,WGS84/經緯度,"121°12'34.79""","23°20'49.04""",WGS84/經緯度,121.2096639,23.34695556,楊昌諺、呂祐甄,1,A,0,9,54,2016,3,17,
臺灣獼猴,A,A,2,Y,,瓦拉米,A20-05,花蓮縣,1,A1,A3,,,,WGS84/經緯度,"121°11'13.57""","23°21'11.41""",WGS84/經緯度,121.1871028,23.35316944,楊昌諺、張安瑜,2,D,0,5,32,2016,5,11,
臺灣獼猴,A,A,2,Y,,瓦拉米,A20-05,花蓮縣,7,A1,A3,,,,WGS84/經緯度,"121°11'21.18""","23°20'28.43""",WGS84/經緯度,121.1892167,23.34123056,楊昌諺、張安瑜,2,C,1,6,54,2016,5,11,
臺灣獼猴,A,A,2,N,兩隻小猴子,瓦拉米,A20-05,花蓮縣,8,A1,A3,,,,WGS84/經緯度,"121°11'30.01""","23°20'20.97""",WGS84/經緯度,121.1916694,23.33915833,楊昌諺、張安瑜,2,B,0,7,7,2016,5,11,
臺灣獼猴,B,A,7,Y,,屏東縣山頂路,A26-01,屏東縣,6,B6,D4,,,49,WGS84/經緯度,"120°50'49.68""","22°01'32.05""",WGS84/經緯度,120.8471333,22.02556944,蔡乙榮,2,C,0,6,30,2016,5,10,
臺灣獼猴,B,B,1,N,,屏東縣港口,A26-02,屏東縣,1,F4,G2,,,19,WGS84/經緯度,"120°50'45.70""","21°59'20.33""",WGS84/經緯度,120.8460278,21.98898056,蔡乙榮,2,B,0,5,20,2016,5,19,
臺灣獼猴,A,A,1,N,,屏東縣社頂自然公園,A26-04,屏東縣,5,A1,D4,,,131,WGS84/經緯度,"120°49'32.19""","21°57'14.10""",WGS84/經緯度,120.8256083,21.95391667,蔡乙榮,1,C,0,7,6,2016,3,13,
