,Site_N,Point,X_new,Y_new
1,A01-02,1,121.5734333,25.18479444
2,A01-02,2,121.57504,25.18779
3,A01-02,3,121.5732306,25.18645556
4,A01-02,4,121.570675,25.18715278
5,A01-02,5,121.5716083,25.18919722
6,A01-02,6,121.57235,25.19101667
7,A01-02,7,121.5702528,25.19010556
8,A01-02,8,121.5688694,25.19152778
9,A01-02,9,121.5686778,25.18863056
10,A01-02,10,121.5684694,25.18659167
11,A01-03,1,121.591575,25.26768889
12,A01-03,2,121.5915833,25.26543611
13,A01-03,3,121.5905694,25.26345833
14,A01-03,4,121.5902167,25.26149722
15,A01-03,5,121.5893111,25.26613611
16,A01-03,6,121.5895778,25.26846667
17,A01-03,7,121.5910944,25.270225
18,A01-03,8,121.5933389,25.26928611
26,A02-01,2,121.8196389,25.11119444
28,A02-01,4,121.8198333,25.10975
29,A02-01,5,121.8223056,25.10844444
30,A02-01,6,121.8235,25.10994444
31,A02-01,7,121.8238056,25.10694444
32,A02-01,8,121.8278056,25.10944444
33,A02-01,9,121.8301667,25.11194444
34,A02-01,10,121.8329444,25.11166667
39,A02-03,5,121.7934639,25.05560278
40,A02-03,6,121.7917889,25.05525833
41,A02-03,7,121.7899694,25.056
43,A02-03,9,121.7868861,25.05285833
46,A02-07,3,121.9271833,25.00730833
47,A02-07,4,121.9298333,25.00001389
48,A02-07,5,121.9284222,24.99805556
49,A02-07,7,121.9268139,24.99524722
50,A02-07,8,121.9252306,24.99406667
55,A02-08,3,121.9259889,24.97403889
56,A02-08,5,121.9252833,24.98674444
58,A02-08,7,121.9270556,24.97888889
59,A02-08,8,121.9255139,24.98341944
60,A02-08,10,121.9250861,24.989525
61,A03-01,1,121.82501,24.71979
63,A03-01,3,121.8311667,24.71793611
64,A03-01,4,121.8306139,24.719175
71,A03-03,1,121.75371,24.74563
72,A03-03,2,121.75446,24.74384
73,A03-03,3,121.75256,24.74338
74,A03-03,4,121.75185,24.74515
76,A03-03,6,121.75365,24.7404
77,A03-03,7,121.75526,24.74201
82,A03-07,5,121.80786,24.65805
83,A03-07,6,121.8016667,24.66833333
84,A03-07,7,121.80393,24.66699
86,A03-07,9,121.80561,24.65296
88,A03-09,1,121.83676,24.60536
89,A03-09,2,121.83725,24.60345278
90,A03-09,3,121.83682,24.60094
91,A03-09,4,121.8353361,24.59861667
92,A03-09,5,121.8343111,24.60006944
93,A03-09,6,121.8339833,24.60323611
94,A03-10,1,121.846175,24.58173889
95,A03-10,3,121.8452833,24.58605278
96,A03-10,4,121.8438972,24.58722778
97,A03-10,5,121.8422306,24.58809167
98,A03-10,6,121.8435667,24.58513333
99,A03-10,7,121.84105,24.60323611
100,A03-16,1,121.7371917,24.79249167
101,A03-16,2,121.7395833,24.7921
102,A03-16,3,121.7426333,24.79288056
103,A03-16,4,121.743,24.79627222
104,A03-16,5,121.7431611,24.798475
105,A03-16,6,121.7391444,24.79988611
106,A03-16,7,121.7391444,24.80238333
107,A03-16,8,121.7406222,24.80057222
108,A03-18,1,121.74682,24.75592
109,A03-18,2,121.74949,24.75491
114,A03-19,1,121.74486,24.75774
129,A03-21,1,121.75369,24.6815
130,A03-21,2,121.75372,24.68327
131,A03-21,3,121.75176,24.68388
135,A03-21,7,121.75379,24.68509
136,A03-21,8,121.75547,24.68428
137,A03-21,9,121.75701,24.68274
138,A03-21,10,121.75584,24.68121
139,A03-22,1,121.8119506,24.60292806
140,A03-22,2,121.8103408,24.60455694
141,A03-22,3,121.8126372,24.60081472
144,A03-22,6,121.8141936,24.60757056
147,A04-03,3,121.7736389,24.87258333
148,A04-03,4,121.7769722,24.87305556
150,A04-03,6,121.7690556,24.87244444
151,A04-03,7,121.7685,24.87027778
152,A04-03,8,121.7658611,24.87322222
153,A04-03,9,121.7660278,24.87122222
154,A04-03,10,121.7636111,24.87091667
155,A04-04,1,121.5248667,25.18946944
156,A04-04,2,121.5244583,25.19135
157,A04-04,3,121.524775,25.19334167
158,A04-04,4,121.5235,25.19489167
159,A04-04,5,121.5221389,25.19637778
160,A04-04,6,121.5211917,25.19806667
161,A04-05,1,121.5475,25.15916667
162,A04-05,2,121.5500028,25.16083333
163,A04-05,3,121.5569444,25.16222222
164,A04-05,4,121.5524972,25.16361111
165,A04-05,5,121.5552778,25.16444444
166,A04-05,6,121.5575028,25.16361111
