林管處,工作站,樣區編號,樣點代號,樣區名稱,樣區樣點編號,原TWD97_X,原TWD97_Y,建議的X,建議的Y,已回報,樣點表已修正
台東,大武,大武1,6,大武1林班麻林道,大武1-06,243892,2499403,243905,2499416,V,
台東,大武,大武10,5,保安林2520,大武10-05,235294,2469042,235316,2469021,V,
台東,大武,大武12,4,金山段,大武12-04,245866,2505565,245890,2505537,V,
台東,大武,大武12,5,金山段,大武12-05,246047,2505457,246087,2505445,V,
台東,大武,大武3,1,大武21林班金崙溪流域,大武3-01,239180,2490511,240170,2490933,V,
台東,大武,大武9,3,大武44林班加拉板溪,大武9-03,235884,2472853,235854,2472950,V,
台東,大武,大武9,4,大武44林班加拉板溪,大武9-04,236062,2472988,236002,2473074,V,
台東,成功,成功2,3,成功事業區37林班,成功2-03,282580,2545414,282536,2545367,V,
台東,成功,成功9,3,成功事業區49林班,成功9-03,289394,2572519,289395,2572521,V,
台東,知本,知本2,5,延平40林班斑鳩段,知本2-05,256500,2526839,256500,2526840,V,
台東,知本,知本2,6,延平40林班斑鳩段,知本2-06,256758,2526785,256826,2526782,V,
台東,知本,知本3,3,台東1林班,知本3-03,261476,2523519,261472,2523504,V,
台東,知本,知本3,5,台東1林班,知本3-05,261888,2523738,261404,2524050,V,
東勢,梨山,梨山10,6,甲區41林班,梨山10-06,285261,2697885,285254,2697834,V,
東勢,梨山,梨山10,7,甲區41林班,梨山10-07,285395,2698228,285221,2698045,V,
東勢,梨山,梨山4,6,台8線92k,梨山4-06,276779,2680980,276825,2680906,V,
東勢,梨山,梨山5,3,台8線100k,梨山5-03,279467,2680083,279479,2680173,V,
東勢,梨山,梨山6,2,台8線107k,梨山6-02,281056,2677021,280919,2677028,V,
東勢,梨山,梨山7,5,86k,梨山7-05,275918,2682175,275933,2682140,V,
東勢,梨山,梨山7,6,86k,梨山7-06,275868,2681906,275836,2681992,V,
東勢,梨山,梨山8,6,華崗,梨山8-06,273212,2676772,273236,2676797,V,
東勢,鞍馬山,鞍馬山7,1,船形山苗圃,鞍馬山7-01,249954,2684583,249969,2684593,V,
東勢,麗陽,麗陽10,3,勢麗仙區76,麗陽10-03,260634,2682636,260769,2682604,V,
東勢,麗陽,麗陽12,1,勢麗仙區31,麗陽12-01,243000,2675308,242963,2675282,V,
東勢,麗陽,麗陽3,1,勢麗仙區101,麗陽3-01,251885,2676925,251885,2676925,照舊,
東勢,麗陽,麗陽3,4,勢麗仙區101,麗陽3-04,251740,2677176,251698,2677233,V,
東勢,麗陽,麗陽8,3,勢麗仙區41,麗陽8-03,244374,2676029,224375,2676029,V,
花蓮,玉里,玉里3,1,三民,玉里3-01,284381,2592518,刪除,刪除,,
花蓮,玉里,玉里4,7,樂合,玉里4-07,286934,2579738,286945,2579762,,
花蓮,玉里,玉里5,5,阿眉溪,玉里5-05,284249,2571650,284294,2571722,,
