檢核,說明,樣區編號,地點 (樣區名稱),樣區所屬海拔段,TWD97_X,TWD97_Y,經度,緯度,林管處說明
X,刪除,A25-03,助矢山,<1000m,231786,2469038,120.823197,22.320356,樣區中心難以到達
檢核ok,,大武1,大武1林班麻林道,<1000m,243504,2499126,120.93682,22.592175,
檢核ok,,大武10,保安林2520,<1000m,235142,2468696,120.855776,22.317299,
檢核ok,,大武11,森永段,<1000m,232389,2461797,120.829129,22.254965,
檢核ok,,大武12,金山段,1000~2500m,245866,2505565,120.959776,22.650334,
檢核ok,,大武13,安朔段,<1000m,233063,2468592,120.835595,22.316343,
檢核ok,,大武2,大武11林班富山產業道路,<1000m,246623,2494839,120.967165,22.553467,
檢核ok,,大武3,大武21林班金崙溪流域,<1000m,239509,2490596,120.898022,22.515119,
檢核ok,,大武4,大武24林班大竹溪流域,<1000m,236063,2482743,120.864594,22.444171,
檢核ok,,大武5,大武30林班,<1000m,235556,2480728,120.859686,22.425969,
檢核ok,,大武6,大武36林班,<1000m,233760,2478629,120.842261,22.406996,
檢核ok,,大武7,"大武37,39林班浸水營步道高海拔處",1000~2500m,227295,2477650,120.77948,22.398081,
檢核ok,,大武8,大武38林班浸水營步道中海拔處,<1000m,232472,2474931,120.829791,22.373585,
檢核ok,,大武9,大武44林班加拉板溪,<1000m,236062,2472988,120.864669,22.35607,
檢核ok,,成功1,成功事業區13林班,<1000m,279351,2540397,121.286242,22.964647,
檢核ok,,成功10,成功事業區52林班,<1000m,292867,2580735,121.419184,23.32862,
檢核ok,,成功11,成功事業區54林班,<1000m,294423,2582761,121.434458,23.346873,
檢核ok,,成功12,成功事業區61林班,<1000m,296471,2591413,121.454754,23.424944,
檢核ok,,成功2,成功事業區37林班,<1000m,282121,2545503,121.313362,23.010706,
檢核ok,,成功3,成功事業區28林班,<1000m,275238,2549180,121.246274,23.044031,
檢核ok,,成功4,成功事業區30林班,<1000m,279195,2550593,121.284914,23.056726,
檢核ok,,成功5,成功事業區32林班,<1000m,277405,2555158,121.267527,23.097981,
檢核ok,,成功6,成功事業區40林班,<1000m,284907,2558176,121.340829,23.125094,
檢核ok,,成功7,成功事業區41林班,<1000m,286585,2560428,121.357266,23.145394,
檢核ok,,成功8,成功事業區47林班,<1000m,287866,2570551,121.370027,23.236779,
檢核ok,,成功9,成功事業區49林班,<1000m,289112,2573000,121.382266,23.258865,
檢核ok,,B22-01,台東縣大武山雙鬼湖利嘉林道※,1000~2500m,250327,2526224,121.003186,22.836911,
檢核ok,,知本1,台東3林班,<1000m,262285,2530908,121.119733,22.879167,
檢核ok,,知本10,台東31林班,<1000m,251962,2509905,121.019096,22.689533,
檢核ok,,知本11,台東40-51林班北太麻里段,<1000m,248324,2505877,120.983692,22.653156,
檢核ok,,知本2,延平40林班斑鳩段,<1000m,255550,2527003,121.054078,22.843937,
檢核ok,,知本3,台東1林班,<1000m,261099,2523664,121.108122,22.813755,
檢核ok,,知本4,台東2林班,<1000m,263322,2528302,121.129817,22.855624,
檢核ok,,知本5,延平36-40林班利家段,1000~2500m,253032,2523106,121.029535,22.80875,
檢核ok,,知本6,比例良產業道路,<1000m,253787,2519888,121.036882,22.779687,
檢核ok,,知本8,台東24-39林班建和段,<1000m,253558,2514084,121.034639,22.727271,
檢核ok,,知本9,知本林道,<1000m,249312,2512127,120.993303,22.709601,
X,刪除,A22-01,台東都蘭山※,<1000m,267905,2531341,121.174512,22.883026,已有志工認養，不進行調查
X,刪除,B22-02,紅葉山,1000~2500m,252786,2536038,121.027162,22.925538,因延平林道受損嚴重，路程遙遠，不進行調查
檢核ok,,A22-02,台東縣內本鹿古道※,<1000m,253409,2530171,121.033223,22.872553,
檢核ok,,B21-02,南部橫貫公路 1687,1000~2500m,252786,2568038,121.02722,23.214519,
檢核ok,,關山1,龍泉,<1000m,268310,2562734,121.178833,23.166522,
檢核ok,,關山10,鹿野高臺,<1000m,263138,2535265,121.128083,22.918508,
檢核ok,,關山11,鸞山松林,<1000m,267690,2533374,121.172439,22.901388,
檢核ok,,關山12,寶華,<1000m,269524,2540716,121.19041,22.967672,
檢核ok,,關山13,電光日出,<1000m,269212,2547019,121.187445,23.024596,
檢核ok,,關山14,富興山棕寮,<1000m,273528,2551828,121.229629,23.067969,
檢核ok,,關山2,錦屏林道,1000~2500m,266594,2561223,121.162056,23.152895,
檢核ok,,關山4,霧鹿林道,1000~2500m,253781,2559997,121.036922,23.141902,
檢核ok,,關山5,新武海棗保護區,<1000m,260670,2559616,121.104192,23.138432,
檢核ok,,關山6,紅石林道,1000~2500m,263186,2552580,121.1287,23.074874,
檢核ok,,關山7,武陵,<1000m,260022,2541021,121.097743,22.97051,
檢核ok,,關山8,永康廢棄林道,<1000m,260376,2536318,121.101164,22.928037,
X,刪除,B14-08,碧綠溪紅葉谷,1000~2500m,282786,2679038,121.322789,24.216499,林道中斷
X,刪除,B14-09,思源啞口※,1000~2500m,285859,2697841,121.353513,24.386205,林道中斷
