nid,原始紀錄物種,數量,數量單位,觀測年,觀測月,觀測日,觀測時,觀測分,原始X座標,原始Y座標,經度(十進位),緯度(十進位),原始空間參考系統,樣區代碼,樣點代號,地點,記錄者,觀測方式,照片檔名
23064057,臺灣獼猴,1,群,2024,3,26,9,27,325641,2722361,121.7469885,24.60615459,TWD97,MA-A02-04,2,羅區71-72林班,林勤貴,人為觀測,
23064058,臺灣獼猴,1,群,2024,3,22,9,21,327665,2722406,121.7669775,24.60646032,TWD97,MA-A02-05,5,羅區73-75，79-80林班,周煇凱,人為觀測,
23064059,臺灣獼猴,1,群,2024,3,14,10,31,311032,2759828,121.6043607,24.94505918,TWD97,MA-A03-05,3,新店十六分,陳雅馨,人為觀測,
23064060,臺灣獼猴,1,群,2024,3,28,9,50,323424,2690063,121.7234285,24.31466538,TWD97,MA-A05-01,3,和區2林班,豊啟恩,人為觀測,
23064061,臺灣獼猴,1,群,2024,3,22,8,59,248363,2719991,120.9838361,24.58660907,TWD97,MA-B06-06,8,南庄3林班,盧國雄;趙淑枝,人為觀測,
23064062,臺灣獼猴,1,群,2024,3,15,9,30,285232,2738937,121.3483564,24.75726422,TWD97,MA-B07-02,6,洞口(復興分站),李岳儒,人為觀測,
23064063,臺灣獼猴,1,群,2024,3,8,9,37,302107,2740975,121.5152794,24.77518307,TWD97,MA-B09-03,2,哈盆越嶺古道,邱建勳,人為觀測,
23064064,臺灣獼猴,1,群,2024,3,22,8,36,241358,2687640,120.9148645,24.2944871,TWD97,MA-C12-05,2,安區129、130林班,張豈菘,人為觀測,
23064065,臺灣獼猴,1,群,2024,3,22,9,3,242000,2687950,120.9211873,24.29728957,TWD97,MA-C12-05,5,安區129、130林班,張豈菘,人為觀測,
23064066,臺灣獼猴,1,群,2024,3,12,9,19,244770,2687163,120.9484791,24.29019528,TWD97,MA-C12-07,3,安區118、119林班,林致毅;陳健倫,人為觀測,
23064067,臺灣獼猴,1,群,2024,3,6,9,12,231400,2671061,120.8169789,24.14470416,TWD97,MA-C12-12,5,水底寮,洪聖恩;林祐辰;陳映璇,人為觀測,
23064068,臺灣獼猴,1,群,2024,3,5,10,34,245024,2676403,120.9510184,24.19304095,TWD97,MA-C13-08,6,勢麗仙區41,劉仁傑;楊文森,人為觀測,
23064069,臺灣獼猴,1,群,2024,3,29,9,59,251784,2631222,121.0175057,23.78508188,TWD97,MA-D14-01,9,孫海橋,蕭益程,人為觀測,
23064070,臺灣獼猴,1,群,2024,3,12,8,9,241351,2635785,120.9151041,23.82626251,TWD97,MA-D14-07,3,巒大25林班,陳杏如,人為觀測,
23064071,臺灣獼猴,1,群,2024,4,17,10,31,256572,2645710,121.0645531,23.9158924,TWD97,MA-D17-05,2,武界水庫,洪金宗;徐志銘,人為觀測,
23064072,臺灣獼猴,1,群,2024,4,17,10,5,257244,2646461,121.0711575,23.92267076,TWD97,MA-D17-05,5,武界水庫,洪金宗;徐志銘,人為觀測,
23064073,臺灣獼猴,1,群,2024,3,25,9,44,255790,2642499,121.0568593,23.8869011,TWD97,MA-D17-06,5,武界林道（久久巢山）,洪金宗;徐志銘,人為觀測,
23064074,臺灣獼猴,1,群,2024,3,6,7,15,199624,2553424,120.5082932,23.0817831,TWD97,MA-E19-08,1,鈺鼎,鄭文輝,人為觀測,
23064075,臺灣獼猴,1,群,2024,3,13,10,45,210662,2584198,120.6152347,23.35997956,TWD97,MA-E22-04,1,山麻湖公車站,高志榮,人為觀測,
23064076,臺灣獼猴,1,群,2024,3,14,9,45,212924,2582729,120.6373951,23.34676709,TWD97,MA-E22-05,1,蘆籐坪,許宏成,人為觀測,
23064077,臺灣獼猴,1,群,2024,3,26,10,35,205007,2581636,120.5600006,23.33669877,TWD97,MA-E22-06,5,大埔事業區39林班,覃祥輝,人為觀測,
23064078,臺灣獼猴,1,群,2024,3,14,10,16,213293,2577052,120.6411415,23.29551101,TWD97,MA-E22-08,5,九恭崎腳,賴建機,人為觀測,
23064079,臺灣獼猴,1,群,2024,3,28,9,42,209186,2573693,120.6010814,23.26508158,TWD97,MA-E22-09,3,長枝坑溪,賴建機,人為觀測,
23064080,臺灣獼猴,1,群,2024,3,28,10,15,209636,2573158,120.6054938,23.26026153,TWD97,MA-E22-09,6,長枝坑溪,賴建機,人為觀測,
23064081,臺灣獼猴,1,群,2024,3,15,9,45,213449,2574960,120.642717,23.27662325,TWD97,MA-E22-12,4,麻竹湖吊橋,賴建機,人為觀測,
23064082,臺灣獼猴,1,群,2024,3,15,9,3,210252,2572885,120.6115215,23.25781128,TWD97,MA-E22-13,1,奉龍谷瀑布,賴建機,人為觀測,
23064083,臺灣獼猴,1,群,2024,3,21,9,51,214591,2540817,120.6546697,22.96832224,TWD97,MA-F23-09,6,扇平林道,賴文傑,人為觀測,
23064084,臺灣獼猴,1,群,2024,3,6,10,0,207551,2537684,120.5860987,22.93986512,TWD97,MA-F24-08,2,46林班,鍾鳳招,人為觀測,
23064085,臺灣獼猴,1,群,2024,3,12,8,55,203128,2536007,120.5430238,22.92460261,TWD97,MA-F24-10,2,月光山,簡盈思,人為觀測,
23064086,臺灣獼猴,1,群,2024,3,27,9,49,219004,2518362,120.6981558,22.76562437,TWD97,MA-F25-02,4,觀望山,朱義雄;王聖捷,人為觀測,
23064087,臺灣獼猴,1,群,2024,3,18,10,17,216087,2511617,120.6698962,22.7046548,TWD97,MA-F25-04,3,三地門園區,林下山;李典澐,人為觀測,
23064088,臺灣獼猴,1,群,2024,3,16,9,39,221266,2464484,120.7211614,22.27908319,TWD97,MA-F25-08,1,枋山溪管制站,張詒賓,人為觀測,
23064089,臺灣獼猴,1,群,2024,3,16,10,41,223081,2463930,120.7387836,22.27410905,TWD97,MA-F25-08,7,枋山溪管制站,張詒賓,人為觀測,
23064090,臺灣獼猴,1,群,2024,3,20,10,40,220683,2451266,120.7157446,22.15969497,TWD97,MA-F25-11,5,竹坑,林明坤;徐守俊,人為觀測,
23064091,臺灣獼猴,1,群,2024,3,15,9,35,215967,2500115,120.6689773,22.60077807,TWD97,MA-F25-13,1,往舊日本宿舍,李寅田,人為觀測,
23064092,臺灣獼猴,1,群,2024,3,14,10,50,230083,2428768,120.8071615,21.95663225,TWD97,MA-F26-01,6,墾丁苗圃,何芫薇,人為觀測,
23064093,臺灣獼猴,1,群,2024,3,15,8,25,227279,2449996,120.7797164,22.14832375,TWD97,MA-F26-05,2,恆春事業區第13林班,邱水鏡,人為觀測,
23064094,臺灣獼猴,1,群,2024,3,15,8,45,226947,2450151,120.7764954,22.14971927,TWD97,MA-F26-05,4,恆春事業區第13林班,邱水鏡,人為觀測,
23064095,臺灣獼猴,1,群,2024,3,7,10,1,278904,2557004,121.2821945,23.1146257,TWD97,MA-G27-06,1,台23線,江健中;林瑞生;邱顯琦,人為觀測,
23064096,臺灣獼猴,1,群,2024,3,7,9,36,274863,2572728,121.2429982,23.25668601,TWD97,MA-G27-08,4,長良,黃崇智;余志剛,人為觀測,
