檢核,說明,林管處,工作站,"樣區
編號","樣點
代號","樣區
名稱","樣區樣點
編號","TWD97_X
","TWD97_Y
",經度,緯度,,
檢核ok,,台東,大武,大武1,1,大武1林班麻林道,大武1-01,242992,2499021,120.931841,22.59123,,2429922499021
檢核ok,,台東,大武,大武1,2,大武1林班麻林道,大武1-02,243198,2498967,120.933845,22.59074,,2431982498967
檢核ok,,台東,大武,大武1,3,大武1林班麻林道,大武1-03,243389,2499059,120.935702,22.59157,,2433892499059
檢核ok,,台東,大武,大武1,4,大武1林班麻林道,大武1-04,243600,2499131,120.937754,22.59222,,2436002499131
檢核ok,,台東,大武,大武1,5,大武1林班麻林道,大武1-05,243694,2499313,120.938667,22.59387,,2436942499313
檢核ok,,台東,大武,大武1,6,大武1林班麻林道,大武1-06,243892,2499403,120.940593,22.59468,,2438922499403
檢核ok,,台東,大武,大武2,1,大武11林班富山產業道路,大武2-01,246678,2495342,120.967698,22.55801,,2466782495342
檢核ok,,台東,大武,大武2,2,大武11林班富山產業道路,大武2-02,246714,2495123,120.968049,22.55603,,2467142495123
檢核ok,,台東,大武,大武2,3,大武11林班富山產業道路,大武2-03,246689,2494909,120.967806,22.55410,,2466892494909
檢核ok,,台東,大武,大武2,4,大武11林班富山產業道路,大武2-04,246487,2494826,120.965842,22.55335,,2464872494826
檢核ok,,台東,大武,大武2,5,大武11林班富山產業道路,大武2-05,246579,2494644,120.966737,22.55171,,2465792494644
檢核ok,,台東,大武,大武2,6,大武11林班富山產業道路,大武2-06,246534,2494429,120.966300,22.54976,,2465342494429
檢核ok,,台東,大武,大武3,1,大武21林班金崙溪流域,大武3-01,239180,2490511,120.894824,22.51435,,2391802490511
檢核ok,,台東,大武,大武3,2,大武21林班金崙溪流域,大武3-02,239309,2490338,120.896079,22.51279,,2393092490338
檢核ok,,台東,大武,大武3,3,大武21林班金崙溪流域,大武3-03,239449,2490496,120.897439,22.51422,,2394492490496
檢核ok,,台東,大武,大武3,4,大武21林班金崙溪流域,大武3-04,239568,2490689,120.898595,22.51596,,2395682490689
檢核ok,,台東,大武,大武3,5,大武21林班金崙溪流域,大武3-05,239754,2490799,120.900402,22.51695,,2397542490799
檢核ok,,台東,大武,大武3,6,大武21林班金崙溪流域,大武3-06,239949,2490897,120.902297,22.51784,,2399492490897
檢核ok,,台東,大武,大武4,1,大武24林班大竹溪流域,大武4-01,235563,2482508,120.859738,22.44205,,2355632482508
