林管處,工作站,樣區名稱,樣區編號,年,月,日,旅次,調查者,樣點編號,X座標(TWD97),Y座標(TWD97),時,分,數量,距離,叫聲,棲地類型(主要),備註,調查月份,可分析
東勢,麗陽,勢麗仙區24,麗陽7,2019,4,8,1,劉建明、楊文森,1,241654,2675867,8,16,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區24,麗陽7,2019,4,8,1,劉建明、楊文森,2,241667,2676103,8,28,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區24,麗陽7,2019,4,8,1,劉建明、楊文森,3,241823,2676268,8,38,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區24,麗陽7,2019,4,8,1,劉建明、楊文森,4,241927,2676518,8,47,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區24,麗陽7,2019,4,8,1,劉建明、楊文森,5,241562,2676425,9,8,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區24,麗陽7,2019,4,8,1,劉建明、楊文森,6,241347,2676351,9,17,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區31,麗陽12,2019,4,2,1,洪聖博、潘怡帆,1,243000,2675308,8,50,0,,,A8,,"3月,5月",Y
東勢,麗陽,勢麗仙區31,麗陽12,2019,4,2,1,洪聖博、潘怡帆,2,243200,2675425,8,52,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區31,麗陽12,2019,4,2,1,洪聖博、潘怡帆,3,243401,2675491,9,0,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區31,麗陽12,2019,4,2,1,洪聖博、潘怡帆,4,243708,2675843,9,10,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區31,麗陽12,2019,4,2,1,洪聖博、潘怡帆,5,243922,2675985,9,20,0,,,A5,,"3月,5月",Y
東勢,麗陽,勢麗仙區31,麗陽12,2019,4,2,1,洪聖博、潘怡帆,6,244099,2676385,9,22,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區41,麗陽8,2019,4,3,1,陳英吉、彭文憲,1,244001,2675871,8,38,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區41,麗陽8,2019,4,3,1,陳英吉、彭文憲,2,244209,2675870,8,52,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區41,麗陽8,2019,4,3,1,陳英吉、彭文憲,3,244374,2676029,9,1,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區41,麗陽8,2019,4,3,1,陳英吉、彭文憲,4,244421,2676272,9,8,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區41,麗陽8,2019,4,3,1,陳英吉、彭文憲,5,244675,2676109,9,16,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區41,麗陽8,2019,4,3,1,陳英吉、彭文憲,6,245024,2676403,9,24,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區43,麗陽5,2019,4,2,1,林銘楙、張泳清,1,244100,2673848,8,5,0,,,A5,雨天調查,"3月,5月",Y
東勢,麗陽,勢麗仙區43,麗陽5,2019,4,2,1,林銘楙、張泳清,2,243777,2674187,8,19,0,,,A1,雨天調查,"3月,5月",Y
東勢,麗陽,勢麗仙區43,麗陽5,2019,4,2,1,林銘楙、張泳清,3,244286,2674010,8,30,0,,,A5,雨天調查,"3月,5月",Y
東勢,麗陽,勢麗仙區43,麗陽5,2019,4,2,1,林銘楙、張泳清,4,244028,2674174,8,40,0,,,A1,雨天調查,"3月,5月",Y
東勢,麗陽,勢麗仙區43,麗陽5,2019,4,2,1,林銘楙、張泳清,5,244235,2674226,8,58,0,,,A1,雨天調查,"3月,5月",Y
東勢,麗陽,勢麗仙區43,麗陽5,2019,4,2,1,林銘楙、張泳清,6,244390,2674419,9,24,0,,,A1,雨天調查,"3月,5月",Y
東勢,麗陽,勢麗仙區111,麗陽4,2019,4,11,1,林群瑛、鄭晴尹,1,248227,2674700,8,11,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區111,麗陽4,2019,4,11,1,林群瑛、鄭晴尹,2,248457,2674816,8,25,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區111,麗陽4,2019,4,11,1,林群瑛、鄭晴尹,3,248522,2675049,8,37,2,B,Y,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區111,麗陽4,2019,4,11,1,林群瑛、鄭晴尹,4,248609,2675270,8,54,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區111,麗陽4,2019,4,11,1,林群瑛、鄭晴尹,5,248826,2675337,9,12,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區111,麗陽4,2019,4,11,1,林群瑛、鄭晴尹,6,249048,2675352,9,24,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區116,麗陽6,2019,4,3,1,林銘楙、張泳清,1,245442,2673223,8,34,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區116,麗陽6,2019,4,3,1,林銘楙、張泳清,2,245681,2673203,8,40,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區116,麗陽6,2019,4,3,1,林銘楙、張泳清,3,245721,2672959,8,47,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區116,麗陽6,2019,4,3,1,林銘楙、張泳清,4,245764,2672720,9,2,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區116,麗陽6,2019,4,3,1,林銘楙、張泳清,5,245785,2672508,9,12,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區116,麗陽6,2019,4,3,1,林銘楙、張泳清,6,245963,2672351,9,21,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區125,麗陽9,2019,4,2,1,宣偉強、陳永隆,1,241863,2675479,8,8,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區125,麗陽9,2019,4,2,1,宣偉強、陳永隆,2,241657,2675437,8,16,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區125,麗陽9,2019,4,2,1,宣偉強、陳永隆,3,241417,2675342,8,25,0,,,A9,,"3月,5月",Y
東勢,麗陽,勢麗仙區125,麗陽9,2019,4,2,1,宣偉強、陳永隆,4,241182,2674803,8,35,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區125,麗陽9,2019,4,2,1,宣偉強、陳永隆,5,241065,2674323,8,45,0,,,A1,,"3月,5月",Y
東勢,麗陽,勢麗仙區125,麗陽9,2019,4,2,1,宣偉強、陳永隆,6,240959,2673893,8,53,0,,,A3,,"3月,5月",Y
東勢,麗陽,勢麗仙區76,麗陽10,2019,4,2,1,張約翰、張若鼎、汪竣泰,1,261183,2682140,8,10,0,,,A2,,"4月,6月",Y
東勢,麗陽,勢麗仙區76,麗陽10,2019,4,2,1,張約翰、張若鼎、汪竣泰,2,261079,2682496,8,23,0,,,A2,,"4月,6月",Y
東勢,麗陽,勢麗仙區76,麗陽10,2019,4,2,1,張約翰、張若鼎、汪竣泰,3,260634,2682636,8,37,0,,,A2,,"4月,6月",Y
東勢,麗陽,勢麗仙區76,麗陽10,2019,4,2,1,張約翰、張若鼎、汪竣泰,4,260436,2682807,8,51,2,B,Y,A1,,"4月,6月",Y
東勢,麗陽,勢麗仙區76,麗陽10,2019,4,2,1,張約翰、張若鼎、汪竣泰,5,260240,2683019,9,5,0,,,A1,,"4月,6月",Y
東勢,麗陽,勢麗仙區76,麗陽10,2019,4,2,1,張約翰、張若鼎、汪竣泰,6,260182,2682816,9,18,0,,,A8,,"4月,6月",Y
東勢,麗陽,勢麗仙區94,麗陽11,2019,4,8,1,張約翰、汪竣泰,1,257990,2680701,8,58,0,,,A2,,"4月,6月",Y
東勢,麗陽,勢麗仙區94,麗陽11,2019,4,8,1,張約翰、汪竣泰,2,257888,2680131,8,45,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區94,麗陽11,2019,4,8,1,張約翰、汪竣泰,3,257666,2680308,8,34,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區94,麗陽11,2019,4,8,1,張約翰、汪竣泰,4,257228,2680210,8,23,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區94,麗陽11,2019,4,8,1,張約翰、汪竣泰,5,256771,2680369,8,12,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區94,麗陽11,2019,4,8,1,張約翰、汪竣泰,6,255765,2680208,8,0,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區119,麗陽2,2019,4,23,1,李世豪、賴思齊,1,249408,2669647,8,47,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區119,麗陽2,2019,4,23,1,李世豪、賴思齊,2,249564,2669517,8,56,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區119,麗陽2,2019,4,23,1,李世豪、賴思齊,3,249688,2669351,9,4,0,,,A6,,"4月,6月",Y
東勢,麗陽,勢麗仙區119,麗陽2,2019,4,23,1,李世豪、賴思齊,4,249643,2669150,9,13,0,,,A1,,"4月,6月",Y
東勢,麗陽,勢麗仙區119,麗陽2,2019,4,23,1,李世豪、賴思齊,5,249500,2669006,9,21,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區119,麗陽2,2019,4,23,1,李世豪、賴思齊,6,249686,2668877,9,23,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區101,麗陽3,2019,5,3,1,鄭晴尹,1,251885,2676925,8,14,0,,,A5,,"4月,6月",Y
東勢,麗陽,勢麗仙區101,麗陽3,2019,5,3,1,鄭晴尹,2,251983,2677164,7,27,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區101,麗陽3,2019,5,3,1,鄭晴尹,3,252174,2677040,8,39,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區101,麗陽3,2019,5,3,1,鄭晴尹,4,251740,2677176,8,56,0,,,A5,,"4月,6月",Y
東勢,麗陽,勢麗仙區101,麗陽3,2019,5,3,1,鄭晴尹,5,251683,2677414,9,11,2,B,Y,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區101,麗陽3,2019,5,3,1,鄭晴尹,6,251912,2677536,9,23,0,,,A5,,"4月,6月",Y
東勢,麗陽,勢麗仙區117,麗陽1,2019,4,29,1,劉仁傑,1,247020,2671167,8,36,0,,,A1,,"4月,6月",Y
東勢,麗陽,勢麗仙區117,麗陽1,2019,4,29,1,劉仁傑,2,246904,2671003,8,45,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區117,麗陽1,2019,4,29,1,劉仁傑,3,246778,2670832,8,55,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區117,麗陽1,2019,4,29,1,劉仁傑,4,246793,2670632,9,3,0,,,A3,,"4月,6月",Y
東勢,麗陽,勢麗仙區117,麗陽1,2019,4,29,1,劉仁傑,5,246980,2670514,9,12,0,,,A1,,"4月,6月",Y
