Site_N,Point,X.84,Y.84
A34-21,10,120.0673056,23.04202778
A34-21,8,120.0741667,23.05211111
A34-21,7,120.0758611,23.05438889
A34-21,6,120.0775556,23.05672222
A34-21,5,120.0794722,23.05897222
A34-21,4,120.081,23.06063889
A34-21,3,120.0826667,23.06233333
A27-28,4,120.2208111,23.78956389
A27-28,6,120.2236389,23.78445833
A27-28,5,120.2248444,23.78963889
A27-28,8,120.2277,23.7814
A27-28,2,120.2278278,23.79123333
A27-28,7,120.2280806,23.78811944
A27-28,3,120.2302278,23.78987222
A27-28,1,120.2325778,23.79083333
A27-28,9,120.2344167,23.78696667
A27-28,10,120.2365861,23.79005833
A34-50,1,120.2764694,22.91693056
A34-50,7,120.2780389,22.91535
A34-50,8,120.2804389,22.91536944
A34-50,2,120.2821611,22.91741944
A34-50,6,120.2843,22.91211111
A34-50,3,120.28565,22.9142
A34-50,4,120.2881889,22.91328889
A34-50,5,120.2898389,22.91511111
A27-27,10,120.3166167,23.79735
A27-27,2,120.3169861,23.80023056
A27-27,3,120.3171694,23.80264167
A27-27,4,120.3188083,23.8046
A27-27,9,120.3201139,23.79669722
A27-27,1,120.3204583,23.800625
A27-27,5,120.3220278,23.80404722
A27-27,7,120.3222333,23.798675
A27-27,8,120.3258833,23.79684722
A35-12,1,120.3270722,23.35360278
A35-12,2,120.3298611,23.35600833
A35-12,5,120.3307694,23.36105
A35-12,7,120.3338528,23.35781944
A35-12,10,120.3345833,23.35366944
A35-12,6,120.3346667,23.36097222
A35-13,10,120.3368139,23.33203056
A35-13,1,120.3375639,23.32773611
A35-13,9,120.3378861,23.333725
A35-12,9,120.3383167,23.35730833
A35-12,8,120.3386167,23.35986667
A35-13,2,120.3397528,23.32917222
A35-13,5,120.3415778,23.33090833
A35-13,8,120.3419,23.33465
A35-13,3,120.3437667,23.32728333
A27-29,3,120.3446917,23.76639167
A35-13,6,120.3455472,23.33208889
A35-13,7,120.3465778,23.33382222
A35-13,4,120.3466417,23.32887778
A27-29,10,120.3470333,23.76322222
A27-29,2,120.3473917,23.76556389
A27-29,4,120.3480306,23.76755278
A27-29,9,120.3499,23.76227778
A27-29,1,120.350275,23.76392222
A27-29,6,120.3516056,23.76502222
A27-29,5,120.3518778,23.767225
A27-29,8,120.3520972,23.76281944
A35-18,7,120.4636278,23.4805
A35-18,8,120.4645611,23.47849722
A27-31,10,120.4702028,23.71030278
A27-31,9,120.4727972,23.71140278
A27-31,8,120.4748028,23.71209722
A27-31,7,120.4750028,23.71410278
A27-31,6,120.4757,23.71580278
A27-31,5,120.4772,23.71650278
A27-31,2,120.4787028,23.72079722
A27-31,3,120.4788972,23.719
A27-31,4,120.4789028,23.71720278
A27-31,1,120.4802972,23.72180278
A40-14,1,120.5035306,22.45143056
A40-14,2,120.5035333,22.45636111
A40-14,3,120.5074139,22.45514444
A40-14,7,120.510425,22.45300278
A40-14,5,120.5112028,22.44953056
A40-14,4,120.5112167,22.45975278
A40-14,6,120.5155417,22.45344444
A35-08,2,120.5734333,23.45061389
A35-09,8,120.6059306,23.44332222
B33-02,6,120.6200917,23.56348611
A33-35,2,120.6987611,23.897075
A33-35,4,120.70485,23.89574722
A33-35,7,120.7076806,23.88168056
A33-35,6,120.7148278,23.88283611
A33-36,1,120.7217167,23.91894722
A33-36,2,120.7263806,23.91899167
A39-08,5,120.7285778,22.75143611
A39-08,2,120.7301861,22.74438611
A39-08,1,120.7318083,22.74274722
A33-34,6,120.7876083,23.76528889
A33-34,5,120.7889889,23.76148889
A33-34,4,120.7893889,23.76374722
A33-34,3,120.7907139,23.76238611
A33-34,2,120.7930417,23.76138611
A33-34,1,120.7955528,23.76161389
A28-13,5,120.8380611,24.17278333
A29-26,7,120.8384417,23.95076944
A28-13,2,120.8394472,24.18027778
A28-13,9,120.8436111,24.16500556
A29-26,3,120.8465667,23.95979722
A29-26,1,120.8497167,23.96052778
A32-10,5,120.855625,23.76132222
A32-10,4,120.8557,23.76338056
A32-10,3,120.85615,23.76607222
A32-09,4,120.8562722,23.80669722
B32-05,3,120.8565139,23.85590278
A32-09,5,120.8566083,23.80482778
A29-27,5,120.856625,23.95039167
A29-27,6,120.8569472,23.95227222
A32-10,2,120.8573639,23.76800556
B32-05,2,120.8580944,23.85516667
A32-10,6,120.8583111,23.76290278
A32-10,1,120.8585389,23.7702
A32-09,6,120.8588472,23.80223889
A32-09,3,120.8593528,23.80706111
B32-05,1,120.8602222,23.85370278
A32-09,2,120.8602667,23.80535556
A28-12,6,120.8611083,24.23721944
A32-09,1,120.861225,23.80882222
A28-12,1,120.8619444,24.23833056
A28-12,2,120.8633333,24.23944167
A28-12,4,120.8678389,24.24075278
A28-12,5,120.8702806,24.24194167
A28-12,8,120.8758361,24.240275
A28-12,9,120.8788917,24.23860833
A32-11,6,120.8849167,23.58506389
A32-11,5,120.8864833,23.58671667
A32-11,1,120.8869722,23.58860278
A32-11,3,120.8885083,23.59150278
A32-11,2,120.88895,23.58885833
A32-11,4,120.89045,23.58766667
B12-02,7,121.0153,24.5376
A09-22,2,121.1625194,24.87030278
A21-01,10,121.178275,23.10668056
A21-01,9,121.1784167,23.109775
A09-19,3,121.2840667,24.96981667
A09-19,4,121.2855333,24.96676667
A09-19,5,121.2878833,24.9626
A09-19,7,121.2889528,24.96857778
A09-19,8,121.2899389,24.97051667
A05-20,8,121.4600833,24.87563333
A17-21,10,121.482475,23.96685
A09-31,3,121.4836111,25.10861111
A17-21,9,121.4844417,23.96626667
A09-31,4,121.4863917,25.1075
A17-21,8,121.4864861,23.96622778
A17-21,7,121.4883917,23.966675
A09-31,6,121.4902806,25.105275
