工作站,樣區編號,Macaca Site
大武,大武1,MA-H31-01
大武,大武10,MA-H31-10
大武,大武11,MA-H31-11
大武,大武12,MB-H31-12
大武,大武13,MA-H31-13
大武,大武2,MA-H31-02
大武,大武3,MA-H31-03
大武,大武4,MA-H31-04
大武,大武5,MA-H31-05
大武,大武6,MA-H31-06
大武,大武7,MB-H31-07
大武,大武8,MA-H31-08
大武,大武9,MA-H31-09
成功,成功1,MA-H34-01
成功,成功10,MA-H34-10
成功,成功11,MA-H34-11
成功,成功12,MA-H34-12
成功,成功2,MA-H34-02
成功,成功3,MA-H34-03
成功,成功4,MA-H34-04
成功,成功5,MA-H34-05
成功,成功6,MA-H34-06
成功,成功7,MA-H34-07
成功,成功8,MA-H34-08
成功,成功9,MA-H34-09
知本,B22-01,MB-H32-12
知本,知本1,MA-H32-01
知本,知本10,MA-H32-10
知本,知本11,MA-H32-11
知本,知本2,MA-H32-02
知本,知本3,MA-H32-03
知本,知本4,MA-H32-04
知本,知本5,MB-H32-05
知本,知本6,MA-H32-06
知本,知本8,MA-H32-08
知本,知本9,MA-H32-09
關山,A22-02,MA-H33-15
關山,B21-02,MB-H33-16
關山,關山1,MA-H33-01
關山,關山10,MA-H33-10
關山,關山11,MA-H33-11
關山,關山12,MA-H33-12
關山,關山13,MA-H33-13
關山,關山14,MA-H33-14
關山,關山2,MB-H33-02
關山,關山4,MB-H33-04
關山,關山5,MA-H33-05
關山,關山6,MB-H33-06
關山,關山7,MA-H33-07
關山,關山8,MA-H33-08
梨山,B29-01,MB-C10-14
梨山,梨山1,MB-C10-01
梨山,梨山10,MB-C10-10
梨山,梨山11,MB-C10-11
梨山,梨山12,MB-C10-12
梨山,梨山13,MB-C10-13
梨山,梨山2,MB-C10-02
梨山,梨山4,MB-C10-04
梨山,梨山5,MB-C10-05
梨山,梨山6,MB-C10-06
梨山,梨山7,MB-C10-07
梨山,梨山8,MB-C10-08
梨山,梨山9,MB-C10-09
鞍馬山,B14-05,MB-C11-08
鞍馬山,B14-12,MB-C11-09
鞍馬山,B28-04,MB-C11-10
鞍馬山,B28-06,MB-C11-11
鞍馬山,C14-05,MC-C11-12
鞍馬山,C28-01,MC-C11-13
鞍馬山,鞍馬山1,MB-C11-01
鞍馬山,鞍馬山2,MB-C11-02
鞍馬山,鞍馬山3,MA-C11-03
鞍馬山,鞍馬山4,MB-C11-04
鞍馬山,鞍馬山5,MB-C11-05
鞍馬山,鞍馬山6,MA-C11-06
鞍馬山,鞍馬山7,MB-C11-07
雙崎,雙崎1,MA-C12-01
雙崎,雙崎10,MB-C12-10
雙崎,雙崎11,MB-C12-11
雙崎,雙崎12,MA-C12-12
雙崎,雙崎2,MB-C12-02
雙崎,雙崎3,MB-C12-03
雙崎,雙崎4,MA-C12-04
雙崎,雙崎5,MA-C12-05
雙崎,雙崎6,MA-C12-06
雙崎,雙崎7,MA-C12-07
雙崎,雙崎8,MB-C12-08
雙崎,雙崎9,MA-C12-09
麗陽,麗陽1,MB-C13-01
麗陽,麗陽10,MB-C13-10
麗陽,麗陽11,MB-C13-11
麗陽,麗陽12,MA-C13-12
麗陽,麗陽2,MB-C13-02
麗陽,麗陽3,MB-C13-03
麗陽,麗陽4,MA-C13-04
麗陽,麗陽5,MA-C13-05
麗陽,麗陽6,MA-C13-06
麗陽,麗陽7,MA-C13-07
麗陽,麗陽8,MA-C13-08
麗陽,麗陽9,MA-C13-09
玉里,B19-02,MB-G27-07
玉里,B20-02,MB-G27-08
玉里,玉里1,MA-G27-01
玉里,玉里2,MA-G27-02
玉里,玉里3,MA-G27-03
玉里,玉里4,MA-G27-04
玉里,玉里5,MA-G27-05
玉里,玉里6,MA-G27-06
南華,A17-06,MA-G28-08
南華,A17-07,MA-G28-09
南華,A17-08,MA-G28-10
南華,A17-13,MA-G28-11
南華,A17-17,MA-G28-12
南華,B17-01,MB-G28-13
南華,南華1,MA-G28-01
南華,南華2,MA-G28-02
南華,南華3,MA-G28-03
南華,南華4,MA-G28-04
南華,南華5,MA-G28-05
南華,南華6,MA-G28-06
南華,南華7,MA-G28-07
新城,A16-03,MA-G29-04
新城,A16-05,MA-G29-07
新城,B16-01,MB-G29-08
新城,B16-02,MB-G29-09
新城,新城1,MB-G29-01
新城,新城2,MA-G29-02
新城,新城3,MA-G29-03
新城,新城5,MA-G29-05
萬榮,B17-02,MB-G30-14
萬榮,萬榮1,MB-G30-01
萬榮,萬榮10,MA-G30-10
萬榮,萬榮11,MA-G30-11
萬榮,萬榮12,MA-G30-12
萬榮,萬榮13,MA-G30-13
萬榮,萬榮2,MA-G30-02
萬榮,萬榮3,MA-G30-03
萬榮,萬榮4,MA-G30-04
萬榮,萬榮5,MB-G30-05
萬榮,萬榮6,MA-G30-06
萬榮,萬榮7,MA-G30-07
萬榮,萬榮8,MA-G30-08
萬榮,萬榮9,MA-G30-09
丹大,B31-01,MB-D14-10
丹大,丹大1,MA-D14-01
丹大,丹大2,MB-D14-02
丹大,丹大3,MB-D14-03
丹大,丹大4,MB-D14-04
丹大,丹大5,MB-D14-05
丹大,丹大6,MB-D14-06
丹大,丹大7,MA-D14-07
丹大,丹大8,MB-D14-08
丹大,丹大9,MA-D14-09
水里,B32-05,MB-D15-01
水里,B32-06,MB-D15-09
水里,水里2,MA-D15-02
水里,水里3,MB-D15-03
水里,水里4,MB-D15-04
水里,水里5,MA-D15-05
水里,水里6,MB-D15-06
水里,水里7,MB-D15-07
水里,水里8,MB-D15-08
台中,B29-03,MB-D16-10
台中,台中1,MA-D16-01
台中,台中2,MA-D16-02
台中,台中3,MA-D16-03
台中,台中4,MA-D16-04
台中,台中5,MA-D16-05
台中,台中6,MA-D16-06
台中,台中7,MA-D16-07
台中,台中8,MB-D16-08
台中,台中9,MB-D16-09
竹山,竹山1,MA-D18-01
竹山,竹山10,MA-D18-10
竹山,竹山2,MA-D18-02
竹山,竹山3,MA-D18-03
竹山,竹山4,MA-D18-04
竹山,竹山5,MA-D18-05
竹山,竹山6,MB-D18-06
竹山,竹山7,MA-D18-07
竹山,竹山8,MA-D18-08
