工作站,樣區編號,Macaca Site
大武,A25-03,
關山,A22-01,
關山,B22-02,
梨山,B14-08,
梨山,B14-09,
梨山,B14-10,
梨山,C14-06,
梨山,C14-07,
梨山,C14-09,
鞍馬山,B13-05,
鞍馬山,B14-11,
鞍馬山,C13-02,
雙崎,B28-03,
玉里,B20-01,
南華,A17-02,
新城,A16-04,
新城,A16-07,
新城,B16-03,
新城,B16-04,
新城,B16-05,
萬榮,B18-01,
萬榮,B18-02,
萬榮,B19-01,
水里,B31-02,
水里,B32-07,
水里,C31-01,
台中,B29-05,
埔里,B30-05,
六龜,A38-01,
六龜,B38-05,
六龜,B38-06,
六龜,B38-09,
大湖,B13-07,
大溪,B10-04,
大溪,B10-05,
大溪,B10-11,
大溪,B10-12,
竹東,B10-16,
竹東,B12-01,
烏來,A05-13,
玉井,A36-13,
阿里山,C38-01,
太平山,A06-05,
太平山,B06-03,
太平山,B06-08,
太平山,B11-02,
太平山,B11-03,
太平山,B15-02,
太平山,B15-04,
太平山,C14-08,
台北,A04-15,
南澳,A16-06,
南澳,B15-03,
