"site","2015","2016","2017","2018","2019","2020","2021","2022"
"A01-01",NA,NA,NA,0,0,0,0,0
"A01-02",0,0,0,NA,NA,1,1,2
"A01-03",0,NA,0,NA,NA,NA,NA,NA
"A02-01",0,0,0,0,0,0,0,0
"A02-02",NA,NA,NA,0,NA,NA,NA,NA
"A02-03",0,NA,NA,0,NA,NA,NA,NA
"A03-01",0,0,0,0,0,NA,NA,NA
"A03-02",NA,NA,NA,NA,NA,NA,NA,0
"A03-03",0,0,0,0,0,0,0,0
"A03-06",NA,NA,NA,NA,NA,0,0,0
"A03-07",0,0,0,0,0,0,0,0
"A03-09",0,1,0,NA,0,0,0,0
"A03-10",1,0,0,NA,1,0,0,1
"A04-01",NA,NA,NA,0,NA,NA,NA,NA
"A04-02",NA,NA,NA,0,NA,NA,1,1
"A04-03",0,0,0,0,0,0,1,0
"A04-04",0,0,0,0,NA,NA,0,0
"A04-05",0,0,0,0,0,0,0,0
"A04-06",0,0,0,0,0,0,0,0
"A04-09",0,NA,NA,NA,NA,0,0,0
"A04-10",0,0,0,0,0,0,0,0
"A05-01",0,0,0,0,0,0,0,NA
"A05-04",0,0,NA,NA,NA,NA,NA,NA
"A05-05",0,NA,NA,NA,NA,NA,NA,NA
"A05-06",NA,NA,NA,NA,NA,NA,0,0
"A09-01",0,0,NA,NA,0,NA,0,NA
"A09-02",0,0,0,NA,0,0,NA,0
"A09-03",0,NA,0,0,0,0,0,0
"A09-04",0,0,0,0,NA,0,0,0
"A09-05",0,0,NA,NA,NA,0,0,0
"A09-06",NA,0,0,NA,NA,NA,0,0
"A09-08",0,0,0,0,0,0,0,0
"A09-09",NA,0,0,0,0,0,0,0
"A09-10",0,0,0,0,0,0,0,0
"A09-12",0,0,0,0,0,0,0,0
"A09-13",0,0,0,0,0,0,0,0
"A09-14",NA,NA,NA,NA,NA,0,0,0
"A09-15",0,0,0,0,0,0,0,0
"A09-16",0,0,0,NA,NA,NA,0,0
"A09-17",NA,0,0,0,0,0,0,0
"A09-18",0,0,NA,NA,NA,0,0,0
"A09-19",0,NA,NA,NA,NA,0,0,0
"A09-20",0,0,0,0,0,0,0,0
"A09-22",0,0,NA,NA,NA,NA,NA,NA
"A09-23",NA,NA,NA,NA,NA,NA,0,0
"A09-24",NA,0,0,0,0,0,0,0
"A09-26",NA,0,NA,NA,0,0,0,0
"A09-27",NA,NA,NA,NA,NA,NA,NA,0
"A10-01",0,0,0,0,0,0,0,0
"A10-02",0,0,0,0,1,0,0,0
"A10-03",0,NA,NA,0,0,0,0,1
"A10-04",NA,NA,NA,0,NA,NA,0,NA
"A12-01",0,0,0,0,0,0,0,0
"A12-02",0,0,0,0,NA,0,0,0
"A12-06",0,0,0,0,0,0,0,0
"A16-01",0,1,0,0,0,1,0,0
"A16-02",0,0,0,0,0,0,0,2
"A16-03",0,NA,NA,NA,NA,NA,NA,NA
"A16-04",2,NA,NA,NA,NA,NA,NA,NA
"A16-05",2,NA,NA,NA,NA,NA,NA,NA
"A17-01",0,0,0,0,0,0,0,0
"A17-02",0,NA,NA,NA,NA,NA,NA,NA
"A17-03",NA,NA,1,2,0,0,2,1
"A17-04",0,0,0,0,0,0,0,NA
"A17-09",1,0,0,0,1,0,0,0
"A18-01",2,1,1,0,1,2,1,1
"A18-02",0,0,0,0,0,0,0,0
"A18-03",0,0,0,1,0,0,0,0
"A18-04",0,0,0,0,0,0,0,1
"A19-01",1,1,0,0,1,1,0,1
"A19-02",0,0,0,1,0,1,0,0
"A19-03",0,1,1,2,1,1,2,1
"A19-04",0,1,0,0,0,1,0,0
"A19-05",0,0,0,0,0,0,0,0
"A19-06",0,0,0,0,0,1,0,0
"A20-01",0,0,0,0,0,0,0,0
"A20-02",1,0,0,2,2,0,NA,2
"A20-03",0,2,0,1,2,0,1,2
"A20-04",1,2,0,0,0,0,1,0
"A20-05",1,2,0,0,1,0,2,1
"A21-01",NA,NA,0,0,0,0,0,0
"A21-02",0,0,0,2,1,2,2,2
"A22-01",0,0,0,0,1,1,1,1
"A22-07",0,0,0,0,0,0,0,0
"A22-08",0,0,0,0,0,0,0,0
"A24-01",0,0,NA,1,1,0,1,2
"A24-02",0,0,1,3,1,0,0,2
"A25-01",0,0,1,1,1,1,1,1
"A26-01",2,1,1,1,0,0,1,1
"A26-02",0,0,1,0,0,0,0,1
"A26-03",0,0,0,0,0,0,0,0
"A26-04",1,1,2,1,1,1,2,0
"A26-06",NA,NA,NA,NA,NA,1,NA,NA
"A27-01",0,0,0,0,0,0,0,0
"A27-02",0,0,0,0,0,0,0,0
"A27-03",0,0,0,0,0,0,0,0
"A27-04",0,0,0,0,0,0,0,0
"A27-05",0,0,0,0,0,0,0,0
"A27-06",0,0,0,0,0,0,0,0
"A27-07",0,0,NA,NA,NA,NA,NA,NA
"A27-08",NA,0,NA,NA,NA,NA,NA,0
"A27-10",0,0,0,0,0,0,0,0
"A27-12",0,0,0,0,0,0,0,0
"A27-17",NA,0,NA,0,0,0,NA,0
"A27-18",0,0,0,0,NA,NA,NA,NA
"A27-19",0,0,0,0,0,0,0,0
"A27-21",NA,NA,NA,NA,NA,0,0,0
"A27-22",0,0,0,0,0,0,0,0
"A27-24",0,0,0,0,0,0,0,0
"A27-25",0,0,0,0,0,0,0,0
"A27-27",0,0,NA,0,0,0,NA,0
"A27-28",0,0,NA,0,0,0,NA,0
"A27-29",0,0,NA,0,0,0,NA,0
"A27-30",NA,NA,0,0,0,0,0,0
"A27-31",0,0,NA,NA,NA,NA,NA,NA
"A27-32",0,NA,0,0,0,0,0,NA
"A27-33",0,0,0,0,0,0,NA,0
"A28-01",NA,0,0,0,0,0,NA,0
"A28-02",NA,0,NA,0,0,NA,NA,NA
"A28-03",NA,0,0,0,0,0,0,0
"A28-04",0,0,0,0,0,0,0,1
"A28-06",0,0,0,0,0,0,1,0
"A28-08",0,0,0,0,0,0,1,1
"A28-09",0,0,0,0,0,0,0,0
"A28-10",1,0,0,1,1,1,1,0
"A28-12",NA,0,NA,NA,NA,NA,NA,0
"A28-13",NA,0,NA,NA,NA,NA,NA,NA
"A28-14",0,0,0,0,0,0,0,0
"A29-01",0,0,0,0,0,0,0,0
"A29-02",0,0,0,0,0,0,0,0
"A29-03",0,0,0,0,0,0,0,0
"A29-04",0,0,0,1,0,0,0,0
"A29-05",1,0,0,0,0,0,0,0
"A29-06",0,0,0,0,0,0,0,0
"A29-07",NA,0,NA,0,0,0,NA,0
"A29-08",0,0,0,0,0,0,0,0
"A29-10",NA,NA,0,0,NA,NA,0,0
"A29-11",0,NA,NA,NA,0,0,0,0
"A29-12",NA,NA,0,0,0,0,0,NA
"A29-13",NA,NA,0,0,0,0,0,0
"A29-14",NA,NA,NA,0,NA,0,0,0
"A29-15",NA,NA,NA,NA,NA,0,0,0
"A30-03",0,0,0,0,0,0,0,0
"A32-01",0,0,0,0,0,0,0,0
"A32-02",1,1,1,1,0,1,1,0
"A32-03",0,0,0,0,0,0,0,0
"A32-04",0,0,0,0,0,0,0,0
"A32-05",NA,NA,NA,0,0,0,0,0
"A32-06",0,0,0,0,0,0,0,0
"A32-07",0,0,0,0,0,0,0,0
"A33-01",0,0,0,0,0,0,0,0
"A33-02",0,0,0,0,0,0,1,0
"A33-03",0,0,0,0,0,0,0,0
"A33-04",NA,0,0,NA,NA,NA,NA,NA
"A33-05",0,NA,NA,NA,NA,0,0,0
"A33-06",0,0,0,0,0,0,0,0
"A33-07",1,0,0,0,0,0,0,0
"A33-08",1,2,2,3,3,4,3,2
"A33-09",0,0,0,0,0,0,0,0
"A33-10",0,0,0,0,0,0,0,0
"A33-11",0,0,0,0,0,0,0,0
"A33-12",0,0,0,0,0,0,0,NA
"A33-13",0,0,0,0,0,0,0,0
"A33-14",0,0,0,0,0,0,0,0
"A33-15",0,0,0,0,0,0,0,0
"A33-16",0,0,0,0,0,0,0,0
"A33-17",NA,NA,NA,NA,NA,NA,0,0
"A33-18",0,0,0,0,0,0,NA,0
"A33-23",NA,NA,0,NA,NA,NA,NA,NA
"A34-01",0,NA,NA,NA,NA,0,0,0
"A34-02",0,0,0,0,0,0,0,NA
"A34-03",NA,0,0,0,0,0,0,0
"A34-04",1,0,0,0,0,0,0,0
"A34-05",0,0,0,0,0,0,0,0
"A34-06",0,0,0,0,0,0,0,0
"A34-07",0,0,0,0,0,0,0,0
"A34-08",0,0,0,0,0,0,0,0
"A34-17",0,0,0,0,0,0,0,0
"A34-20",NA,NA,NA,NA,NA,NA,NA,0
"A34-21",0,0,NA,NA,NA,NA,NA,NA
"A34-22",NA,0,0,0,0,0,0,0
"A34-23",0,0,0,0,0,0,0,0
"A34-24",NA,0,NA,0,0,0,0,0
"A34-25",NA,0,0,0,0,0,0,0
"A34-26",NA,0,NA,NA,0,0,0,0
"A34-27",0,0,0,0,NA,NA,NA,NA
"A34-28",NA,NA,NA,NA,NA,NA,NA,0
"A34-31",0,0,0,0,0,0,0,0
"A34-32",NA,NA,NA,NA,0,0,0,0
"A34-33",0,0,0,0,0,0,0,0
"A34-34",0,NA,NA,NA,0,0,0,0
"A34-35",0,0,0,0,NA,NA,NA,NA
"A34-37",NA,NA,NA,NA,NA,NA,0,NA
"A35-01",NA,NA,NA,NA,0,0,0,0
"A35-03",0,0,0,0,0,0,0,0
"A35-04",0,0,0,0,0,0,0,NA
"A35-05",0,0,0,0,0,0,0,0
"A35-06",0,0,0,0,0,0,0,NA
"A35-07",0,0,0,NA,NA,NA,NA,0
"A35-08",0,NA,NA,NA,NA,NA,NA,NA
"A35-09",0,NA,NA,NA,NA,NA,NA,NA
"A35-10",0,0,NA,NA,NA,NA,NA,NA
"A35-12",0,0,NA,NA,NA,NA,NA,NA
"A35-13",0,0,NA,NA,NA,NA,NA,NA
"A36-01",0,0,0,1,1,1,3,2
"A36-02",0,0,0,0,0,0,0,0
"A36-03",0,0,0,0,0,0,0,0
"A36-04",NA,0,0,0,0,0,0,0
"A36-05",0,NA,0,0,0,0,0,0
"A36-09",NA,0,0,0,NA,0,NA,0
"A36-14",0,NA,NA,NA,NA,NA,NA,NA
