"Site_N","Point","2015","2016","2017","2018","2019","2020","2021","2022"
"A01-01","1",NA,NA,NA,0,0,0,0,0
"A01-01","10",NA,NA,NA,0,0,0,0,0
"A01-01","2",NA,NA,NA,0,0,0,0,0
"A01-01","3",NA,NA,NA,0,0,0,0,0
"A01-01","4",NA,NA,NA,0,0,0,0,0
"A01-01","5",NA,NA,NA,0,0,0,0,0
"A01-01","6",NA,NA,NA,0,0,0,0,0
"A01-01","7",NA,NA,NA,0,0,0,0,0
"A01-01","8",NA,NA,NA,0,0,0,0,0
"A01-01","9",NA,NA,NA,0,0,0,0,0
"A01-02","1",0,0,0,NA,NA,1,1,1
"A01-02","10",0,0,0,NA,NA,0,0,0
"A01-02","2",0,0,0,NA,NA,0,0,0
"A01-02","3",0,0,0,NA,NA,0,0,0
"A01-02","4",0,0,0,NA,NA,0,0,0
"A01-02","5",0,0,0,NA,NA,0,0,0
"A01-02","6",0,0,0,NA,NA,0,0,0
"A01-02","7",0,0,0,NA,NA,0,0,0
"A01-02","8",0,0,0,NA,NA,0,0,1
"A01-02","9",0,0,0,NA,NA,0,0,0
"A01-03","1",0,NA,0,NA,NA,NA,NA,NA
"A01-03","2",0,NA,0,NA,NA,NA,NA,NA
"A01-03","3",0,NA,0,NA,NA,NA,NA,NA
"A01-03","4",0,NA,0,NA,NA,NA,NA,NA
"A01-03","5",0,NA,0,NA,NA,NA,NA,NA
"A01-03","6",0,NA,0,NA,NA,NA,NA,NA
"A01-03","7",0,NA,0,NA,NA,NA,NA,NA
"A01-03","8",0,NA,0,NA,NA,NA,NA,NA
"A01-03","9",0,NA,0,NA,NA,NA,NA,NA
"A02-01","1",0,0,0,0,0,0,0,0
"A02-01","10",0,0,0,0,0,0,0,0
"A02-01","2",0,0,0,0,0,0,0,0
"A02-01","3",0,0,0,0,0,0,0,0
"A02-01","4",0,0,0,0,0,0,0,0
"A02-01","5",0,0,0,0,0,0,0,0
"A02-01","6",0,0,0,0,0,0,0,0
"A02-01","7",0,0,0,0,0,0,0,0
"A02-01","8",0,0,0,0,0,0,0,0
"A02-01","9",0,0,0,0,0,0,0,0
"A02-02","1",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","10",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","2",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","3",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","4",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","5",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","6",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","7",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","8",NA,NA,NA,0,NA,NA,NA,NA
"A02-02","9",NA,NA,NA,0,NA,NA,NA,NA
"A02-03","1",0,NA,NA,0,NA,NA,NA,NA
"A02-03","10",0,NA,NA,0,NA,NA,NA,NA
"A02-03","2",0,NA,NA,0,NA,NA,NA,NA
"A02-03","3",0,NA,NA,0,NA,NA,NA,NA
"A02-03","4",0,NA,NA,0,NA,NA,NA,NA
"A02-03","5",0,NA,NA,0,NA,NA,NA,NA
"A02-03","6",0,NA,NA,0,NA,NA,NA,NA
"A02-03","7",0,NA,NA,0,NA,NA,NA,NA
"A02-03","8",0,NA,NA,0,NA,NA,NA,NA
"A02-03","9",0,NA,NA,0,NA,NA,NA,NA
"A03-01","1",0,0,0,0,0,NA,NA,NA
"A03-01","10",0,0,0,0,NA,NA,NA,NA
"A03-01","2",0,0,0,0,0,NA,NA,NA
"A03-01","3",0,0,0,0,0,NA,NA,NA
"A03-01","4",0,0,0,0,0,NA,NA,NA
"A03-01","5",0,0,0,0,0,NA,NA,NA
"A03-01","6",0,0,0,0,0,NA,NA,NA
"A03-01","7",0,0,0,0,0,NA,NA,NA
"A03-01","8",0,0,0,0,NA,NA,NA,NA
"A03-01","9",0,0,0,0,NA,NA,NA,NA
"A03-02","1",NA,NA,NA,NA,NA,NA,NA,0
"A03-02","2",NA,NA,NA,NA,NA,NA,NA,0
"A03-02","3",NA,NA,NA,NA,NA,NA,NA,0
"A03-02","4",NA,NA,NA,NA,NA,NA,NA,0
"A03-02","5",NA,NA,NA,NA,NA,NA,NA,0
"A03-02","6",NA,NA,NA,NA,NA,NA,NA,0
"A03-03","1",0,0,0,0,0,0,0,0
"A03-03","2",0,0,0,0,0,0,0,0
"A03-03","3",0,0,0,0,0,0,0,0
"A03-03","4",0,0,0,0,0,0,0,0
"A03-03","5",0,0,0,0,0,0,0,0
"A03-03","6",0,0,0,0,0,0,0,0
