¼Ë°Ï½s¸¹,LCODE_C2,area,perimeter
C14-04,"0303",45636.9105224609,4553.82981150908
A03-16,"0405",16.7127685546875,17.6366802462992
A09-23,"0501",1889.14611816406,203.028429382673
A09-23,"0502",12673.5056152344,1972.43028998651
A39-01,"0202",27647.8910217285,2279.74842919128
A39-01,"0201",100894.960540771,4327.34814760045
B38-07,"0908",1545.27270507812,303.561063479283
A04-70,"0201",17917.2704467773,2314.16473647136
A12-08,"0702",3812.22894287109,403.558216590656
A04-61,"0403",592.471984863281,119.911722408637
A04-61,"0402",319.951416015625,132.57392393625
A34-28,"0202",12190.6518554688,1219.84169189694
A04-61,"0401",9330.00518798828,1534.37853316418
A17-04,"0303",7982.52490234375,3009.78591470346
A34-28,"0201",109250.783905029,6533.5479178244
A29-06,"0104",497.94482421875,142.612038432591
A40-19,"0601",621.067749023438,133.804557521611
A29-06,"0103",1022.47766113281,296.975552522017
A09-40,"0104",476.641967773438,184.239734983733
B10-07,"0401",8174.18377685547,1239.39316432973
A09-56,"0702",119612.376281738,9651.55651466564
A09-40,"0103",86.7366943359375,41.3376554941215
A29-06,"0101",92258.0475463867,6196.68850921492
A09-40,"0102",14168.0798950195,835.166552229622
A07-05,"0801",6583.91668701172,387.566075480055
A09-40,"0101",247067.508239746,13933.3013262741
A08-09,"0201",124367.382751465,2558.95456217749
A09-32,"0303",12984.1737060547,7725.26142861408
A05-11,"0401",6501.05078125,960.457903178377
A28-21,"0303",5187.26281738281,1543.63802272336
A35-18,"0504",407.22802734375,119.701673366396
A34-31,"0908",1811.25430297852,436.941038301008
A35-18,"0501",603.223266601562,209.534208958327
B38-07,"0903",634.426330566406,151.246269253911
A34-72,"0908",4677.02212524414,1909.682073746
A35-18,"0503",130.064392089844,59.1881912526728
A34-73,"0902",26575.868927002,898.071366963635
A35-18,"0502",10387.1859741211,1859.60027229424
B28-02,"0303",12049.7305908203,4316.68374002559
A28-12,"0501",282.102966308594,134.966763574525
A33-18,"0908",14642.4353637695,2916.66824416367
A04-52,"0602",1847.81018066406,218.763514581087
A04-52,"0605",101.711059570312,40.3449138655835
C30-04,"0904",990.016662597656,242.743763100422
A09-03,"0101",4088.59613037109,488.879572227534
A09-06,"0908",9061.23736572266,1160.22257639611
A27-07,"0402",1218.21075439453,665.122070051527
A09-03,"0104",84.183837890625,37.0725379954219
A27-07,"0403",3244.78051757812,360.357454750414
C30-04,"0903",175805.608703613,7898.30149390591
A09-47,"0908",10635.4545898438,658.66399155888
A28-12,"0504",1131.02294921875,255.324581790553
A28-12,"0503",1137.56469726562,493.081392017402
A28-12,"0502",21974.8102416992,4128.86035234051
A04-52,"0601",54249.5486450195,3550.16279562542
A17-14,"0104",49.022216796875,28.8410579689834
A09-22,"0504",1793.80157470703,354.080380454104
A34-44,"0702",20921.5657348633,1154.38186611801
A09-22,"0503",876.654052734375,159.339748778831
A10-09,"0401",23484.4178466797,2683.35026613375
A34-44,"0701",29307.2014160156,1491.29025701565
A10-09,"0405",476.598022460938,98.2042930954354
C14-05,"0303",14537.9241943359,3151.0062218937
A34-70,"0101",1283.62265014648,270.311108478279
A09-22,"0502",4595.35321044922,691.672190071035
A04-29,"0303",12182.8835449219,4181.23358845431
A04-71,"0201",130091.370361328,6566.82491680148
A19-04,"0501",1413.60571289062,326.537392133583
A04-71,"0202",3189.0322265625,335.791234790087
C37-04,"0303",11605.2059326172,5216.90047701183
A27-40,"0504",524.513732910156,91.2558718639551
A27-40,"0503",122.583251953125,64.1450189312577
A28-03,"0701",154.863952636719,51.536640559437
A04-64,"0401",327.777526855469,272.870217437007
A28-03,"0702",425.731323242188,144.15285134285
A03-17,"0401",496.564270019531,179.235796561919
A04-64,"0403",217.117736816406,58.1439940759178
A09-57,"0702",153892.819274902,12443.9137136979
A29-07,"0103",224.685791015625,73.9039940329954
A29-07,"0104",450.478332519531,212.977772577333
A29-07,"0101",131037.498840332,11231.6477282191
A27-40,"0502",951.202209472656,249.590709110084
A27-40,"0501",1178.30603027344,302.672501677336
A19-04,"0502",1960.43786621094,364.776867340299
A29-29,"0503",2862.2587890625,378.744209070511
A17-07,"0303",5605.11395263672,3207.65494639591
A09-31,"0303",14263.1805419922,6059.18135993874
A19-13,"0303",1688.13592529297,1172.28898177992
A04-38,"0101",3770.25708007812,439.927944396351
A36-04,"0605",1815.54959106445,168.82864364074
A09-48,"0908",6637.73095703125,1103.55786854196
A40-18,"0605",471.17529296875,87.5552846703433
A29-21,"0602",7257.84124755859,413.212094051857
A34-32,"0908",9514.2028503418,948.278524255998
B39-01,"0303",14882.0233154297,4188.64357258701
A35-17,"0504",1505.53744506836,174.892671355373
A33-19,"0905",41400.432800293,1644.73888278475
A35-17,"0502",2286.99719238281,487.873413519308
A35-17,"0503",292.730651855469,96.452499155565
A34-53,"0503",35397.5025939941,1530.66534322387
A34-53,"0502",584.666168212891,103.390036936631
A34-53,"0504",4658.42141723633,582.212875285951
A29-21,"0601",3810.78247070312,259.510449084444
A17-15,"0101",9175.34100341797,997.754532325745
A29-30,"0402",1923.06127929688,594.689393802764
A04-72,"0201",127594.436828613,5216.2327845965
A34-62,"0303",28032.4041442871,4300.43974364351
A35-08,"0702",8083.96234130859,1229.92608048455
A19-05,"0501",2385.15832519531,373.832522184751
A04-63,"0401",2.81805419921875,9.39895333905768
A30-03,"0702",5263.56939697266,312.297028733225
A34-61,"0302",7640.20742797852,915.013720811477
A35-08,"0701",10.4285278320312,16.6321762392252
A34-61,"0303",15847.0980224609,3482.21132645457
C37-05,"0303",28610.5031738281,5477.4042546859
A29-08,"0101",103020.15814209,9215.65206568312
A19-05,"0503",112.604675292969,43.127335033157
A29-08,"0104",176.644897460938,91.7177379440058
A19-05,"0502",2007.13940429688,421.59189951782
A27-15,"0202",15207.7261962891,2363.86369187472
A17-01,"0104",338.484313964844,113.344711105205
A17-01,"0103",852.183471679688,202.374293240896
A17-06,"0303",5751.09283447266,2905.0549397753
A17-01,"0101",166746.110900879,10343.4536103565
A03-10,"0402",1963.34521484375,822.2338918855
A34-33,"0908",5891.88555908203,899.04203161265
A04-39,"0101",53066.8945922852,5599.02519412016
A18-03,"0605",172.198669433594,73.4413323245236
A04-39,"0104",57.0933837890625,31.8576920778794
A36-05,"0605",38385.8326416016,1336.81918459029
A09-43,"0606",16.963134765625,17.8603191159945
A03-20,"0202",3361.10009765625,524.502304512839
A35-16,"0504",32645.8559265137,1778.20346504268
A35-16,"0503",249.892211914062,135.747925831373
A04-54,"0605",302.629943847656,95.9151763841268
A35-16,"0502",12196.3913574219,1026.61372166349
A35-16,"0501",498.945434570312,109.810770697251
A02-07,"0702",5894.04278564453,850.551397503202
A04-54,"0602",1813.35888671875,202.797707034359
A28-13,"0401",18680.0844116211,2198.48991154642
A04-54,"0601",7475.38763427734,649.176490179886
A28-13,"0402",5164.10833740234,1374.18324829921
A34-52,"0503",1.69174194335938,6.09389671435942
A29-20,"0601",4221.39044189453,315.123512483377
C30-02,"0908",6307.54144287109,382.301031822602
A27-50,"0202",14695.0161743164,1452.32385557459
C30-02,"0904",13353.2138671875,475.948867989303
C30-02,"0903",147342.933776855,7131.4185666513
A27-05,"0402",5665.18026733398,2018.94152979344
A22-09,"0303",17748.1018066406,5972.17386611262
A27-05,"0403",257.348571777344,67.770164244897
A28-13,"0405",165.361022949219,79.1133064407728
B39-03,"0303",14553.0025634766,4109.49675915287
A28-13,"0403",9527.33178710938,639.563067928877
A28-13,"0404",77079.3302612305,4040.78677678067
A21-04,"0202",3663.23284912109,589.855333542853
A09-52,"0403",2650.80139160156,641.594309452685
A10-07,"0402",1115.05139160156,415.331693790979
A09-52,"0401",4213.55975341797,501.937370905344
A09-52,"0402",636.28564453125,1053.35024885946
A03-01,"0601",941.4375,136.291115283739
A17-16,"0101",905.262634277344,130.429002884726
A10-07,"0401",7113.20397949219,944.73491530292
A05-01,"0605",65.6883544921875,34.7484490220546
A05-21,"0201",152466.354553223,8329.06134933483
A36-14,"0401",14012.8452758789,2096.13619086448
A05-21,"0202",2055.04382324219,250.417956164259
A04-44,"0303",49880.003112793,13109.9344211063
A34-42,"0702",5648.8762512207,602.549713120569
A04-73,"0201",103909.51385498,6967.96142404983
A36-14,"0403",755.983184814453,105.721179649855
B38-08,"0908",1547.85925292969,278.782536909458
A05-10,"0401",41395.9662475586,3913.15670946934
A04-77,"0501",2493.18121337891,570.695536693674
A35-09,"0702",5181.40447998047,696.522683954162
A01-12,"0403",1828.45916748047,214.691620279356
A34-60,"0304",11173.9549865723,1218.71176590709
A34-60,"0303",10191.9137878418,2367.42256918768
A27-12,"0201",15852.8628540039,1028.02876702874
A27-12,"0202",18668.6976928711,1257.1522020203
A01-12,"0407",48375.6378173828,3433.64828210515
A17-09,"0303",6314.53472900391,3785.55370982212
A27-41,"0402",8437.66137695312,2100.45201579832
A27-41,"0403",314.774230957031,114.368123816454
A04-77,"0504",3242.76177978516,520.769729934258
A04-77,"0502",64993.7603149414,8543.18768759492
A04-77,"0503",932.349060058594,263.169289257989
A35-15,"0502",1545.93981933594,299.028908446787
A09-44,"0605",2680.03692626953,241.380625237794
A28-21,"0201",34260.3978881836,1132.92011313161
A34-51,"0501",2753.93096923828,685.971180764778
A35-15,"0504",1357.72927856445,170.007577805614
A34-34,"0908",1376.73526000977,516.462480043462
C14-06,"0201",145445.434509277,4586.95576672519
A36-02,"0601",454.048614501953,91.016852183266
A09-44,"0602",11033.2867431641,919.759698776144
A26-08,"0401",34594.0174560547,3635.19149554308
A28-21,"0202",73245.3074951172,4380.83992189574
A10-16,"0202",184429.74420166,4257.00249444659
A19-14,"0403",1603.52014160156,164.651047750177
A36-02,"0606",44.6801452636719,37.986180958502
A04-86,"0303",8538.25457763672,3031.21661954129
A09-44,"0606",385.692993164062,76.0428147900577
A36-02,"0604",268.353271484375,71.0122142473191
A03-21,"0202",1988.12298583984,197.388126336732
B38-08,"0903",5654.74163818359,620.63699259689
A04-52,"0101",12149.3770141602,603.939087588648
B38-08,"0904",6476.99163818359,675.854332505239
A34-51,"0504",2098.76321411133,665.139094654659
A28-12,"0402",18190.7606811523,3247.56494614334
A34-51,"0503",4511.19464111328,1173.50056714838
A28-12,"0401",8124.16021728516,1263.41763021355
A01-12,"0401",808.86669921875,211.439453615171
A34-51,"0502",18999.0171508789,3471.52504074921
A33-18,"0104",2772.52819824219,806.802807845147
C30-03,"0908",4758.15246582031,443.361986978757
A33-18,"0103",8532.08688354492,893.07089776251
A34-50,"0504",9657.0715637207,831.413134365169
A27-04,"0401",60549.5854187012,4167.19740131829
C30-03,"0904",14138.0256958008,699.10985518302
A19-14,"0402",7866.2158203125,2924.33598498269
C30-03,"0903",29088.5961303711,1912.02084814968
A27-04,"0403",1401.10089111328,168.040414353459
A27-04,"0402",58827.9102783203,4909.13376389131
A09-69,"0101",48771.2883300781,3473.80320243355
A33-18,"0101",181738.827484131,12586.9364103689
A09-69,"0103",224.539611816406,68.652251571896
A18-01,"0605",381.950805664062,78.3122787198343
A09-69,"0104",299.2568359375,80.2611181634538
A28-12,"0403",4.03887939453125,9.82962907532164
A27-04,"0406",15622.403137207,3861.06453867576
A09-53,"0402",4952.4560546875,2189.46301474939
A34-50,"0502",5796.40594482422,544.647496182651
A09-53,"0401",3827.27618408203,1268.76540750205
A17-17,"0104",463.688415527344,158.415905766318
A17-17,"0101",18428.1966552734,1717.66444101326
A09-53,"0403",3108.70281982422,667.66389533236
A05-20,"0201",144841.012268066,10461.590904632
A34-41,"0702",24866.638458252,3475.46735414463
A04-43,"0303",63299.5419311523,10865.110910364
A05-20,"0202",26969.649597168,1652.27200327827
A04-43,"0302",806.534118652344,117.919043249652
A35-24,"0303",13957.2499084473,5797.34678546363
A03-12,"0403",21191.85546875,1114.74458031313
A32-10,"0602",8440.64398193359,367.074212182347
A03-12,"0404",4333.92889404297,365.764720792963
A03-12,"0406",1514.17919921875,581.797857730778
A28-03,"0605",164.949768066406,52.2207534689083
A27-40,"0405",980.108154296875,202.414053514239
A04-59,"0908",973.19482421875,203.122147785012
A27-40,"0404",44469.9912109375,2639.13378385099
A04-78,"0501",474.588928222656,128.54678190242
A27-40,"0403",81.4407348632812,35.1430113491313
A27-40,"0402",1957.35870361328,353.867735077064
A17-08,"0303",8988.62573242188,4372.35687553412
A04-78,"0503",42.2814331054688,38.6972495762279
A27-40,"0401",38177.1416625977,4633.23869580444
B30-07,"0101",63512.8648071289,3539.82122477257
A04-78,"0502",6609.24499511719,989.940617520256
A08-06,"0303",8024.96301269531,3322.57855812577
A20-09,"0502",561.0380859375,188.685325561718
A18-10,"0402",948.998901367188,482.406366828501
A20-09,"0501",380.659606933594,78.3018195829461
A04-78,"0504",1653.46325683594,227.821407628969
A03-12,"0401",27494.5536499023,1672.47318013397
A26-09,"0402",1157.29052734375,381.373600813926
A18-10,"0401",25452.5114135742,1159.9703721471
A03-12,"0402",4058.52642822266,1221.57790023798
A26-09,"0401",17615.2985229492,1517.14527730541
A10-15,"0202",155799.464416504,5003.51865622941
A34-35,"0908",15463.8048095703,2436.60701457233
C14-07,"0201",131166.806213379,4624.61892880035
A09-41,"0605",642.22998046875,102.814422652124
A10-15,"0201",1250.82720947266,370.480972011314
A03-22,"0201",73861.8613891602,4232.69417422925
A04-59,"0903",11943.5425415039,1872.0283528297
A05-23,"0202",2946.02294921875,330.024726407964
A01-11,"0401",715.874572753906,378.087873997033
A27-03,"0401",37876.5342407227,3427.44282988715
A28-15,"0402",9887.09197998047,2618.17948057008
A27-03,"0402",2735.76205444336,583.94388953154
A34-32,"0501",371.274261474609,104.899868975601
A27-52,"0202",158.783935546875,58.41140446695
A22-07,"0303",10237.7595825195,3753.37328815462
A41-01,"0403",325.445678710938,73.2839297586724
A41-01,"0401",2627.31372070312,656.920345057066
A41-01,"0402",1255.86682128906,417.689263124737
A34-32,"0502",18978.0996704102,2910.09093646944
A27-03,"0406",6450.67929077148,3214.34868229306
A34-32,"0503",3424.00030517578,1005.29952353311
A03-03,"0602",25296.3589477539,1298.44960562407
A34-32,"0504",4153.67236328125,563.006092092952
A17-18,"0101",25759.3200073242,2076.45726297018
A03-03,"0601",873.010131835938,145.743568525369
A17-18,"0103",201.722961425781,64.4213068515057
A34-44,"0303",18283.4220275879,3895.754554891
A10-05,"0401",6396.61077880859,1611.29641394416
A34-69,"0702",21114.8048400879,547.457268389268
A04-29,"0702",9.2440185546875,16.6688618760295
A04-46,"0303",10757.6618652344,3834.74802505269
A09-50,"0401",1681.91180419922,398.513589142292
A09-50,"0403",62415.9573364258,3423.08335668834
B13-08,"0904",9899.99658203125,826.962445869441
A32-11,"0604",1370.33093261719,243.948104998542
A04-79,"0501",7435.76715087891,1201.38597950686
A04-54,"0101",11429.5075683594,1005.4079115935
B30-02,"0101",2859.85754394531,309.363696686995
A33-09,"0303",17968.4766845703,5155.01377356192
A04-79,"0502",61995.2893676758,6196.79711291274
A04-79,"0503",341.776245117188,144.081704763235
A04-79,"0504",12658.4858398438,1729.91859610246
A10-14,"0201",188523.412109375,8537.44284623822
A38-04,"0402",1350.00866699219,544.488466001161
A10-14,"0202",2859.42712402344,644.497783749013
A37-12,"0606",411.381561279297,91.663199598323
A34-53,"0104",85.3560485839844,51.3101995289278
A04-38,"0502",150.258178710938,50.5270644399626
A34-53,"0101",8030.73724365234,633.032784253788
A04-38,"0501",895.263977050781,181.203833375321
A04-38,"0504",4072.6240234375,533.372647731345
A04-38,"0503",58.1465454101562,30.440787513274
A05-22,"0202",18742.7485351562,1020.06931639362
B15-01,"0303",4460.44317626953,1413.34152711589
A05-22,"0201",65384.0567016602,4954.22877035348
A28-14,"0402",15678.6047973633,3661.18259776809
A27-02,"0402",6824.7995300293,3012.47614697101
B28-05,"0303",832.295104980469,380.463298253854
A34-14,"0908",46371.4361572266,7492.98723359667
B14-03,"0101",843.686828613281,176.750276114932
A27-51,"0202",17441.1694335938,1740.57447662414
A22-08,"0303",13746.0427246094,4605.94237398385
A04-87,"0303",14934.5729370117,6274.80403853319
A41-02,"0407",669.438690185547,244.642079055022
A41-02,"0402",807.08203125,378.680794293231
A29-10,"0501",2284.50592041016,438.57404389679
A34-33,"0504",972.985656738281,300.199768043875
A29-10,"0502",4396.9765625,759.636719528744
A34-33,"0503",229.285614013672,90.9883249532099
A34-33,"0502",74093.0418701172,8573.96959559142
A41-02,"0403",2086.5290222168,219.692909980629
A29-13,"0502",7968.55822753906,1227.00444862214
A34-33,"0501",26855.6165466309,3189.82799912193
A17-19,"0101",38797.3867797852,3263.18195640209
A09-51,"0403",1152.46008300781,321.881404017505
A09-51,"0401",5878.23803710938,2728.15716103726
A36-17,"0403",21783.3753051758,1367.26156846256
A29-31,"0101",95657.9918823242,5000.47894361251
A09-08,"0504",9386.10913085938,815.279345498577
A09-08,"0503",3320.22509765625,358.350236686268
A04-45,"0303",35038.936706543,10206.0958016965
A09-08,"0502",6520.92779541016,1256.63211302974
A10-09,"0903",8781.36358642578,1114.3770346694
A04-45,"0302",1390.75714111328,391.935415330176
A29-31,"0104",107.656494140625,58.0987229778096
A10-09,"0904",48284.3720703125,3059.75786354136
A01-03,"0602",10295.3842163086,611.912627368248
A29-10,"0503",49267.75,4628.45743586656
A10-09,"0908",850.940490722656,191.239722834172
A29-10,"0504",1419.39349365234,271.130298565873
A01-03,"0605",5072.48791503906,545.51219853283
A34-24,"0702",1015.77209472656,222.180919406688
A10-01,"0101",15867.9431152344,2308.66132927658
A29-01,"0702",69920.8231811523,2110.78093367248
A28-24,"0203",7195.03796386719,407.899659783117
A10-01,"0103",1145.54034423828,179.734306558763
B30-01,"0101",18028.4466552734,1200.13228394078
A10-01,"0104",177.685485839844,72.7194261594644
A28-24,"0201",71107.9077758789,2725.05392396791
A28-24,"0202",57117.1729736328,2116.71315995875
A33-07,"0202",208.636108398438,60.6074525381214
A34-43,"0303",16356.9260253906,1808.52228404889
A27-10,"0201",3986.3876953125,524.705885832683
A27-33,"0604",218.280822753906,61.1851282236081
A33-07,"0201",125704.382446289,7000.53402435436
A27-10,"0202",102449.074584961,8386.12817659415
A04-39,"0502",6763.02563476562,968.891874155398
A04-39,"0503",224.637023925781,66.3553288741298
A04-39,"0504",3453.27038574219,408.241557235586
A27-01,"0402",4576.96197509766,1899.4719763598
A36-09,"0602",918.904846191406,142.806799308761
A09-29,"0103",1917.63549804688,190.167807471419
A09-29,"0104",2029.52435302734,903.821621569179
A29-21,"0303",96955.2976074219,11313.2611267599
A29-02,"0702",2698.28515625,390.006005349457
A27-54,"0202",1041.40405273438,229.492760581988
B14-02,"0101",22215.0208129883,1282.0057029399
A09-29,"0101",164522.604614258,11701.8174019352
A34-34,"0503",4536.15032958984,826.775098183599
B07-01,"0303",8316.27868652344,3453.11460080611
A22-05,"0303",13573.151550293,4795.29746250768
A34-34,"0504",8346.1838684082,1364.25738451566
A34-17,"0908",9953.98223876953,1978.9132746172
A29-11,"0502",19934.6561889648,2565.6314873149
A34-34,"0501",6648.51681518555,1390.71704110012
A29-11,"0501",7159.06427001953,931.2164817324
A34-34,"0502",43014.0726318359,5813.2510799712
A27-01,"0403",2588.31399536133,262.418296028566
A27-45,"0402",181.580749511719,163.413328434732
A04-27,"0702",63568.9005126953,5052.40851608952
A34-17,"0903",3075.77545166016,642.267646957013
A34-67,"0702",10349.8464355469,995.064610655567
A36-18,"0406",2642.60995483398,905.460932998586
A40-09,"0103",1251.71215820312,297.292145672438
B30-09,"0904",106.417053222656,65.1618599977368
A08-07,"0303",367.125427246094,203.316177986782
B30-09,"0903",29706.8150024414,1724.65607633279
A36-18,"0401",6292.6369934082,857.253187220155
A40-09,"0104",247.865020751953,112.712068531506
A09-09,"0503",8187.45056152344,1065.50384401677
A24-01,"0603",316.073669433594,73.3756778436463
A09-09,"0504",1063.18035888672,206.437118097934
A09-09,"0501",2660.50207519531,790.695660857625
A09-09,"0502",22912.3873901367,3832.09879019348
A09-31,"0802",274.40234375,67.6996815230885
A29-11,"0504",5883.07733154297,904.293858521331
A04-06,"0303",23939.1265258789,8206.80498952898
A05-15,"0303",11164.1705932617,3574.2229194957
A29-11,"0503",45546.0952758789,4761.84655936378
A24-01,"0604",5809.05145263672,360.73056536697
A39-09,"0303",13517.7584838867,5269.49758813863
A09-19,"0303",21628.8684692383,7193.06237853803
A04-56,"0104",988.51611328125,306.225236858525
A34-25,"0702",25433.2130126953,1307.35295317345
A25-01,"0905",5314.37341308594,514.684809042265
A04-56,"0101",46230.5404052734,5622.29852218669
A26-04,"0403",589.61669921875,107.22323719678
A08-03,"0303",8285.78063964844,3809.940929708
A34-42,"0303",92884.2641906738,17355.2332818717
A33-33,"0601",69248.7587280273,2606.6431016892
A33-33,"0604",324.640563964844,95.0349813585519
A33-06,"0202",11993.8086547852,1169.0830227036
A34-51,"0104",613.973510742188,305.479640334907
A34-51,"0103",776.104278564453,150.158942110678
A34-51,"0102",11482.7635498047,861.717441372309
A34-51,"0101",5026.93600463867,1066.32440367919
A04-36,"0502",4063.66918945312,376.958298769032
A04-19,"0908",1096.22814941406,274.613628222788
A04-19,"0904",849.051330566406,121.474821793582
A01-18,"0605",550.249328613281,113.030121974279
B19-02,"0201",104697.058410645,4008.19887886063
A40-20,"0601",9262.544921875,401.903138598744
B19-02,"0202",145598.085754395,4948.95591787153
B14-01,"0104",2213.32977294922,396.308309886812
A29-20,"0303",21326.7938232422,5996.57019453351
A04-47,"0303",19964.0130615234,5560.70669303753
A28-16,"0401",12016.2984619141,2676.6071636766
A40-20,"0604",0.37646484375,10.6470447985532
A27-53,"0202",53.452880859375,37.6118304446208
B37-01,"0504",293.077331542969,127.459851914924
