site,count,year,,,,,,
A01-01,NA,2015,,,,,,
A01-02,0,2015,,,,,,
A01-03,0,2015,,,,,,
A02-01,0,2015,,,,,,
A02-02,NA,2015,,,,,,
A02-03,0,2015,,,,,,
A03-01,0,2015,,,,,,
A03-03,0,2015,,,,,,
A03-06,NA,2015,,,,,,
A03-07,0,2015,,,,,,
A03-09,0,2015,,,,,,
A03-10,0,2015,,,,,,
A04-01,NA,2015,,,,,,
A04-02,NA,2015,,,,,,
A04-03,0,2015,,,,,,
A04-04,0,2015,,,,,,
A04-05,0,2015,,,,,,
A04-06,0,2015,,,,,,
A04-09,0,2015,,,,,,
A04-10,0,2015,,,,,,
A05-01,0,2015,,,,,,
A05-04,0,2015,,,,,,
A05-05,0,2015,,,,,,
A05-06,NA,2015,,,,,,
A09-01,0,2015,,,,,,
A09-02,0,2015,,,,,,
A09-03,0,2015,,,,,,
A09-04,0,2015,,,,,,
A09-05,0,2015,,,,,,
A09-06,NA,2015,,,,,,
A09-08,0,2015,,,,,,
A09-09,NA,2015,,,,,,
A09-10,0,2015,,,,,,
A09-12,0,2015,,,,,,
A09-13,0,2015,,,,,,
A09-14,NA,2015,,,,,,
A09-15,0,2015,,,,,,
A09-16,0,2015,,,,,,
A09-17,NA,2015,,,,,,
A09-18,0,2015,,,,,,
A09-19,0,2015,,,,,,
A09-20,0,2015,,,,,,
A09-22,0,2015,,,,,,
A09-23,NA,2015,,,,,,
A09-24,NA,2015,,,,,,
A09-26,NA,2015,,,,,,
A10-01,0,2015,,,,,,
A10-02,0,2015,,,,,,
A10-03,0,2015,,,,,,
A10-04,NA,2015,,,,,,
A12-01,0,2015,,,,,,
A12-02,0,2015,,,,,,
A12-06,0,2015,,,,,,
A16-01,0,2015,,,,,,
A16-02,0,2015,,,,,,
A16-03,0,2015,,,,,,
A16-04,2,2015,,,,,,
A16-05,2,2015,,,,,,
A17-01,0,2015,,,,,,
A17-02,0,2015,,,,,,
A17-03,NA,2015,,,,,,
A17-04,0,2015,,,,,,
A17-09,1,2015,,,,,,
A18-01,2,2015,,,,,,
A18-02,0,2015,,,,,,
A18-03,0,2015,,,,,,
A18-04,0,2015,,,,,,
A19-01,1,2015,,,,,,
A19-02,0,2015,,,,,,
A19-03,0,2015,,,,,,
A19-04,0,2015,,,,,,
A19-05,0,2015,,,,,,
A19-06,0,2015,,,,,,
A20-01,0,2015,,,,,,
A20-02,1,2015,,,,,,
A20-03,0,2015,,,,,,
A20-04,1,2015,,,,,,
A20-05,1,2015,,,,,,
A21-01,NA,2015,,,,,,
A21-02,0,2015,,,,,,
A22-01,0,2015,,,,,,
A22-07,0,2015,,,,,,
A22-08,0,2015,,,,,,
A24-01,0,2015,,,,,,
A24-02,0,2015,,,,,,
A25-01,0,2015,,,,,,
A26-01,2,2015,,,,,,
A26-02,0,2015,,,,,,
A26-03,0,2015,,,,,,
A26-04,1,2015,,,,,,
A26-06,NA,2015,,,,,,
A27-01,0,2015,,,,,,
A27-02,0,2015,,,,,,
A27-03,0,2015,,,,,,
A27-04,0,2015,,,,,,
A27-05,0,2015,,,,,,
A27-06,0,2015,,,,,,
A27-07,0,2015,,,,,,
A27-08,NA,2015,,,,,,
A27-10,0,2015,,,,,,
A27-12,0,2015,,,,,,
