"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"chg",47.767400984518,33.5613147064152,-6.40604987358944,23.7059824461943,42.4825915750349,67.7434371139413,124.971441664771,1.02465880343484,94
"deviance",806.080984608722,89.5284144812915,746.479472784528,774.23441159454,795.033054117162,820.68121441688,921.62334796739,1.04246797195594,56
"ind[1]",100,4.97210009812843e-15,100,100,100,100,100,1,1
"ind[2]",101.719609985969,18.6467738448066,67.3352921604604,89.548840559244,101.08591260348,112.817025359308,142.264234562788,1.02949792646048,120
"ind[3]",101.490939985351,24.9402874664677,62.9479302052933,85.0591285679213,98.8517300078097,114.169705464648,159.247493635132,1.03304666105629,75
"ind[4]",117.525950696818,25.2661699861696,75.125092483734,100.199801847902,115.175950316432,132.59482142612,174.596320897379,1.01482145399599,280
"ind[5]",125.892990693244,27.7462112414116,80.6492904210166,107.224208690699,124.074065705869,142.623631579306,183.267894796442,1.01613805387021,300
"ind[6]",133.240995977248,26.3959751048075,85.8875245200384,116.144880629777,131.346680095449,148.609576052896,191.354037408196,1.04192687538305,110
"ind[7]",147.767400984518,33.5613147064152,93.5939499290876,123.705981362401,142.482591378316,167.743437072664,224.971381086104,1.03471216967387,75
"sd[1]",0.249042094017855,0.218086818549781,0.0673088775029318,0.125467321994239,0.190889441643288,0.303197446816313,0.754307104002503,1.00461564119584,590
"sd[2]",1.78249459776745,0.368756575418241,1.035538344804,1.52848236438206,1.756297021781,2.07400042340218,2.43720035326607,1.16058128010594,17
"sd[3]",0.172136027575705,0.0763578192608496,0.0643291860589206,0.117821468924874,0.156921760032245,0.214324701962977,0.355121206867167,1.11877253545536,24
"st[1]",-0.605831655754765,1.48202137989768,-3.71974139569827,-1.56159731171214,-0.504069201722761,0.45854380289193,2.01587043019039,1.0174381310783,160
"st[2]",1.78256999916431,0.949817015018741,-0.132905731721237,1.14125597147838,1.81411530857633,2.44805992115746,3.54415186638789,1.0517178398464,49
"st[3]",-0.443638373988454,1.64265855955004,-3.98459139696906,-1.44632747730177,-0.355749721759654,0.685514585629128,2.59982623717659,1.01556507355253,340
"st[4]",-0.714896685829074,1.35799898714661,-3.75928182757759,-1.47824434761212,-0.538309641795598,0.185872525815264,1.58740381086887,1.00642349948669,1200
"st[5]",-0.203689565437582,1.66676362708397,-3.77540720303804,-1.2294089342692,-0.141936912990396,0.931256499532502,2.85420261978187,1.00962853684914,5500
"st[6]",-0.390540351750631,1.58073661146341,-3.75868141851939,-1.36808928846773,-0.314374158350342,0.708613052241089,2.44302546811383,1.00241938004691,4200
"st[7]",-0.489517621020314,1.36867266075634,-3.40114480537865,-1.34371384365442,-0.416766075195512,0.444067848921578,2.01484195629978,1.02903154717691,160
"st[8]",-0.9011745189931,1.46044372135587,-4.0999931944877,-1.76501321930265,-0.79320521830668,0.0844270085229933,1.62817613163347,1.04219456052653,100
"st[9]",-0.429617795428335,1.55603609917628,-3.74090647748765,-1.39553113864366,-0.356833555536615,0.642465837043279,2.37448818362011,1.00660644367306,4700
"st[10]",-0.804275615305753,1.53864382527352,-4.14746173375403,-1.76399604097273,-0.664661444879086,0.254495267734741,1.8519825104498,1.0169947529487,330
"st[11]",-0.917944068846253,1.64222614979227,-4.88312108946708,-1.73906759386667,-0.741034429530109,0.157107251129664,1.79025389922139,1.06091073314622,110
"st[12]",-0.665121669009223,1.38624000612608,-3.57816702316532,-1.55348474836412,-0.577372597933946,0.297793080076371,1.8449088141616,1.00401582133674,810
"st[13]",-0.296691583319542,1.64634924514984,-3.81787573162366,-1.31427494803758,-0.211839445838705,0.811581089557759,2.73236218821881,1.00683970074869,2600
"st[14]",1.46707297362393,1.22271891832471,-1.05598382757523,0.665538067200178,1.52333697114235,2.35381655649985,3.6661455774258,1.02520535501809,91
"st[15]",0.661298569390309,1.10690561327337,-1.52030209820259,-0.135517079047986,0.690947407625969,1.47437668177504,2.67314922125431,1.01887813857613,180
"st[16]",-0.794060632301015,1.45579134690723,-3.75496809216993,-1.77883989648582,-0.696977451150359,0.23609351669557,1.80409908807502,1.03748305729674,72
"st[17]",-0.950725831067566,1.42593971226785,-4.0043954434875,-1.83591486806183,-0.851708054994432,0.033859277169596,1.62062776840487,1.01873590255937,310
"st[18]",-0.827201714587285,1.41992660716997,-3.81834505452451,-1.6651765958252,-0.718779961201404,0.141029731657498,1.63905640447921,1.03204980934767,140
"st[19]",-0.462232008592708,1.54183064481628,-3.7782357664776,-1.36535604971091,-0.348470426736677,0.574621152733165,2.31560225319019,1.00798676533992,590
"st[20]",-0.798963292948841,1.44560948417121,-3.99953532327383,-1.65714944526614,-0.67741697454294,0.16898380491114,1.71609056274415,1.02945400487994,200
"st[21]",-0.9680975959235,1.50876028601662,-4.47323340530241,-1.85236995961014,-0.850052227135525,0.0744830432054447,1.57695375434854,1.02040417274482,270
"st[22]",-0.308026177325633,1.59448246474925,-3.78965160739272,-1.27154418103939,-0.20116455478445,0.743191742688237,2.64261084475693,1.0187290445555,210
"st[23]",-0.24431319501092,1.65115494436833,-3.67575236176467,-1.29827198397605,-0.209902357127348,0.904707161119048,2.81730688539184,1.00756856853769,1600
"st[24]",-0.269640066517946,1.59346124827498,-3.65870049264041,-1.23085365725025,-0.199880162969692,0.811714784262891,2.67613853510399,1.00795408373975,7500
"st[25]",-0.673679304545585,1.55780880201548,-4.31373524477537,-1.54129448339642,-0.560001318976752,0.356201628764196,2.04138315170295,1.00819729730313,1100
"st[26]",-0.509290012197764,1.41651255449859,-3.50277091094204,-1.41725703072423,-0.46383896719193,0.449182922155879,2.07657248527287,1.01756155451317,260
"st[27]",-0.932208115110579,1.51441456546383,-4.38329058288706,-1.84653093352209,-0.819407073597717,0.131640559361135,1.67950833967961,1.03018503667004,94
"st[28]",-0.712152169213951,1.48139474223408,-4.0488947186353,-1.61971910214117,-0.58856027345484,0.318944664366951,1.91917980660634,1.00445598087709,850
"st[29]",-0.674440618348468,1.48139481649201,-3.73311933419303,-1.59701035281798,-0.624637535621683,0.356322009841079,2.0728836220981,1.0102732409505,370
"st[30]",-0.361491574243757,1.45576795593252,-3.50215267786265,-1.25419912005831,-0.265440905159065,0.618254106517887,2.24579559228565,1.00992817294556,1000
"st[31]",-0.767957138238638,1.49409728675078,-3.90517146343491,-1.70800556239414,-0.661332230176058,0.270127894134662,1.95587789949403,1.01553668390836,270
"st[32]",-0.641846204201294,1.50767316957215,-4.02901517933669,-1.51629763819764,-0.490984314679322,0.360130435262425,1.99543380008146,1.03363340131054,130
"st[33]",-0.77356476590392,1.4337636305305,-3.93772856971508,-1.66686085271616,-0.629053360995393,0.238482742795871,1.68728623222895,1.05068273643471,52
"st[34]",-0.534115772869488,1.37119364831693,-3.45475577278102,-1.4227940974246,-0.450012972675697,0.470622597527763,1.91060335861018,1.01034958389393,340
"st[35]",-0.821375176660069,1.43791326832312,-4.15251032869898,-1.59711837472652,-0.697356666362318,0.163818529528727,1.68506295740862,1.07254656064685,40
"st[36]",-0.564626107488284,1.61486294099903,-3.99487683055771,-1.58740143242203,-0.49581766167178,0.531066049737346,2.38612122704275,1.01288869608995,1200
"st[37]",-0.808790624486643,1.4345953090928,-3.9801629799608,-1.69491815053655,-0.684905205154914,0.205201152547465,1.70378141449469,1.01264813228053,3600
"st[38]",-0.461878372366782,1.43354857781319,-3.36161360377756,-1.39985614005282,-0.407268504870137,0.519176616292567,2.21562272456089,1.01431227572668,270
"st[39]",-0.841435686995068,1.416900885544,-4.092451704298,-1.64490622342731,-0.729898217131235,0.123563702823575,1.60366848590395,1.02468102981512,390
"st[40]",-0.581477652570235,1.44566665577762,-3.60348744498604,-1.49379216815496,-0.519058678349487,0.436100461002516,2.05983795217108,1.00525614776878,490
"st[41]",-0.413391343823868,1.51133084382872,-3.54459293396282,-1.36944115928628,-0.310806196084607,0.633297581438802,2.33859842370786,1.01180752819587,370
"st[42]",-0.816844188588423,1.3896067951506,-3.89241490128005,-1.67499371397448,-0.728175584317143,0.161550746227419,1.60328426366085,1.01327565822265,350
"st[43]",-0.458973312786958,1.58877197113612,-3.82168320754917,-1.45707601409333,-0.381791897300769,0.641303903365766,2.40829711883805,1.01512860597863,180
"st[44]",-0.344287334248241,1.63786717588866,-3.80073064248522,-1.3748941333819,-0.304695002444406,0.762382556896099,2.72097486227928,1.01070949126643,1700
"st[45]",-0.81952701356839,1.54076529785005,-4.41480835347747,-1.71591879121145,-0.624867542214424,0.233584669524168,1.7562816086854,1.0961525434539,30
"st[46]",-0.54951939385551,1.53785815067665,-3.98632103836726,-1.42286811925412,-0.411331540793699,0.500358681616995,2.08201235065861,1.01098209544533,2800
"st[47]",-0.749780630323797,1.3362806659143,-3.63902614929216,-1.53451734632099,-0.650362491415745,0.156153676536198,1.62656682872247,1.01612830404711,220
"st[48]",0.734455293357148,1.10927368875688,-1.61106945634712,0.0226300590041329,0.744573747932378,1.505319911567,2.80090190951021,1.01189740061249,250
"st[49]",-0.754534553029516,1.43906168157627,-3.93636510408101,-1.66808378040815,-0.613490953916971,0.239516596753997,1.80207898167065,1.02615364178466,120
"st[50]",-0.397313921198222,1.52090843207124,-3.58159513338593,-1.36177803190829,-0.321992552902043,0.660379972612674,2.40030995992976,1.00573784446555,790
"st[51]",-0.884827440165428,1.45590096908744,-4.44058627935284,-1.65093207343338,-0.738151911254769,0.11662105172957,1.52488917034958,1.00284946790386,980
"st[52]",-0.775495664489672,1.51548441255314,-4.15117333511952,-1.67408541189803,-0.588226111735677,0.326990235898065,1.61566584241078,1.10164824236745,33
"st[53]",-0.894579125392575,1.3797710997026,-3.90561809221217,-1.71914528887896,-0.769559482563478,0.0751453723351384,1.46344985235915,1.04482969288153,130
"st[54]",1.51637029874324,0.947570823759354,-0.438220507337636,0.88444862814167,1.55197663038996,2.21985856282637,3.20531710732952,1.03230856748387,73
"st[55]",-0.832594943942397,1.43509487568769,-3.8987303296833,-1.71857706182974,-0.714284427164114,0.163016643868274,1.68642243801018,1.03757442126022,75
"st[56]",-0.176053694306957,1.64434180425306,-3.65948729074019,-1.22940618200541,-0.119575959843451,0.931067069586112,2.92757641023592,1.0062539220784,7500
"st[57]",3.05357287114676,1.17661159857813,0.559280865130974,2.29598292037888,3.13903769399517,3.9099903213913,5.09079159711732,1.05226301338028,46
"st[58]",3.05127044848994,1.18662126454564,0.480777814845622,2.27685544707601,3.15360356518166,3.90405424979983,5.08966746933944,1.05097906677712,46
"st[59]",-0.858489375881412,1.46061127290983,-4.06730372370328,-1.74210773114163,-0.656763441651558,0.157659484133925,1.5062112496127,1.03523525840641,89
"st[60]",-0.224814221556521,1.64015352764416,-3.63365776222617,-1.27793658013302,-0.147921429425527,0.880193498135615,2.81009734501566,1.00572159435908,7500
"st[61]",2.89057467283659,0.786537740446548,1.28234441539838,2.3861369277768,2.91755600968649,3.43051805307196,4.35005672023246,1.1051318685452,27
"st[62]",-0.710692439410904,1.45384025128192,-3.87288127991877,-1.59143209807523,-0.564714542588429,0.269191454865934,1.80585142122414,1.0100131198933,220
"st[63]",1.44648185985667,0.975097479685605,-0.635530827681689,0.810947825212994,1.50726716682819,2.12555999034223,3.19637956758147,1.0770147973812,34
"st[64]",3.21931362342853,0.733315936562358,1.64404549614674,2.7659609348669,3.2526435906054,3.74323324650466,4.47979506749853,1.11476297415093,26
"st[65]",-1.07352718227986,1.49324365785174,-4.49973813322669,-1.89562794858138,-0.924030380268647,-0.0420779503023076,1.32432469782973,1.04332192017791,150
"st[66]",0.689808096554166,1.09968028242224,-1.79133637988378,0.0263881377397064,0.754461262396317,1.45478548118578,2.6597574381653,1.02431431253145,92
"st[67]",-1.0275313817248,1.3298309722493,-3.84654081479434,-1.88665887154179,-0.966535398437745,-0.108725934238428,1.47818666007566,1.0337307120353,79
"st[68]",2.35430082550531,0.830838886397879,0.54562642963647,1.83846380042111,2.39902957729014,2.93563281112691,3.82562683842688,1.0851747350412,36
"st[69]",1.50279396259525,0.93278001370411,-0.445836576582449,0.895998016284567,1.54933307216393,2.15271861589266,3.18738014321128,1.05536193243443,45
"st[70]",3.21176743754584,0.733680588924019,1.59195384020444,2.76204509689319,3.27177131907092,3.73874629314685,4.43228766898852,1.11592114180042,24
"st[71]",1.99843174794193,0.876756310810814,0.159669049111805,1.42142294606596,2.04584147394704,2.62950376149116,3.58755093504588,1.0973343301525,27
"st[72]",-0.714787558487313,1.44744931474903,-3.89589950135423,-1.59746683553132,-0.650287825546909,0.275824092186398,1.94016085668917,1.00743988931105,300
"st[73]",0.701662168693114,1.13054085196664,-1.78126333984069,0.0373693978151331,0.7790421504706,1.48000900311357,2.76310334096153,1.0255674338177,110
"st[74]",-0.780544826351155,1.50954724435717,-4.17962204131879,-1.65631676476334,-0.615097136821064,0.268275605447068,1.72978945700116,1.02502193053348,250
"st[75]",2.86317172318789,0.816816009312422,1.1377707168038,2.34187700159216,2.90583114397009,3.44535457131439,4.29987301160655,1.10687860759903,26
"st[76]",2.8854050010256,0.751897798431032,1.2590268520512,2.4193447345794,2.92668255452737,3.42689982913173,4.16867733290219,1.08994259119372,31
"st[77]",2.39533255464122,0.816248671687955,0.702629143719742,1.86034854333343,2.44356516608295,2.96239585159648,3.86750056957503,1.08828283364643,31
"st[78]",2.8870300143135,0.749284540367159,1.25775602873267,2.42878722862917,2.9212899597031,3.42548626408348,4.19635686470118,1.10374980064345,25
"st[79]",-0.716468099944942,1.41978153384699,-3.81639693719708,-1.6128480519019,-0.596323460939464,0.266611669343958,1.78475034206102,1.02980890225122,95
"st[80]",3.07576522278654,0.728822291845398,1.52962748495625,2.62202864866554,3.11549666375461,3.58227169110471,4.36202228247003,1.11987794421809,24
"st[81]",2.01015454854431,0.904789073408864,0.0908169988614485,1.43704618910449,2.06693306532035,2.6216669835686,3.66071806404941,1.08639488485676,32
"st[82]",-0.687096929599872,1.33328756953819,-3.68659009837241,-1.47220542986988,-0.59873450774119,0.217758674862825,1.7068419278192,1.03008191773628,95
"st[83]",-0.712621521742693,1.43021431131996,-3.70546555666019,-1.64168918471306,-0.617899857727516,0.260929822205315,1.95686345176758,1.01782687534747,630
"st[84]",2.15269176372695,0.855867057578586,0.35867293148943,1.6041407835699,2.18179659832135,2.77173154321606,3.67609908635187,1.0758815365517,33
"st[85]",2.65621296668719,0.794284218350125,0.965328999610099,2.15342165303831,2.71907974986196,3.21865302723586,4.0404468557456,1.08626176012473,32
