"Site_N","Year","BBS","Foresty"
"A01-01","2018","BBS",NA
"A01-01","2019","BBS",NA
"A01-01","2020","BBS",NA
"A01-01","2021","BBS",NA
"A01-01","2022","BBS",NA
"A01-02","2015","BBS",NA
"A01-02","2016","BBS",NA
"A01-02","2017","BBS",NA
"A01-02","2020","BBS",NA
"A01-02","2021","BBS",NA
"A01-02","2022","BBS",NA
"A01-03","2015","BBS",NA
"A01-03","2017","BBS",NA
"A02-01","2015","BBS",NA
"A02-01","2016","BBS",NA
"A02-01","2017","BBS",NA
"A02-01","2018","BBS",NA
"A02-01","2019","BBS",NA
"A02-01","2020","BBS",NA
"A02-01","2021","BBS",NA
"A02-01","2022","BBS",NA
"A02-02","2018","BBS",NA
"A02-03","2015","BBS",NA
"A02-03","2018","BBS",NA
"A03-01","2015","BBS",NA
"A03-01","2016","BBS",NA
"A03-01","2017","BBS",NA
"A03-01","2018","BBS",NA
"A03-01","2019","BBS",NA
"A03-02","2022","BBS",NA
"A03-03","2015","BBS",NA
"A03-03","2016","BBS",NA
"A03-03","2017","BBS",NA
"A03-03","2018","BBS",NA
"A03-03","2019","BBS",NA
"A03-03","2020","BBS",NA
"A03-03","2021","BBS",NA
"A03-03","2022","BBS",NA
"A03-06","2020","BBS",NA
"A03-06","2021","BBS",NA
"A03-06","2022","BBS",NA
"A03-07","2015","BBS",NA
"A03-07","2016","BBS",NA
"A03-07","2017","BBS",NA
"A03-07","2018","BBS",NA
"A03-07","2019","BBS",NA
"A03-07","2020","BBS",NA
"A03-07","2021","BBS",NA
"A03-07","2022","BBS",NA
"A03-09","2015","BBS",NA
"A03-09","2016","BBS",NA
"A03-09","2017","BBS",NA
"A03-09","2019","BBS",NA
"A03-09","2020","BBS",NA
"A03-09","2021","BBS",NA
"A03-09","2022","BBS",NA
"A03-10","2015","BBS",NA
"A03-10","2016","BBS",NA
"A03-10","2017","BBS",NA
"A03-10","2019","BBS",NA
"A03-10","2020","BBS",NA
"A03-10","2021","BBS",NA
"A03-10","2022","BBS",NA
"A04-01","2018","BBS",NA
"A04-02","2018","BBS",NA
"A04-02","2020",NA,"Foresty"
"A04-02","2021","BBS",NA
"A04-02","2022","BBS",NA
"A04-03","2015","BBS",NA
"A04-03","2016","BBS",NA
"A04-03","2017","BBS",NA
"A04-03","2018","BBS",NA
"A04-03","2019","BBS",NA
"A04-03","2020","BBS",NA
"A04-03","2021","BBS",NA
"A04-03","2022","BBS",NA
"A04-04","2015","BBS",NA
"A04-04","2016","BBS",NA
"A04-04","2017","BBS",NA
"A04-04","2018","BBS",NA
"A04-04","2021","BBS",NA
"A04-04","2022","BBS",NA
"A04-05","2015","BBS",NA
"A04-05","2016","BBS",NA
"A04-05","2017","BBS",NA
"A04-05","2018","BBS",NA
"A04-05","2019","BBS",NA
"A04-05","2020","BBS",NA
"A04-05","2021","BBS",NA
"A04-05","2022","BBS",NA
"A04-06","2015","BBS",NA
"A04-06","2016","BBS",NA
"A04-06","2017","BBS",NA
"A04-06","2018","BBS",NA
"A04-06","2019","BBS",NA
"A04-06","2020","BBS",NA
"A04-06","2021","BBS",NA
"A04-06","2022","BBS",NA
"A04-09","2015","BBS",NA
"A04-09","2020","BBS",NA
"A04-09","2021","BBS",NA
"A04-09","2022","BBS",NA
"A04-10","2015","BBS",NA
"A04-10","2016","BBS",NA
"A04-10","2017","BBS",NA
"A04-10","2018","BBS",NA
"A04-10","2019","BBS",NA
"A04-10","2020","BBS",NA
"A04-10","2021","BBS",NA
"A04-10","2022","BBS",NA
"A04-13","2020",NA,"Foresty"
"A04-13","2021",NA,"Foresty"
"A04-13","2022",NA,"Foresty"
"A05-01","2015","BBS",NA
"A05-01","2016","BBS",NA
"A05-01","2017","BBS",NA
"A05-01","2018","BBS",NA
"A05-01","2019","BBS",NA
"A05-01","2020","BBS",NA
"A05-01","2021","BBS",NA
"A05-02","2020",NA,"Foresty"
"A05-02","2021",NA,"Foresty"
"A05-02","2022",NA,"Foresty"
"A05-04","2015","BBS",NA
"A05-04","2016","BBS",NA
"A05-05","2015","BBS",NA
"A05-05","2020",NA,"Foresty"
"A05-05","2021",NA,"Foresty"
"A05-05","2022",NA,"Foresty"
"A05-06","2021","BBS",NA
"A05-06","2022","BBS",NA
"A07-01","2020",NA,"Foresty"
"A07-01","2021",NA,"Foresty"
"A07-01","2022",NA,"Foresty"
"A07-02","2020",NA,"Foresty"
"A07-02","2021",NA,"Foresty"
"A07-02","2022",NA,"Foresty"
"A09-01","2015","BBS",NA
"A09-01","2016","BBS",NA
"A09-01","2019","BBS",NA
"A09-01","2021","BBS",NA
